"Chemical","CASRN","W10","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W5"
"1-Methylnaphthalene","90-12-0",0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0
"1-Methylphenanthrene","832-69-9",0,21.1,0,0,0,0,0,24.7,17.4,0,9.26,0,8.23,8.74,0,0,0
"1-Methylpyrene","2381-21-7",0,0,0,0,0,0,0,19,0,0,0,8.48,0,6.43,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,0,0,0.771,0,0,0,0,0,0,0,0,0,0
"2-Methylnaphthalene","91-57-6",0,0,0,0,0,0,0,2.83,2.42,0,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",0,24.9,0,0,0,0,0,30.9,28.3,9.77,0,12.9,12.1,12.9,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",15.4,0,0,0,0,0,25.7,41.1,42.4,20.6,0,48.5,51.4,0,0,0,0
"9-Fluorenone","486-25-9",0,41.1,0,0,0,0,0,56.6,54.5,0,0,0,0,13.6,0,0,0
"A-Ionone","127-41-3",149,0,0,0,257,437,0,0,0,0,0,0,211,0,193,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,0,0,33.4,0,0,0,0,0,0,0,0,0
"Amyl cinnamal","122-40-7",167,118,0,69.4,283,1000,74.6,0,343,206,0,0,1260,0,334,157,224
"Anthracene","120-12-7",69.4,216,54,23.1,28.3,33.4,0,242,99,13.4,77.1,56.6,59.1,13.4,0,0,38.6
"B-citronellol","106-22-9",54,0,0,0,309,309,0,0,0,0,0,0,185,0,46.3,0,0
"B-Ionone","79-77-6",0,108,249,0,154,147,247,0,0,121,0,0,111,0,249,0,0
"Benz[a]anthracene","56-55-3",18.3,38.6,0,0,0,0,0,36,18.2,12.3,14.9,0,0,0,23.7,0,0
"Benzo[a]fluorene","238-84-6",11.3,22.6,0,0,0,0,0,25.5,11.7,0,0,0,0,0,0,0,0
"Benzo[a]pyrene","50-32-8",5.14,13.6,0,0,0,0,0,15.7,4.04,0,0,0,0,6.94,0,0,0
"Benzo[b]fluorene","243-17-4",0,25.5,0,0,0,0,0,0,12.7,0,0,0,0,0,12.3,0,0
"Benzo[ghi]perylene","191-24-2",0,0,0,0,0,0,3.34,8.48,0,0,0,0,0,0,0,0,0
"Benzophenone","119-61-9",0,21.3,14.1,18.5,51.4,30.9,30.9,59.1,80.8,36,0,38.4,134,21.3,226,0,17.2
"Benzyl benzoate","120-51-4",8480,591,0,591,2340,668,0,0,1030,103,0,0,0,1180,1290,0,0
"Benzyl salicylate","118-58-1",2520,3860,116,540,900,3090,334,2420,4440,5660,1310,2830,2550,6940,7460,3600,2440
"Biphenyl","92-52-4",0,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",643,92.6,247,617,2260,283,334,0,283,823,283,323,38600,1160,1590,129,0
"Buprofezin","69327-76-0",92.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyl benzyl phthalate","85-68-7",0,334,386,0,0,116,0,0,0,977,46.3,133,0,0,95.1,188,51.4
"Butylated hydroxytoluene","128-37-0",0,0,0,0,56.6,0,0,0,0,0,0,0,0,0,0,0,0
"Caffeine","58-08-2",0,1050,283,0,0,1590,0,874,3230,1130,1360,3230,463,195,2570,360,2130
"Cashmeran","33704-61-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,139
"Celestolide","13171-00-1",0,0,0,0,0,0,0,0,0,0,38.6,0,0,0,0,0,0
"Chlorpyrifos","2921-88-2",0,0,0,0,0,0,0,2830,0,0,0,0,0,0,0,0,0
"Chrysene","218-01-9",0,64.3,0,0,0,0,0,38.6,0,0,0,0,0,16.7,0,0,0
