"Chemical","CASRN","FR-EMS-001","FR-EMS-002","FR-EMS-003","FR-EMS-004","FR-EMS-005","FR-EMS-006","FR-EMS-007","FR-EMS-008","FR-EMS-009","FR-EMS-010","FR-EMS-011","FR-EMS-012","FR-EMS-013","FR-EMS-014","FR-EMS-015","FR-EMS-016","FR-EMS-017","FR-EMS-018","FR-EMS-019","FR-EMS-020","FR-EMS-021","FR-EMS-022","FR-EMS-024","FR-EMS-026","FR-EMS-027","FR-EMS-028","FR-EMS-029","UCSF 9001","UCSF9000"
"1-Methylnaphthalene","90-12-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,0,0,0,0,0.568,0,0,1.17,1.34,0,0,0,0
"1-Methylphenanthrene","832-69-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33
"2-Methylphenanthrene","2531-84-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",0,0,0,0,36.2,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,9.24,0,0,0
"2,4-Dimethylaniline","95-68-1",0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Di-tert-butylphenol","128-39-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Isopropylphenol","99-89-8",0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,3.81,0,0,0,0,0
"4-Tert-butylphenol","98-54-4",21.5,0,75,0,0,0,0,14.5,7,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0
"A-Ionone","127-41-3",0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amyl cinnamal","122-40-7",117,164,44,52.5,239,147,32.5,220,0,68.5,518,305,19.5,165,117,143,248,382,31.9,37.8,20.5,45.4,0,34.2,0,315,42,0,323
"Anthracene","120-12-7",0,0,0,3.1,0,0,0,0,0,0,0,0,1.86,0,4.1,0,0,0,0,0,2.1,0,1.17,10.7,0,0,0,0,0
"B-citronellol","106-22-9",47.9,38.9,21,35.3,8.79,53.7,105,0,0,11.4,45.7,158,20.5,180,40.1,0,0,15.9,38.5,8.26,13.8,58.6,0,18.1,57.9,9.24,9.45,48.5,0
"B-Ionone","79-77-6",12.7,43.6,145,11.5,103,73.3,8,50,42,548,42.6,67.2,9.28,138,6.84,18.5,167,21.3,16.3,3.07,21.3,5.86,37.2,28.3,7,38.2,65.7,10.9,0
"Benzophenone","119-61-9",48.9,195,75,52.5,156,107,46,180,48,43.4,140,43.1,83.1,255,63.5,54.1,177,38.2,54.5,8.03,22.2,0,42.5,0,452,42,16.3,0,0
"Benzothiazole","95-16-9",0,0,15.5,0,12.2,16.1,0,0,0,5.48,9.44,15.8,0,15,0,3.5,7.64,0,0,0,3.21,0,6.91,0,6.24,0,0,0,0
"Benzyl alcohol","100-51-6",0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,22.3,0,8.91,0,0,0,0,0,0,0,0,0,0,0
"Benzyl benzoate","120-51-4",782,820,2800,955,879,1810,330,1200,360,288,0,809,278,2100,347,955,1620,1940,280,210,0,1170,3990,782,547,588,394,337,8710
"Benzyl cinnamate","103-41-3",0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,2.8,0,156,0,0,0,0,0,0,0,0,0,0,0
"Benzyl salicylate","118-58-1",3030,2310,700,1810,1320,635,650,2200,3850,4060,913,2420,17.1,18000,1030,2900,955,3180,700,1110,939,1070,215,977,1020,3240,788,337,0
"Bifenthrin","82657-04-3",0,0,0,2010,0,0,0,60,130,0,0,0,0,1160,0,0,0,0,58.4,10.4,71.7,0,0,0,0,0,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",259,205,130,110,5860,6350,225,365,0,132,335,662,132,1950,26400,191,95.5,178,253,94.4,297,205,3460,117,433,193,76.2,10900,68400
"Buprofezin","69327-76-0",0,0,0,0,0,0,0,0,0,0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyl benzyl phthalate","85-68-7",586,251,750,621,1510,73.3,1000,430,900,913,143,1050,0,4950,1810,178,296,1150,1400,519,1580,733,138,1510,764,672,1370,99,410
