"PureSampleName","ResultOriginal","Result","ParameterName","CASNumber","SampleNumber"
"147589",3000,624,"TPP","115-86-6","A220432"
"147589",67,13.9,"Anthracene","120-12-7","A220432"
"147589",1200,250,"Butylated hydroxytoluene","128-37-0","A220432"
"147589",110000,22900,"Benzyl salicylate","118-58-1","A220432"
"147589",19000,3950,"Di-n-butyl phthalate","84-74-2","A220432"
"147589",16000,3330,"Diisobutyl phthalate","84-69-5","A220432"
"147589",8900,1850,"Lilial","80-54-6","A220432"
"147589",82000,17100,"Benzyl benzoate","120-51-4","A220432"
"147589",680,141,"PBDE 49","243982-82-3","A220432"
"147589",2300,478,"Diethyl phthalate","84-66-2","A220432"
"147589",4500,936,"Benzyl cinnamate","103-41-3","A220432"
"147589",530,110,"Benzothiazole","95-16-9","A220432"
"147589",4800,998,"Caffeine","58-08-2","A220432"
"147589",1100,229,"Coumarin","91-64-5","A220432"
"147589",7100,1480,"Amyl cinnamal","122-40-7","A220432"
"147589",320000,66600,"Ethylene brassylate","105-95-3","A220432"
"147589",9700,2020,"B-Ionone","79-77-6","A220432"
"147589",4200,874,"Musk Ketone","81-14-1","A220432"
"147589",7000,1460,"Butyl benzyl phthalate","85-68-7","A220432"
"147589",1400,291,"A-Ionone","127-41-3","A220432"
"147589",140000,29100,"Galaxolide","1222-05-5","A220432"
"148068",1200,293,"TCPP","26248-87-3","A220433"
"148068",140000,34200,"Bis(2-ethylhexyl)phthalate","117-81-7","A220433"
"148068",2000,489,"Diethyl phthalate","84-66-2","A220433"
"148068",5800,1420,"4-Tert-butylphenol","98-54-4","A220433"
"148068",7200,1760,"Benzyl salicylate","118-58-1","A220433"
"148068",590,144,"TPP","115-86-6","A220433"
"148068",30000,7330,"Di-n-butyl phthalate","84-74-2","A220433"
"148068",12000,2930,"Benzophenone","119-61-9","A220433"
"148068",18000,4400,"Benzyl benzoate","120-51-4","A220433"
"148068",82,20,"Fluorene","86-73-7","A220433"
"148068",280,68.4,"Lilial","80-54-6","A220433"
"148068",29000,7080,"Diisobutyl phthalate","84-69-5","A220433"
"148068",74,18.1,"1-Methylphenanthrene","832-69-9","A220433"
"148068",350,85.5,"Phenanthrene","85-01-8","A220433"
"148068",560,137,"Benzothiazole","95-16-9","A220433"
"148068",810,198,"Caffeine","58-08-2","A220433"
"148068",32,7.82,"Cinnamal","104-55-2","A220433"
"148068",46,11.2,"2,4-Dimethylphenol","105-67-9","A220433"
"148068",10000,2440,"Butyl benzyl phthalate","85-68-7","A220433"
"148068",22000,5370,"N,N-Diethyl-m-toluamide","134-62-3","A220433"
"148068",11000,2690,"Ethylene brassylate","105-95-3","A220433"
"148068",470,115,"Benzyl alcohol","100-51-6","A220433"
"148068",370,90.4,"Butylated hydroxyanisole","25013-16-5","A220433"
"148068",390,95.3,"Tonalide","1506-02-1","A220433"
"148068",7100,1730,"Permethrin II","999046-03-6","A220433"
"148068",970,237,"Galaxolide","1222-05-5","A220433"
"148068",80,19.5,"2-Methylphenanthrene","2531-84-2","A220433"
"148068",55,13.4,"Pyrene","129-00-0","A220433"
"148068",1100,269,"B-citronellol","106-22-9","A220433"
"148068",630,154,"2,4-Di-tert-butylphenol","96-76-4","A220433"
"150021",910,191,"Lilial","80-54-6","A220434"
"150021",410,86.1,"4-Chloro-3,5-dimethylphenol","88-04-0","A220434"
"150021",5300,1110,"Butyl benzyl phthalate","85-68-7","A220434"
"150021",140000,29400,"Benzyl salicylate","118-58-1","A220434"
"150021",6800,1430,"Dicyclohexyl phthalate","84-61-7","A220434"
"150021",12000,2520,"Benzyl benzoate","120-51-4","A220434"
"150021",920,193,"Butylated hydroxyanisole","25013-16-5","A220434"
"150021",1800,378,"Permethrin","52645-53-1","A220434"
"150021",3400,714,"Di-n-nonyl phthalate","84-76-4","A220434"
"150021",25000,5250,"Diisobutyl phthalate","84-69-5","A220434"
