"Chemical","CASRN","BR1002","BR1006","BR1010","BR1011","BR1013","BR1032","BR1037","BR1052","BR1062","BR1063","BR1130","BR1131","BR1141","BR1142","BR1172","BR1173","BR1187","BR1228","BR1233","BR1236","BR1242","BR1260","BR1261","BR1271","BR1296","BR1297","BR1311","BR1312","BR1384","BR1385","BR1386","BR1388","BR1389","BR1443","BR1445","BR1469","BR1471","BR1483","BR1489","BR1498"
"1-Methylnaphthalene","90-12-0",5.5,0,5.24,2.1,4.98,5.82,8.21,0,0,0,0,0,13.6,9.15,0,0,0,4.32,4.28,3.21,0,0,0,4.24,6.82,4.91,5.46,13.1,0,0,0,0,0,0,3,0,4.59,0,0,0
"1-Methylphenanthrene","832-69-9",14.4,8.13,0,0,23.9,0,0,0,0,29.4,0,0,0,0,0,17.3,0,13,0,0,17,0,10.3,0,16.4,0,12.3,0,19.6,0,18.8,0,12.6,10.7,0,0,0,0,0,0
"1-Methylpyrene","2381-21-7",0,8.13,5.77,0,23.1,0,0,0,0,0,0,17.6,0,0,0,0,0,9.18,9.09,0,14.6,0,0,0,13.4,0,10.9,15.6,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Dimethylnaphthalene","573-98-8",3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,0,0,8.47,0,0,0,0,0,1.05,0,0,0,0,0,4.28,0,4.86,0,0,0,0,0,0,16.9,0,0,0,0,5.24,0,0,0,0,0,0,0
"2-Ethylnaphthalene","939-27-5",0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methyl-9,10-anthraquinone","84-54-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",22,0,15.7,12.8,26.2,17.2,0,0,21.7,37.4,29.1,25.9,0,23.2,0,21.6,12.2,17.6,0,15.5,29.7,0,0,23.3,30,13.4,17.7,24.8,31.8,0,31.8,22.6,19.7,21.4,12.8,7.56,19.7,0,0,13.1
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,0,49.8,0,0,0,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",47.2,0,39.3,68.2,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,21.4,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,6-Dimethylphenanthrene","1576-67-6",0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,71.5,0,82.1,0,0,0,0,0,0,0,0,16.3,155,0,0,0,0,0,0
"4-Chlorophenyl isocyanate","104-12-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0
"9-Fluorenone","486-25-9",23.9,0,12.1,0,44.6,0,26.5,0,0,0,29.1,0,0,0,0,0,21.1,22.7,0,20.6,0,9.53,0,34.4,0,0,27.3,22.9,0,15.9,0,28.6,0,0,0,0,0,0,0,0
"Acenaphthene","83-32-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0
"Acenaphthylene","208-96-8",21,14.4,16.5,12.6,55,34.4,19.3,4.77,17.4,26.2,37.1,37.4,10.5,42.2,16.7,22.4,15.1,16.5,15,18.2,9.18,10.9,17.5,12.2,25.4,24.6,19.4,18,31.8,15.4,0,25.7,19.9,22.5,18,9.45,26.7,7.49,0,11.2
"Amyl cinnamal","122-40-7",91.7,44.6,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,53.5,154,0,0,0,0,92.8,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthanthrene","191-26-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,8.64,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,32.1
"Anthracene","120-12-7",157,65.5,0,0,49.8,185,183,106,150,267,257,257,110,246,143,200,0,178,126,0,0,114,154,0,0,9.28,150,169,212,122,217,177,194,184,0,86.4,0,56.1,80.2,90.9
"B-citronellol","106-22-9",0,0,0,0,0,0,0,0,0,0,0,80.2,0,0,0,0,0,0,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benz[a]anthracene","56-55-3",0,17.8,12.8,13.9,65.5,31.8,31.8,20.4,24.6,58.8,55.6,61.5,23.1,52.8,24.3,48.6,35.1,17.6,29.4,34.8,94.5,14.3,26.5,29.1,60,32.7,27.3,19.9,31.8,20.9,34.4,31.2,23.9,25.7,27.3,10.8,32.4,16.6,23,64.2
"Benzo[a]fluorene","238-84-6",0,7.08,0,8.39,41.9,16.7,13.8,0,0,32.1,0,25.4,0,0,0,23,10.3,0,0,11.5,25.1,0,0,0,0,0,0,0,0,0,18,0,0,0,12.6,0,9.72,0,0,0
"Benzo[a]pyrene","50-32-8",14.2,9.44,0,6.82,19.1,15.6,18.8,0,0,22.2,34.4,32.1,19.4,31.7,15.7,32.4,22.4,10.8,17.4,26.5,40.5,11.9,19.9,16.9,21,21.8,21.6,16.6,22.2,0,25.4,18.4,15.2,0,19.9,4.86,29.7,0,0,58.8
"Benzo[b]fluorene","243-17-4",0,10.2,7.34,0,31.5,16.1,0,0,0,0,24.1,0,0,24.6,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,19.9,0,0,0,14.9,14.4,0,0,0,0,0,0
"Benzo[ghi]perylene","191-24-2",6.82,0,0,0,14.4,0,0,0,0,0,34.4,0,0,0,0,0,0,0,0,15.2,32.4,0,8.21,7.94,0,8.73,0,0,15.6,0,12.7,0,6.29,8.82,5.73,0,0,0,0,34.8
"Benzo[k]fluoranthene","207-08-9",0,18.9,0,0,44.6,0,42.4,0,0,0,98,96.3,55,84.4,0,64.8,0,25.9,0,72.2,32.4,0,58.2,0,0,60,62.8,0,0,0,60.9,33.7,0,0,51.8,0,40.5,0,0,134
"Benzophenone","119-61-9",31.5,0,23.1,0,28.8,15.9,22.5,0,26.7,0,42.4,37.4,0,19.3,24.8,43.2,0,29.7,37.4,0,26.5,0,11.4,68.8,0,35.5,40.9,30,29.1,0,12.2,72.7,0,45.5,24,0,9.72,20.9,0,0
"Benzyl alcohol","100-51-6",0,0,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0,0,0,0,0,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl benzoate","120-51-4",0,128,233,121,0,0,138,138,0,0,821,0,0,0,1510,157,0,1270,262,374,51.3,259,236,114,46.4,169,199,0,0,0,0,0,629,0,0,0,37.8,0,0,0
"Benzyl salicylate","118-58-1",760,139,786,577,5240,244,344,265,321,481,2300,428,262,239,173,2970,159,405,588,1580,21300,71.5,265,1010,437,104,819,115,1670,106,794,1060,136,1390,115,0,265,829,294,0
"Bifenthrin","82657-04-3",89.1,0,0,0,0,0,0,0,321,171,0,0,136,183,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,260,0,50.8,0,0,0,56.1,34.8,0
"Bioallethrin","584-79-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,0,0,0,0,0,0
"Bioallethrin S-cyclopentenyl isomer","28434-00-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280,0,0,0,0,0,0
"Biphenyl","92-52-4",17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",3150,1210,682,73.4,3410,1220,2120,503,3210,1390,1800,1520,1650,3380,2970,2320,1780,567,1520,1870,1540,1240,874,2460,2210,873,2240,273,5290,927,1090,831,2880,1680,117000,594,1540,374,775,4010
"Butyl benzyl phthalate","85-68-7",163,0,0,165,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,1020,0,0
"Butylated hydroxyanisole","25013-16-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butylated hydroxytoluene","128-37-0",0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,25.7,0,0,32.1,0,0,0,0,0,0,0,0,0,50.3,0,0,0,0,0,0,0,0,0,0,0
"Chlorpyrifos","2921-88-2",128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysene","218-01-9",0,0,5.24,0,18.6,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,74.1,0,0,38.2,0,0,60.9,0,0,49.3,0,0,57.3,18.9,45.9,0,0,88.2
"Cinnamal","104-55-2",0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citral A","5392-40-5",142,0,0,0,0,0,0,0,0,0,60.9,190,0,0,40.5,78.3,54,0,0,88.2,0,0,140,132,0,186,0,0,0,114,90,0,152,120,0,0,0,0,0,0
"Citral B","5392-40-5",0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,88.2,0,0,140,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopenta[cd]pyrene","27208-37-3",0,0,26.2,31.5,128,60.9,52.9,0,58.8,107,87.4,115,60.3,106,45.9,97.2,59.4,40.5,40.1,85.6,99.9,0,71.5,0,87.3,65.5,68.2,35.5,82.1,52.9,82.1,0,70.8,56.1,35.5,0,64.8,0,0,69.5
"Cyhalothrin (Gamma)","76703-62-3",0,0,0,0,41.9,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
