"Chemical","CASRN","W36-1","W36-2","W38","W39","W41","W43","W46","W48","W49","W50","W56","W60C","W61C","W62C","W63C","W64C","W66C","W67C","W70C","W72C","W73C","W74C","W75C","W79C","W80C","W82C","W84C","W85C","W87C"
"1-Methylnaphthalene","90-12-0",0,7.47,0,0,0,6.63,0,5.28,6.33,6.83,0,3.18,0,0,3.18,2.55,4.24,3.4,2.33,4.88,0,0,0,0,6.59,0,4.26,12.4,0
"1-Methylphenanthrene","832-69-9",16.2,39.7,0,0,0,0,0,0,0,0,30.6,0,16.6,0,17.8,0,0,0,0,0,0,8.38,54.8,29.8,0,20.2,27.1,19,0
"1-Methylpyrene","2381-21-7",0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,18.9,0,0,0,0,38.7,27.9,0,26.4,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,7.64,0,2.97,0,0,0,0,0,0,0,0,0,0
"2-Methoxy-4-methylphenol","93-51-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
"2-Methylphenanthrene","2531-84-2",0,58.4,0,0,0,16,0,15.8,0,21.4,91.5,0,0,33.4,29.7,0,25.5,31.8,0,14.2,0,16.1,93.4,69.8,20.5,37.2,50.4,0,0
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Diethylnaphthalene","59919-41-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethoxyphenol","91-10-1",0,70,0,0,0,58,0,0,0,65.4,0,0,0,0,0,0,0,0,0,0,0,0,64.4,0,62,0,0,116,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,4.65,0
"3,6-Dimethylphenanthrene","1576-67-6",0,0,0,0,0,0,0,0,0,0,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0
"4-Tert-butylphenol","98-54-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,419,0,0,0,0,0,0
"4H-cyclopenta[def]phenanthren-4-one","5737-13-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,0,0,0,0,0,0
"6-Methylchrysene","1705-85-7",0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,12-Dimethylbenz[a]anthracene","57-97-6",0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Fluorenone","486-25-9",0,58.4,0,0,0,0,0,21.1,0,0,32.4,11.2,15.5,0,0,0,0,27.6,0,0,0,0,119,0,29.8,42.6,58.1,0,0
"A-Ionone","127-41-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,33.2,0,0,0,41.6,0,7.22,25.5,0,0,0,0,0,0,0,0,0,41.9,0,0,0,0,77.5,0
"Amyl cinnamal","122-40-7",0,74.7,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,144,76.4,0,0,0,45.1,0,0,62,0,0,110
"Anthracene","120-12-7",120,490,38.7,84.4,49.3,30.4,0,98.5,23.9,110,130,93.4,36.1,112,84.9,50.9,48.8,38.2,59.4,36.1,0,0,116,62,147,318,42.6,159,0
"B-citronellol","106-22-9",0,0,0,63.3,95,0,102,0,0,0,0,0,0,0,0,31.8,142,29.7,55.2,0,0,0,0,0,0,0,0,0,0
"B-Ionone","79-77-6",42.2,128,0,0,1580,0,49.3,844,45.7,279,123,403,255,525,891,806,40.3,764,140,65.8,52.5,54.8,0,202,0,132,0,124,548
"Benz[a]anthracene","56-55-3",30.3,84,0,13.7,0,0,0,0,0,0,120,29.7,29.7,47.7,36.1,15.5,0,50.9,13.2,17.8,40.6,20.3,129,89.1,38.8,69.8,42.6,16.3,18.4
"Benzo[a]fluorene","238-84-6",0,49,0,0,0,0,0,0,0,0,45.7,0,27.6,26.3,0,0,0,31.8,5.09,0,18.4,0,80.5,0,25.6,38.8,0,0,0
"Benzo[a]pyrene","50-32-8",0,49,0,0,0,0,0,6.68,0,0,95,8.7,10.8,0,21.2,0,0,23.3,0,5.73,28.6,0,48.3,42.6,18.6,28.3,13.2,0,0
"Benzo[b]fluorene","243-17-4",22.5,25.7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,31.8,7.43,0,0,0,0,0,0,31.4,32.2,0,0
"Benzo[ghi]perylene","191-24-2",0,0,0,0,0,0,0,0,0,0,70.4,0,0,15.5,8.06,0,0,9.97,0,0,5.25,0,27.4,0,0,30.2,0,0,0
"Benzo[k]fluoranthene","207-08-9",0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,36.1,0,0,0,0,0,40.6,0,0,0,0,58.1,0,0,0
"Benzophenone","119-61-9",23.2,0,0,0,0,0,0,0,0,0,0,0,0,52.5,129,0,615,10.2,0,0,0,0,6.44,205,0,0,0,0,0
"Benzothiazole","95-16-9",0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl benzoate","120-51-4",0,0,0,8800,6330,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,97.6,0,2960,354,9690,0,19400,140,0,773
"Benzyl cinnamate","103-41-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,0,178,0
"Benzyl salicylate","118-58-1",1410,1590,2640,10900,7040,2020,3520,880,5630,95.1,1480,403,2760,22900,573,3820,5940,25500,6580,552,5250,1190,11600,42600,1160,2210,891,930,9340
"Biphenyl","92-52-4",0,11,0,4.93,0,9.67,0,8.44,9.15,13.7,15.8,11.7,5.73,3.82,0,0,5.09,7.64,3.82,5.09,0,0,9.02,0,8.53,8.53,24.4,17.4,0
