"Chemical","CASRN","ETCH001_E1","ETCH001_E2","ETCH002_E1","ETCH002_E2","ETCH003_E1","ETCH003_E2","ETCH004_E1","ETCH004_E2","ETCH005_E1","ETCH005_E2","ETCH007_E1","ETCH007_E2","ETCH008_E1","ETCH008_E2","ETCH011_E1","ETCH011_E2","ETCH013_E1","ETCH013_E2","ETCH014_E1","ETCH014_E2"
"1-Methylnaphthalene","90-12-0",6.75,6,12.3,7.24,7.97,6.3,5.07,9,7.97,10.5,23.2,14.3,5.07,5.25,0,6.52,0,4.35,5.8,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,7.97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylnaphthalene","91-57-6",0,0,0,0,0,0,0,9,0,0,0,0,0,3.75,0,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,22.5,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Isopropylphenol","99-89-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3,0,0,0,0,0
"B-citronellol","106-22-9",63.8,61.5,65.9,507,109,68.6,123,128,123,113,53.6,30,43.5,57.8,145,116,0,0,0,0
"Benzophenone","119-61-9",52.5,7.5,65.9,63.7,50.7,37.8,32.6,37.5,0,36.8,24.6,0,26.1,24.8,0,31.9,22.5,34,21.7,0
"Benzothiazole","95-16-9",0,0,0,0,268,210,246,428,0,0,0,0,0,0,232,283,0,268,0,0
"Benzyl benzoate","120-51-4",37.5,31.5,0,0,181,140,26.8,75,0,36,0,0,0,0,32.6,159,0,0,29,0
"Benzyl salicylate","118-58-1",0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biphenyl","92-52-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,4.67
"Bis(2-ethylhexyl)phthalate","117-81-7",503,360,377,724,391,245,304,353,254,90,67.4,195,268,458,1010,413,683,1740,196,272
"Butylated hydroxytoluene","128-37-0",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carvone","99-49-0",0,0,0,0,0,0,167,210,109,0,0,0,0,0,0,0,0,0,0,0
"Cinnamal","104-55-2",0,0,32.6,0,60.1,29.4,0,0,28.3,0,0,0,44.9,0,0,0,0,0,0,0
"D-Limonene","5989-27-5",173,135,167,109,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Di-n-butyl phthalate","84-74-2",480,0,62.3,0,377,133,116,233,7.24,6,232,7.5,0,0,116,94.2,0,55.8,0,0
"Diethyl phthalate","84-66-2",0,0,167,246,362,0,0,0,0,375,0,0,174,300,406,514,0,0,0,0
"Diisobutyl phthalate","84-69-5",173,0,94.2,116,0,0,0,0,0,0,0,30,0,0,500,377,0,0,0,0
"Galaxolide","1222-05-5",0,0,0,43.5,71,9.1,13.8,0,8.69,9,6.52,0,0,6,25.4,15.9,0,0,0,0
"Linalool","78-70-6",82.5,97.5,116,152,79.7,84,0,90,0,40.5,0,0,0,0,0,39.1,0,0,0,0
"N,N-Diethyl-m-toluamide","134-62-3",0,0,0,27.5,51.4,38.5,66.6,105,152,413,0,0,0,75,58.7,59.4,0,0,0,0
"Retene","483-65-8",37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCPP","26248-87-3",0,0,0,0,0,0,31.9,0,0,11.3,0,0,0,15,16.7,0,0,101,0,0
"Triethyl phosphate","78-40-0",0,0,0,0,0,0,15.2,0,20.3,0,0,0,0,0,0,0,0,0,0,0
