"Chemical","CASRN","01-0612","01-0703","02-0612","02-0703","03-0612","04-0612","04-0703","05-0612","05-0703"
"1-Methylnaphthalene","90-12-0",1.47,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",3.91,0,0,0,0,0,0,0,0
"2-Methylnaphthalene","91-57-6",0,2.93,0,0,0,0,0,0,0
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,0,0,0,0,0,0,0,105
"2,4-Di-tert-butylphenol","96-76-4",75.7,0,0,13.4,10.7,6.35,13.2,5.62,17.1
"A-Ionone","127-41-3",0,0,85.5,0,0,0,0,0,0
"Amyl cinnamal","122-40-7",0,0,166,0,0,0,0,0,0
"Anthracene","120-12-7",48.9,31.8,0,0,0,14.2,0,0,0
"B-Ionone","79-77-6",87.9,0,105,80.6,68.4,0,0,0,0
"Benzophenone","119-61-9",142,68.4,120,34.2,15.1,44,80.6,105,195
"Benzyl benzoate","120-51-4",1660,708,0,70.8,110,41.5,0,171,342
"Benzyl salicylate","118-58-1",1470,855,1510,147,684,115,100,537,806
"Biphenyl","92-52-4",4.4,2.93,0,2.44,0,0,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",203000,154,21500,18800,26900,29300,26900,15600,29300
"Butyl benzyl phthalate","85-68-7",4400,1540,147,464,586,708,586,1100,1420
"Butylated hydroxyanisole","25013-16-5",0,20.8,0,0,8.79,22,0,0,0
"Butylated hydroxytoluene","128-37-0",61.1,0,0,0,0,0,0,0,0
"Caffeine","58-08-2",1610,904,0,2690,2930,0,0,2930,2300
"Celestolide","13171-00-1",78.2,39.1,0,0,0,0,0,0,0
"Cinnamal","104-55-2",0,0,0,9.77,0,0,0,0,0
"Citral A","5392-40-5",0,39.1,293,0,63.5,213,156,61.1,87.9
"Coumarin","91-64-5",0,0,105,0,0,0,0,0,0
"Cypermethrin-2","52315-07-8",117,0,0,0,0,0,0,0,0
"Di-n-butyl phthalate","84-74-2",26900,10700,415,1660,7330,1220,660,440,1540
"Di-n-nonyl phthalate","84-76-4",293,203,904,0,0,440,0,782,0
"Diethyl phthalate","84-66-2",4890,3180,1610,415,635,586,269,684,953
"Diisobutyl phthalate","84-69-5",29300,14900,2250,5620,5860,3660,2930,9770,13400
"Dimethyl phthalate","131-11-3",68.4,0,0,0,154,61.1,0,0,134
"Drometrizole","2440-22-4",0,0,0,0,31.8,0,0,0,0
"Ethylene brassylate","105-95-3",2150,2690,19300,3180,9530,1290,0,8060,31800
"Fluorene","86-73-7",10,0,0,3.42,0,0,0,0,0
"Galaxolide","1222-05-5",1640,1170,1250,562,708,36.6,58.6,154,366
"Geraniol","106-24-1",0,0,0,0,34.2,0,0,0,0
"Lilial","80-54-6",83.1,0,0,0,46.4,0,0,0,0
"Musk Ketone","81-14-1",489,415,0,0,0,0,0,0,0
"N,N-Diethyl-m-toluamide","134-62-3",122,61.1,0,0,0,0,44,0,0
"Pentachloroanisole","1825-21-4",235,117,0,0,0,0,0,0,0
"Permethrin","52645-53-1",318,342,0,0,1420,0,0,0,0
"Permethrin II","999046-03-6",904,0,1000,0,0,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,537,0,0,0,0,0,0
"Pyrene","129-00-0",0,0,0,8.55,0,0,0,0,0
"Pyriproxyfen","95737-68-1",0,0,100,0,0,0,0,0,0
"TCPP","26248-87-3",3660,1200,0,120,80.6,178,0,391,879
"Tetramethrin II","999050-03-2",0,0,220,0,0,0,0,0,0
"Thymol","89-83-8",0,0,4.64,0,0,0,0,0,0
"Tilt","60207-90-1",154,0,0,0,0,0,0,0,0
"Tonalide","1506-02-1",1000,660,83.1,18.3,87.9,18.6,13.9,0,66
"TPP","115-86-6",318,537,733,164,242,342,293,122,147
"Tributyl phosphate","126-73-8",95.3,0,0,44,0,0,0,0,0
"Tricresylphosphate, ortho-","78-30-8",0,0,0,0,0,0,11.7,0,0
"Triethyl phosphate","78-40-0",51.3,31.8,0,0,0,0,0,0,0
