"Chemical","CASRN","A180347","A180348","A180349","A180350","A180351","A180352","A180353","A180354","A180355","A180356"
"1-Methylnaphthalene","90-12-0",0,11.9,41.7,31,0,0,28.8,18.7,43.3,0
"1,2-Dimethylnaphthalene","573-98-8",0,0,0,0,0,0,0,0,0,34.7
"1,6-Dimethylnaphthalene","575-43-9",0,0,35.8,0,0,0,0,0,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,0,0,0,0,47.6,0
"4-Methoxyphenol","150-76-5",0,0,0,0,0,0,0,0,242,0
"4-Tert-butylphenol","98-54-4",0,0,0,0,0,0,0,0,9520,0
"Amyl cinnamal","122-40-7",9170,2020,0,939,202,0,437,3460,4240,7510
"Anthracene","120-12-7",0,46.4,0,192,53.6,24.2,0,0,0,207
"B-Ionone","79-77-6",2450,0,0,0,0,806,0,0,3640,1920
"Benzophenone","119-61-9",4150,544,354,657,315,585,0,1420,9520,610
"Benzothiazole","95-16-9",0,0,0,0,315,363,406,0,433,0
"Benzyl salicylate","118-58-1",0,0,3500,24400,4420,13700,10500,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",0,7460,0,0,0,1530,0,0,0,0
"Butyl benzyl phthalate","85-68-7",0,0,0,0,0,3020,0,0,0,0
"Butylated hydroxyanisole","25013-16-5",873,0,0,0,0,0,0,203,0,0
"Butylated hydroxytoluene","128-37-0",5240,6050,2120,451,120,524,362,350,420,1410
"Caffeine","58-08-2",0,6050,0,19700,21500,0,28400,0,0,17400
"Carvone","99-49-0",0,0,0,892,0,0,0,0,0,0
"Cashmeran","33704-61-9",402,0,0,0,0,0,0,0,0,0
"Coumarin","91-64-5",0,0,296,704,315,0,1270,0,0,516
"D-Limonene","5989-27-5",0,155,0,0,0,0,127,0,0,1170
"Di-n-butyl phthalate","84-74-2",27500,12100,6670,14100,4420,5650,6110,6500,9090,18300
"Di-n-nonyl phthalate","84-76-4",9610,1370,0,11300,0,3830,0,0,0,7040
"Di-n-propyl phthalate","131-16-8",0,0,0,1080,0,0,0,0,0,0
"Diamyl phthalate","131-18-0",34100,0,0,0,0,0,0,0,0,0
"Diethyl phthalate","84-66-2",0,3020,3460,4690,7570,6450,6110,61000,30300,0
"Diisobutyl phthalate","84-69-5",0,0,0,36600,18600,3230,34900,13000,5630,39400
"Ethylene brassylate","105-95-3",38000,28200,0,10300,4100,0,9170,8940,64900,18800
"Eugenol","97-53-0",0,242,0,0,0,0,0,0,0,0
"Exaltolide [15-Pentadecanolide]","106-02-5",0,0,0,0,0,0,0,0,6060,0
"Galaxolide","1222-05-5",961,9880,2750,12700,3030,12100,10900,13800,13400,51600
"Geraniol","106-24-1",0,0,0,0,0,565,0,0,0,0
"Lilial","80-54-6",16200,19200,2420,6100,2300,6650,6550,2560,6490,36200
"Linalool","78-70-6",0,4640,0,0,0,0,0,0,2510,0
"N,N-Diethyl-m-toluamide","134-62-3",0,0,1000,2160,726,827,0,1180,1210,17400
"Naphthalene","91-20-3",0,0,0,33.8,0,0,48,0,0,0
"Phantolide","15323-35-0",271,0,0,0,0,0,0,0,0,0
"Tonalide","1506-02-1",2970,0,267,845,978,262,1660,0,0,1410
"TPP","115-86-6",0,1070,0,469,72.6,262,118,0,169,0
"Traseolide","68140-48-7",0,5440,0,0,0,0,0,0,0,0
"Triclosan","3380-34-5",0,0,1460,939,0,0,2660,0,0,0
