"Chemical","CASRN","UNV001","UNV002","UNV003","UNV004","UNV005","UNV006","UNV007","UNV008","UNV009","UNV010"
"1-Hydroxynaphthalene","90-15-3",0,0,0,0,2970,0,0,0,0,0
"1-Methylnaphthalene","90-12-0",0,0,0,0,0,0,0,3.91,0,3.25
"2,4-Di-tert-butylphenol","96-76-4",19.3,98.7,186,31.8,55.2,126,226,146,128,216
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,56.2,0,0,0,0,0,0,0
"Acequinocyl","57960-19-7",0,0,0,0,180,0,0,0,0,0
"Amyl cinnamal","122-40-7",0,0,296,0,255,455,0,119,651,68.1
"Anthracene","120-12-7",0,0,0,0,0,0,0,14.6,11.8,10.9
"Azoxystrobin","131860-33-8",0,0,0,0,0,0,2860,350,31.5,0
"B-citronellol","106-22-9",0,0,355,0,0,0,0,0,0,0
"B-Ionone","79-77-6",127,0,799,138,233,1020,0,0,630,0
"Benzo[a]pyrene","50-32-8",0,0,0,10.4,0,0,0,0,0,0
"Benzo[e]pyrene","192-97-2",0,0,0,7.64,0,0,0,0,0,0
"Benzo[k]fluoranthene","207-08-9",0,0,0,12.3,0,0,0,0,0,0
"Benzophenone","119-61-9",29.7,0,444,70,53.1,50.8,0,741,160,198
"Benzothiazole","95-16-9",0,0,0,0,0,0,0,41.2,0,0
"Benzyl benzoate","120-51-4",0,357,0,182,0,6150,0,1340,1370,1150
"Benzyl cinnamate","103-41-3",0,0,0,0,0,0,0,0,252,0
"Benzyl salicylate","118-58-1",10600,1490,12400,382,7430,4010,452,3300,6510,2660
"Bifenthrin","82657-04-3",0,0,562,467,212,88.2,166,183,191,1570
"Bis(2-ethylhexyl)phthalate","117-81-7",297,0,296000,9340,0,8820,0,0,46.2,24900
"Boscalid (Nicobifen)","188425-85-6",0,0,0,1680,0,0,0,0,0,0
"Butyl benzyl phthalate","85-68-7",0,462,2490,57.3,149,963,0,288,294,444
"Butylated hydroxyanisole","25013-16-5",0,0,263,44.6,0,0,0,0,0,0
"Butylated hydroxytoluene","128-37-0",0,0,1070,40.3,151,66.8,0,107,0,112
"Caffeine","58-08-2",0,0,0,318,0,0,0,0,0,0
"Captan","133-06-2",17600,0,0,0,0,0,0,0,0,0
"Carbaryl","63-25-2",0,0,0,0,424,0,0,0,0,0
"Carvone","99-49-0",0,0,35.5,0,0,0,0,0,0,0
"Cashmeran","33704-61-9",140,0,0,0,0,40.1,0,0,0,0
"Chlorothalonil","1897-45-6",0,0,0,722,1210,0,0,0,0,0
"Chrysene","218-01-9",0,0,0,14.9,0,0,0,0,0,0
"Citral A","5392-40-5",0,33.6,175,36.1,23.3,0,0,0,0,94.7
"Coumarin","91-64-5",0,0,0,0,78.5,0,0,0,116,0
"Cypermethrin-2","52315-07-8",0,0,0,0,0,0,0,0,137,0
"D-Limonene","5989-27-5",0,0,219,0,0,0,0,103,0,47.3
"Di-n-butyl phthalate","84-74-2",8060,1830,5330,700,6150,3210,941,2680,1110,2960
"Di-n-nonyl phthalate","84-76-4",0,6300,9170,0,361,3740,753,30900,0,473
"Diethyl phthalate","84-66-2",0,56.7,0,509,297,374,260,494,7140,473
"Diisobutyl phthalate","84-69-5",3400,4620,2400,552,9340,374,0,1570,609,947
"Dimethyl phthalate","131-11-3",0,0,0,0,0,0,0,1260,0,0
"Dithiopyr","97886-45-8",0,0,0,0,0,0,0,0,46.2,0
"Ethylene brassylate","105-95-3",276,0,0,0,2760,3740,0,1440,2520,3550
"Eugenol","97-53-0",0,0,53.3,0,0,0,0,0,0,0
"Exaltolide [15-Pentadecanolide]","106-02-5",3180,0,0,0,0,0,3620,0,0,5920
"Flumetralin","62924-70-3",0,0,0,0,0,0,3770,0,0,0
"Galaxolide","1222-05-5",11900,0,20400,1890,10200,11200,9790,5360,12200,2400
"Imidan","732-11-6",1400,0,0,0,0,0,0,0,0,0
