"Chemical","CASRN","CN011","CN012","CN013","CN014","CN015","CN016","CN017","CN018","CN019","CN020","CRST001","CRST002","CRST003","CRST004","CRST005","CRST006","CRST007","CRST008","CRST009","CRST010"
"1-Methylnaphthalene","90-12-0",0,1.09,0,0,1.56,0,0,0,2.19,0,0,0,2.01,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0
"3,6-Dimethylphenanthrene","1576-67-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0
"Anthracene","120-12-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0
"B-citronellol","106-22-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0
"B-Ionone","79-77-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0
"Benzophenone","119-61-9",0,0,0,0,0,0,0,0,0,0,0,9.89,8.77,0,0,0,5150,0,9.55,0
"Benzothiazole","95-16-9",0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl alcohol","100-51-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,0
"Benzyl benzoate","120-51-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",190,90.7,23.5,31.3,11.6,6.25,15.6,39.1,0,18.8,16.4,49.4,121,44.6,77.7,14.9,258,9.55,306,8.4
"Butyl benzyl phthalate","85-68-7",0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carvone","99-49-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0
"Di-n-butyl phthalate","84-74-2",74.9,25,8.13,34.4,28.1,17.2,21.9,0,15.6,5.91,7.35,0,21.9,21.2,0,0,515,0,66.8,0
"Diethyl phthalate","84-66-2",0,0,0,0,0,11.4,0,20.3,0,0,0,0,0,0,0,0,713,0,1.34,0
"Diisobutyl phthalate","84-69-5",0,7.35,0,0,0,0,0,0,0,0,0,0,31.1,14,0,0,3170,0,12,0
"Dimethyl phthalate","131-11-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0
"Ethylene brassylate","105-95-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0
"Galaxolide","1222-05-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
"Linalool","78-70-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.3,0,0,0
"N,N-Diethyl-m-toluamide","134-62-3",0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,23800,8.4,0,0
"PCB 94","73575-55-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0
"Permethrin","52645-53-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0
"Phenanthrene","85-01-8",0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0
"Pyrene","129-00-0",0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,33.7,0,0,0
"Quinoline","91-22-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0
"Tonalide","1506-02-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0
"Triethyl phosphate","78-40-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32,0,0,0
