"Chemical","CASRN","E004","E006","E008","E011","E013","E014","E016"
"1-Methylnaphthalene","90-12-0",3.68,1.58,3.59,0,105,2.1,0
"1-Methylphenanthrene","832-69-9",0,0,8.14,0,22.8,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,29.8,0,0
"2-Benzothiazolyl sulfide","4074-77-5",0,0,0,0,0,0,85.8
"2-Ethylnaphthalene","939-27-5",0,0,0,0,18.4,0,0
"2-Methylphenanthrene","2531-84-2",0,0,0,0,19.3,0,0
"2,4-Di-tert-butylphenol","96-76-4",189,289,560,0,0,175,96.3
"2,4-Dichloro-3,5-dimethylphenol","133-53-9",33.6,0,0,0,0,0,0
"2,6-Di-tert-butylphenol","128-39-2",0,12.3,0,0,0,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,32.4,0,0
"3,6-Dimethylphenanthrene","1576-67-6",0,0,0,0,35,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",6090,0,0,131,0,63,0
"4-Isopropylphenol","99-89-8",0,0,0,18.4,0,29.8,0
"4-Tert-butylphenol","98-54-4",45.2,0,0,0,0,0,158
"4,4'-DDT","50-29-3",0,0,0,0,0,11.4,0
"A-Ionone","127-41-3",0,42.9,0,0,0,0,0
"Amyl cinnamal","122-40-7",189,35,551,70.9,1490,52.5,114
"Anthracene","120-12-7",29.4,9.63,0,48.1,64.8,8.75,0
"Azoxystrobin","131860-33-8",0,70,0,0,0,0,0
"B-citronellol","106-22-9",0,0,0,298,0,0,0
"B-Ionone","79-77-6",126,193,481,0,762,184,0
"Benzo[a]pyrene","50-32-8",0,0,0,0,0,0,3.15
"Benzophenone","119-61-9",221,411,324,0,0,306,0
"Benzothiazole","95-16-9",0,0,0,0,0,0,193
"Benzyl benzoate","120-51-4",5780,0,14000,10500,7790,2010,5430
"Benzyl cinnamate","103-41-3",0,0,0,131,0,0,0
"Benzyl salicylate","118-58-1",9660,963,8750,12300,6570,5080,5950
"Bifenthrin","82657-04-3",284,0,0,0,0,0,105
"Biphenyl","92-52-4",0,0,0,0,14.9,1.93,0
"Bis(2-ethylhexyl)phthalate","117-81-7",0,0,0,0,2980,403,595
"Butyl benzyl phthalate","85-68-7",2310,963,4900,1400,6210,700,2280
"Butylated hydroxyanisole","25013-16-5",0,0,0,0,1050,0,0
"Butylated hydroxytoluene","128-37-0",368,341,578,455,10500,123,3410
"Caffeine","58-08-2",0,403,0,0,0,0,0
"Cashmeran","33704-61-9",35.7,0,0,0,0,0,963
"Cinnamal","104-55-2",0,0,0,54.3,87.5,0,0
"Citral A","5392-40-5",231,85.8,0,0,0,0,0
"Coumarin","91-64-5",0,0,263,0,0,0,0
"Cypermethrin-2","52315-07-8",105,0,665,114,464,0,131
"Cypermethrin-4","52315-07-8",0,0,0,0,700,0,0
"Deltamethrin","52918-63-5",158,0,158,0,0,0,0
"Di-n-butyl phthalate","84-74-2",15800,3500,4110,12300,0,4290,6130
"Di-n-hexyl phthalate","84-75-3",0,0,324,245,0,0,0
"Di-n-nonyl phthalate","84-76-4",8510,1230,0,341,3850,490,0
"Diethyl phthalate","84-66-2",4520,875,5510,6740,12300,4110,2280
"Diisobutyl phthalate","84-69-5",4940,9630,3330,4030,12300,1930,7090
"Dimethyl phthalate","131-11-3",0,0,0,0,298,26.3,0
"Ethofenprox","80844-07-1",347,105,1050,73.5,140,254,0
"Ethylene brassylate","105-95-3",9140,0,805,26300,42000,20100,25400
"Eugenol","97-53-0",0,0,0,0,105,0,0
"Galaxolide","1222-05-5",16800,1840,11400,8750,13100,8050,6480
"Hydroxy-citronellal","107-75-5",0,0,0,0,0,0,4200
"Lilial","80-54-6",242,59.5,814,298,657,158,105
"Linalool","78-70-6",0,0,131,0,175,0,71.8
"Musk Ketone","81-14-1",0,0,0,1580,0,0,0
"N,N-Diethyl-m-toluamide","134-62-3",872,718,14900,0,770,53.4,140
"Naphthalene","91-20-3",0,0,0,105,58.6,6.21,0
"PBDE 47","5436-43-1",0,0,0,0,0,0,464
"Permethrin","52645-53-1",263,96.3,1050,420,481,385,0
"Permethrin II","999046-03-6",326,96.3,1050,446,394,464,0
"Phantolide","15323-35-0",0,0,49,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,499,0,0,0,0
"Pyrene","129-00-0",0,0,0,19.3,37.6,4.81,10.5
"Pyriproxyfen","95737-68-1",441,0,0,0,0,0,0
"Rabenzazole","40341-04-6",0,0,0,0,43.8,0,0
"TCPP","26248-87-3",1890,0,0,0,0,193,201
"Tetrachlorvinphos","961-11-5",28.4,0,0,0,0,0,0
"Thymol","89-83-8",0,0,105,0,0,0,0
"Tonalide","1506-02-1",746,271,6130,1400,1400,788,420
"TPP","115-86-6",5360,1840,1230,2280,4460,3150,4730
"Tri-p-tolyl phosphate","78-32-0",0,0,0,236,1230,86.7,0
"Tributyl phosphate","126-73-8",189,0,0,0,0,0,0
"Tricresylphosphate, meta-","563-04-2",87.2,0,0,665,1310,1310,0
"Tricresylphosphate, ortho-","78-30-8",0,0,0,0,0,464,0
"Tris(2-butoxyethyl) phosphate","78-51-3",63000,2890,17500,8140,36800,6390,0
