"Chemical","CASRN","22254","23609","30998","33185","34090","36589","39087","42567","42907","44705","50124","53475","55479","65866","66440","67704","77542","79175","80177","83613","86882","89409","93403","98914","99359"
"1-Methylnaphthalene","90-12-0",0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,16.4,4.85,31.1,10.6,29.5,0,0,0,0,112,6.51,0,0,0,0,0,0,6.07,0,0,0,0,3.19,0
"2,4-Di-tert-butylphenol","96-76-4",75.6,16.4,0,25.2,0,66.3,0,0,10.5,0,0,27.9,0,0,0,27.6,0,0,0,117,0,17.2,0,22.5,29.1
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0
"4,4'-DDE","72-55-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0,0,0
"A-Ionone","127-41-3",0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,45.8
"Amyl cinnamal","122-40-7",68.2,0,0,129,182,88.5,86.1,0,172,259,255,390,0,157,323,0,0,65.6,0,85.5,96.8,0,0,101,437
"Anthracene","120-12-7",22.1,11.5,0,0,0,0,31.5,0,0,0,23.3,20.5,0,12.2,0,24,0,0,0,0,0,78.6,0,0,25
"B-citronellol","106-22-9",0,0,36.4,0,0,0,0,0,0,0,2970,164,0,0,0,0,62.4,0,0,188,0,80.4,0,173,0
"B-Ionone","79-77-6",0,0,465,0,74.4,0,191,0,69.3,0,202,0,193,0,0,177,333,0,0,120,132,201,0,525,193
"Benzophenone","119-61-9",184,263,119,222,82.7,62.7,315,0,0,549,0,428,333,158,323,151,119,298,164,0,183,237,0,0,52
"Benzothiazole","95-16-9",0,0,0,76.9,0,0,0,0,0,0,0,0,0,36.9,194,0,0,0,197,50.7,23.7,43.8,0,0,0
"Benzyl alcohol","100-51-6",0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl benzoate","120-51-4",0,509,9700,10500,28100,3130,1810,106,9450,485,1570,1710,7700,0,2750,11800,3330,894,870,8690,25600,1630,2210,8630,16200
"Benzyl cinnamate","103-41-3",0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl salicylate","118-58-1",590,870,1660,4140,14900,7000,7140,331,6510,1070,25500,6140,18300,3130,3720,2760,8320,1790,9360,18800,10000,3650,332,2630,8740
"Bis(2-ethylhexyl)phthalate","117-81-7",164,10800,12900,178,66200,2760,84000,2980,33600,121000,594,0,0,24000,0,60800,16600,19400,0,42000,20100,1040,6080,24400,27000
"Butyl benzyl phthalate","85-68-7",221,361,727,1480,893,903,0,0,6720,953,488,651,0,940,824,885,0,93.9,0,3480,384,292,129,0,312
"Butylated hydroxyanisole","25013-16-5",0,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
