Chemical,SampleNumber,Result,Source_File
1-Hydroxynaphthalene,P5.ES.874,321,ResultsOutputFile_Buffalo_10.csv
1-Hydroxynaphthalene,P6.ES.863,249,ResultsOutputFile_Buffalo_10.csv
1-Methylnaphthalene,P1.849.1,6.42,ResultsOutputFile_Buffalo_10.csv
1-Methylnaphthalene,P2.ES.875,8.74,ResultsOutputFile_Buffalo_10.csv
1-Methylphenanthrene,P2.ES.875,19.1,ResultsOutputFile_Buffalo_10.csv
2-Chloroaniline,P3.ES.879,66.8,ResultsOutputFile_Buffalo_10.csv
2-Methylphenanthrene,P10.ES.869,41.9,ResultsOutputFile_Buffalo_10.csv
2-Methylphenanthrene,P5.ES.874,22.2,ResultsOutputFile_Buffalo_10.csv
2-Methylphenanthrene,P7.ES.865,19.2,ResultsOutputFile_Buffalo_10.csv
2-Methylphenanthrene,P9.ES.866,42.4,ResultsOutputFile_Buffalo_10.csv
"2,3,5-Trimethylphenol",P6.ES.863,312,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P1.849.1,107,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P10.ES.869,60.3,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P2.ES.875,90,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P3.ES.879,61.5,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P4.ES.889,132,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P6.ES.863,205,ResultsOutputFile_Buffalo_10.csv
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",P8.ES.793,71.5,ResultsOutputFile_Buffalo_10.csv
"2,4-D sec-butyl ester",P5.ES.874,1500,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P1.849.1,668,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P2.ES.875,180,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P3.ES.879,321,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P4.ES.889,119,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P5.ES.874,695,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P7.ES.865,213,ResultsOutputFile_Buffalo_10.csv
"2,4-Di-tert-butylphenol",P9.ES.866,344,ResultsOutputFile_Buffalo_10.csv
"2,6-Di-tert-butyl-4-ethylphenol",P5.ES.874,50.8,ResultsOutputFile_Buffalo_10.csv
3-Chloroaniline,P3.ES.879,61.5,ResultsOutputFile_Buffalo_10.csv
3-Tert-butylphenol,P1.849.1,749,ResultsOutputFile_Buffalo_10.csv
4-Chlorophenyl isocyanate,P3.ES.879,40.1,ResultsOutputFile_Buffalo_10.csv
4-Chlorophenyl isocyanate,P5.ES.874,34.8,ResultsOutputFile_Buffalo_10.csv
4-Tert-butylphenol,P2.ES.875,29.1,ResultsOutputFile_Buffalo_10.csv
A-Ionone,P1.849.1,348,ResultsOutputFile_Buffalo_10.csv
Amyl cinnamal,P6.ES.863,467,ResultsOutputFile_Buffalo_10.csv
Amyl cinnamal,P8.ES.793,424,ResultsOutputFile_Buffalo_10.csv
Anthracene,P1.849.1,26.5,ResultsOutputFile_Buffalo_10.csv
Anthracene,P2.ES.875,106,ResultsOutputFile_Buffalo_10.csv
Anthracene,P8.ES.793,45,ResultsOutputFile_Buffalo_10.csv
Anthracene,P9.ES.866,71.5,ResultsOutputFile_Buffalo_10.csv
