ParameterID,ParameterName,CASNumber
32,"1,2,4-Trichlorobenzene",120-82-1
36,O-Dichlorobenzene,95-50-1
48,"1,3-Dichlorobenzene",541-73-1
54,P-Dichlorobenzene,106-46-7
69,1-Methylnaphthalene,90-12-0
70,1-Methylphenanthrene,832-69-9
71,1-Naphthylamine,134-32-7
109,"2,4-Dichlorophenol",120-83-2
146,2-Methylnaphthalene,91-57-6
151,2-Nitroaniline,88-74-4
160,"3,3'-Dimethoxybenzidine",119-90-4
170,"4,4'-DDD",72-54-8
171,"4,4'-DDE",72-55-9
172,"4,4'-DDT",50-29-3
175,"4,4'-Oxydianiline",101-80-4
176,"4,6-Dinitro-o-cresol (DNOC)",534-52-1
184,4-Chloro-3-methylphenol,59-50-7
185,4-Chloroaniline,106-47-8
189,4-Methylphenol,106-44-5
192,4-Nitrophenol,100-02-7
208,Acenaphthene,83-32-9
210,Acenaphthylene,208-96-8
228,Aldrin,309-00-2
231,Alpha-BHC,319-84-6
236,Ametryne,834-12-8
246,Aniline,62-53-3
247,Anthracene,120-12-7
255,Atrazine,1912-24-9
259,Azinphos-methyl,86-50-0
264,Propoxur,114-26-1
265,Bentazone,25057-89-0
271,Benzidine,92-87-5
272,Benz[a]anthracene,56-55-3
273,Benzo[a]pyrene,50-32-8
275,Benzo[b]fluoranthene,205-99-2
276,Benzo[e]pyrene,192-97-2
277,Benzo[ghi]perylene,191-24-2
279,Benzo[k]fluoranthene,207-08-9
283,Butyl benzyl phthalate,85-68-7
286,Beta-BHC,319-85-7
293,Bis(2-ethylhexyl)phthalate,117-81-7
298,Bromacil,314-40-9
306,Bromoxynil,1689-84-5
353,Carbaryl,63-25-2
355,Carbofuran,1563-66-2
371,Chlorfenvinphos,470-90-6
387,Chlorpropham,101-21-3
388,Chlorpyrifos,2921-88-2
390,Chrysene,218-01-9
420,Delta-BHC,319-86-8
429,Di-n-butyl phthalate,84-74-2
432,Diazinon,333-41-5
434,"Dibenzo[a,h]anthracene",53-70-3
436,"Dibenzo[a,e]pyrene",192-65-4
443,Dicamba,1918-00-9
447,Dichlorprop,120-36-5
448,Dichlorvos,62-73-7
449,Dicrotophos,141-66-2
450,Dieldrin,60-57-1
462,Diethyl phthalate,84-66-2
463,Diethylstilbestrol,56-53-1
466,Dimethoate,60-51-5
472,Fenthion,55-38-9
473,Fenuron,101-42-8
480,Fluometuron,2164-17-2
481,Fluoranthene,206-44-0
482,Fluorene,86-73-7
540,Linuron,330-55-2
565,Methiocarb,2032-65-7
567,Methoxychlor,72-43-5
595,Naphthalene,91-20-3
620,O-Toluidine,95-53-4
635,Phenanthrene,85-01-8
642,Phorate,298-02-2
667,Propyzamide,23950-58-5
668,Propachlor,1918-16-7
678,Pyrene,129-00-0
680,Quinoline,91-22-5
748,Dimethyl phthalate,131-11-3
752,Dinoseb,88-85-7
754,Diphenylamine,122-39-4
759,Disulfoton,298-04-4
762,Diuron,330-54-1
767,Endosulfan II,33213-65-9
768,Endosulfan sulfate,1031-07-8
769,Endrin,72-20-8
770,Endrin aldehyde,7421-93-4
771,Endrin ketone,53494-70-5
777,Ethion,563-12-2
812,Lindane,58-89-9
817,Heptachlor,76-44-8
818,Heptachlor epoxide,1024-57-3
820,Hexachlorobenzene,118-74-1
830,Hexazinone,51235-04-2
850,"Indeno[1,2,3-cd]pyrene",193-39-5
857,Metolachlor,51218-45-2
858,Metribuzin,21087-64-9
908,Oxamyl,23135-22-0
919,Parathion-methyl,298-00-0
950,Pentachlorobenzene,608-93-5
952,Pentachloronitrobenzene,82-68-8
953,Pentachlorophenol,87-86-5
956,Permethrin,52645-53-1
974,Simazine,122-34-9
975,Simetryn,1014-70-6
1006,Terbufos,13071-79-9
1007,Terbuthylazine,5915-41-3
1008,Terbutryn,886-50-0
1023,Tri-p-tolyl phosphate,78-32-0
1026,Triallate,2303-17-5
1037,TPP,115-86-6
1250,"2,4,6-Tribromophenol",118-79-6
300226,Bisphenol A,80-05-7
300229,Methiocarb Sulfone,2179-25-1
300230,Napropamide,15299-99-7
300235,Tebuconazole,107534-96-3
300236,Myclobutanil,88671-89-0
300237,Bifenthrin,82657-04-3
300240,Pendimethalin,40487-42-1
300247,Propanil,709-98-8
300249,Endosulfan I,959-98-8
300250,Iprodione,36734-19-7
300251,Methamidophos,10265-92-6
300252,Pirimiphos-methyl,29232-93-7
300268,PCB 170,35065-30-6
300270,PCB 138,35065-28-2
300273,PCB 118,31508-00-6
300281,PCB 180,35065-29-3
300283,PCB 153,35065-27-1
300284,PCB 101,37680-73-2
300285,PCB 52,35693-99-3
300317,"3,6-Dimethylphenanthrene",1576-67-6
300388,Dibenzothiophene,132-65-0
