SampleNumber,week_factor,size_factor
A170117,0.94,4.76
A170126,0.52,4.76
A170118,1.03,4.76
A170661,0.83,3.74
A170119,0.97,4.76
A171007,0.95,4.76
A171009,0.96,3.74
A170120,1.01,4.76
A171004,1.06,3.74
A170304,0.95,4.76
A170123,1.06,4.76
A170658,0.99,3.74
A170125,1.05,4.76
A170127,0.96,4.76
A170647,0.99,3.74
A170128,0.9,4.76
A170650,0.98,4.76
A170129,0.98,4.76
A170130,0.95,4.76
A170313,1.32,4.76
A170653,1,3.74
A170132,1.02,4.76
A170133,1,4.76
A170648,1,4.76
A170135,0.99,4.76
A170655,0.94,3.74
A170299,0.98,4.76
A170307,0.95,4.76
A170662,0.98,4.76
A170309,1.01,4.76
A170651,3.58,3.74
A170643,1.07,3.74
A170311,1.13,4.76
A170312,1.01,4.76
A171006,0.97,4.76
A170314,0.95,4.76
A170315,1,4.76
A171011,0.9,3.74
A170316,1.05,4.76
A171010,1,4.76
A170317,0.94,4.76
A170660,0.99,3.74
A170645,1,4.76
A170646,0.99,4.76
A170649,1,4.76
A170654,0.97,4.76
A170657,1.02,3.74
A171003,1,3.74
A170298,1,3.74
A171001,0.95,3.74
A171002,0.97,3.74
A171012,1,3.74
A171013,1,3.74
A171015,0.86,3.74
A171016,1.01,3.74
A171017,1.02,3.74
A171018,1.08,3.74
A171690,1.05,3.74
A171691,1,3.74
A171700,0.84,3.74
A171702,0.99,3.74
A171703,1.07,4.76
A171704,1,3.74
A171706,0.99,3.74
A171707,1.01,3.74
A171709,0.97,4.76
A171711,1.03,3.74
A171714,1,3.74
A171716,1.02,3.74
A180074,0.87,4.76
A180075,0.99,3.74
A180078,1,4.76
A171701,1,3.74
A181111,0.91,4.76
A181112,0.99,3.74
A181113,1,3.74
A181114,1.14,3.74
A181115,1.02,4.76
A181116,0.51,3.74
A181117,1.01,3.74
A181118,1.03,3.74
A181119,1.03,4.76
A181120,1.01,3.74
A181121,1,3.74
A181122,1.06,3.74
A181123,1,3.74
A181124,0.97,4.76
A181125,1.01,3.74
A181126,1.11,3.74
A181127,1,4.76
A181128,1,3.74
A181129,1,4.76
A181130,1,4.76
A181131,1.04,3.74
A181132,1,3.74
A181133,1,4.76
A181134,1,3.74
A181135,1,4.76
A181136,1,3.74
A181137,1,3.74
A181138,1.04,3.74
A181139,0.98,4.76
A181140,0.96,3.74
A181141,1,3.74
A181142,1,3.74
A181143,1,4.76
A181144,1.01,3.74
A181145,1,4.76
A181146,1.06,4.76
A181147,0.96,3.74
A181148,1,3.74
A190104,1.02,3.74
A190105,1.04,4.76
A190106,0.94,3.74
A190107,1.12,4.76
A190108,0.99,4.76
A190109,0.97,4.76
A190110,0.86,3.74
A190111,0.97,4.76
A190112,1.02,3.74
A190113,0.97,4.76
A190114,1,3.74
A190115,1.05,4.76
A190116,1,3.74
A190117,1,3.74
A190118,1,3.74
A190119,1,4.76
A190120,1.24,4.76
A190121,1,4.76
A190122,0.86,4.76
A190123,1,3.74
A190124,1.03,4.76
A190125,1,3.74
A190126,1,4.76
A190127,0.93,3.74
A190128,0.99,3.74
A190129,1.14,3.74
A190130,0.98,4.76
A190131,1.1,4.76
A190132,1.39,4.76
A190133,1,4.76
A190134,1.19,4.76
A190135,1,4.76
A190136,1.01,4.76
A190137,1,4.76
A190138,1.01,3.74
A190139,1.01,3.74
A190329,1.04,3.74
A190330,0.99,4.76
A190331,0.71,4.76
A190332,0.86,4.76
A190333,0.98,4.76
A190334,1.3,4.76
A190335,1.01,4.76
A190336,1,4.76
A190337,1.01,4.76
A190338,0.94,3.74
A190344,1,4.76
A111111,1,3.74
A111112,1.01,3.74
A111113,1,3.74
A111114,1.01,3.74
A111115,1,3.74
A111116,1.03,3.74
A111117,1.03,3.74
A111118,1.01,3.74
A111119,1.01,3.74
A11111A,1.02,3.74
A190349,1.02,3.74
A180347,0.327142857,4.76
A180355,0.33,4.76
A180348,0.708571429,4.76
A180351,0.452857143,4.76
A180349,0.342857143,4.76
A180356,0.304285714,4.76
A180350,0.304285714,4.76
A180354,0.351428571,4.76
A180352,0.708571429,4.76
A180353,0.327142857,4.76
