Chemical_Name,Chemical Category,Chemical Group,CAS,BetterCAS,Boiling Point (Â°C),Cancer Toxicity,Prop 65 Listed,IARC Listed,Reproductive Toxicity,Respiratory Toxicity,Dermal Toxicity,Environmental Toxicity,Summary_of_Health_Effects,Sources_of_Exposure,Environmental Impact Potential,Commercial_Products,Mitigation_Strategies
"Tolyltriazole [1H-Benzotriazole, 4-methyl-]",Heterocyclic compound,Heterocyclic compound,25013-17-4,25013-17-4,300-320,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems, potential carcinogen","Corrosion inhibitors, antifreeze",Moderate,"Corrosion inhibitors, antifreeze",Avoid exposure to industrial chemicals; use alternative corrosion inhibitors.
Trans-Nonachlor,Organochlorine pesticide,Pesticide,76-44-8,39517-23-8,110-130 (decomposes),Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, liver damage, cancer","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of nonachlor.
Trifenmorph,Fungicide,Fungicide,101-31-4,1420-06-0,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
"XMC (3,4-Dimethylphenyl N-methylcarbamate)",Carbamate insecticide,Carbamate,0102-03-01,102-03-0,200-220 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Pesticides, treated crops",High (persistent and bioaccumulative),"Pesticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Traseolide,Musk,Musk,0120-12-7,10120-12-7,340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
PCB 127,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,37680-73-2,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 138,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,37680-65-2,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 141,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,37680-68-5,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 143,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,57042-48-2,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 153,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,35065-28-2,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 91,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,37680-66-3,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 94,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,57042-48-2,,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
Pentachloroanisole,Phenol,Phenol,87-86-5,,260-270,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Phenol,Phenol,Phenol,108-95-2,,181.7,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"Prallethrin, cis-",Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Propenyl guaethol,Phenol,Phenol,120-54-4,,260-270,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Prothioconazole-desthio,Fungicide,Fungicide,178047-32-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Pyridaben,Insecticide,Insecticide,111982-73-5,,150-170 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Pyrimethanil,Fungicide,Fungicide,57805-25-1,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Simetryn,Herbicide,Herbicide,35512-25-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
TCMTB,Fungicide,Fungicide,134-86-5,,180-200 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Tebuconazole,Fungicide,Fungicide,107534-96-3,,230-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Terbucarb,Herbicide,Herbicide,5902-76-4,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Tetrachlorvinphos,Organophosphate insecticide,Insecticide,76-44-8,,110-130 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
"Tetrahydrophthalimide, cis-1,2,3,6-",Imide,Imide,85-44-9,,375,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Di-n-propyl phthalate,Organic compound,Phthalate,13117-47-7,,330-340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
"Dibenzo[a,h]anthracene",Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,189-61-4,,415,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Dimethametryn,Herbicide,Herbicide,3878-85-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Dipropyl isocinchomeronate,Fragrance,Fragrance,0120-12-7,,340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Empenthrin III,Synthetic pyrethroid insecticide,Insecticide,116-30-1,,150-170 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Farnesol II,Alcohol,Alcohol,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
