CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,E2up_onedose,P4up_onedose,E2up_CR,P4up_CR,HormoneSummary,AUC.Agonist,AUC.Antagonist,ERactivity,EDC,topEDCscore,Genotoxicity
100-42-5,DTXSID2021284,Styrene,MC,"IARC, ROC15_equivocal, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
101-14-4,DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
1010-61-3,-,4-Hydroxyaminoquinoline 1-oxide hydrochloride,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
101200-48-0,DTXSID8024101,Tribenuron-methyl,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,-
105650-23-5,DTXSID3037628,"2-Amino-1-methyl-6-phenylimidazo [4,5-b]pyridine",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
10589-74-9,DTXSID4020084,1-Amyl-1-nitrosourea,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
106-50-3,DTXSID9021138,"1,4-Benzenediamine",MC,IARC,positive,negative,high,low,"E2, P4",0.0201,0.0158,borderline_mixed,EDC+,high,positive
106-91-2,DTXSID0025361,Glycidyl methacrylate,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
106-93-4,DTXSID3020415,"1,2-Dibromoethane",MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,7.37e-05,0,inactive,EDC-,none,positive
106-99-0,DTXSID3020203,"1,3-Butadiene",MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
107-06-2,DTXSID6020438,"1,2-Dichloroethane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
107-13-1,DTXSID5020029,Acrylonitrile,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,0,0,inactive,EDC-,none,positive
110559-84-7,DTXSID4020610,1-Ethylnitroso-3-(2-oxopropyl)urea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
11097-69-1,DTXSID5020100,Aroclor 1254,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
1120-71-4,DTXSID8021195,"1,3-Propane sultone",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
113-38-2,DTXSID8023000,Estradiol dipropionate,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
118745-11-2,DTXSID701030249,"N-Formyl-N-hydroxy-4-aminostilbene, (E)-",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
118745-12-3,DTXSID701030251,N-Hydroxy-N-propionyl-trans-4-aminostilbene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
119-90-4,DTXSID3025091,C.I. Disperse Black 6,MC,"IARC, ROC15, Rudel2007",positive,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
119-93-7,DTXSID5024059,"3,3'-Dimethylbenzidine",MC,"IARC, ROC15, Rudel2007",positive,positive,medium,high,"E2, P4",0.139,0,low_agonism,EDC+,high,positive
121-14-2,DTXSID0020529,"2,4-Dinitrotoluene",MC,"IARC, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
121-66-4,DTXSID6020066,2-Amino-5-nitrothiazole,MC,"IARC, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
121-75-5,DTXSID4020791,Malathion,MC,"IARC, EPA_OPP_dismissed",negative,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
122-34-9,DTXSID4021268,Simazine,MC,"EPA_OPP_dismissed, ToxRefDB, Rudel2007",positive,negative,medium,low,"E2, P4",0,0,inactive,EDC+,medium,positive
122-66-7,DTXSID7020710,"1,2-Diphenylhydrazine",MC,"IARC, ROC15, NTP, ToxRefDB, LCDB, Rudel2007",negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
123-91-1,DTXSID4020533,"1,4-Dioxane",MC,"IARC, ROC15, EPA_IRIS, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
