week_factor,size_factor,SampleNumber
0.94,4.76,B00001
0.52,4.76,B00002
1.03,4.76,B00003
0.83,3.74,B00004
0.97,4.76,B00005
0.95,4.76,B00006
0.96,3.74,B00007
1.01,4.76,B00008
1.06,3.74,B00009
0.95,4.76,B00010
1.06,4.76,B00011
0.99,3.74,B00012
1.05,4.76,B00013
0.96,4.76,B00014
0.99,3.74,B00015
0.9,4.76,B00016
0.98,4.76,B00017
0.98,4.76,B00018
0.95,4.76,B00019
1.32,4.76,B00020
1,3.74,B00021
1.02,4.76,B00022
1,4.76,B00023
1,4.76,B00024
0.99,4.76,B00025
0.94,3.74,B00026
0.98,4.76,B00027
0.95,4.76,B00028
0.98,4.76,B00029
1.01,4.76,B00030
3.58,3.74,B00031
1.07,3.74,B00032
1.13,4.76,B00033
1.01,4.76,B00034
0.97,4.76,B00035
0.95,4.76,B00036
1,4.76,B00037
0.9,3.74,B00038
1.05,4.76,B00039
1,4.76,B00040
0.94,4.76,B00041
0.99,3.74,B00042
1,4.76,B00043
0.99,4.76,B00044
1,4.76,B00045
0.97,4.76,B00046
1.02,3.74,B00047
1,3.74,B00048
1,3.74,B00049
0.95,3.74,B00050
0.97,3.74,B00051
1,3.74,B00052
1,3.74,B00053
0.86,3.74,B00054
1.01,3.74,B00055
1.02,3.74,B00056
1.08,3.74,B00057
1.05,3.74,B00058
1,3.74,B00059
0.84,3.74,B00060
0.99,3.74,B00061
1.07,4.76,B00062
1,3.74,B00063
0.99,3.74,B00064
1.01,3.74,B00065
0.97,4.76,B00066
1.03,3.74,B00067
1,3.74,B00068
1.02,3.74,B00069
0.87,4.76,B00070
0.99,3.74,B00071
1,4.76,B00072
1,3.74,B00073
0.91,4.76,B00074
0.99,3.74,B00075
1,3.74,B00076
1.14,3.74,B00077
1.02,4.76,B00078
0.51,3.74,B00079
1.01,3.74,B00080
1.03,3.74,B00081
1.03,4.76,B00082
1.01,3.74,B00083
1,3.74,B00084
1.06,3.74,B00085
1,3.74,B00086
0.97,4.76,B00087
1.01,3.74,B00088
1.11,3.74,B00089
1,4.76,B00090
1,3.74,B00091
1,4.76,B00092
1,4.76,B00093
1.04,3.74,B00094
1,3.74,B00095
1,4.76,B00096
1,3.74,B00097
1,4.76,B00098
1,3.74,B00099
1,3.74,B00100
1.04,3.74,B00101
0.98,4.76,B00102
0.96,3.74,B00103
1,3.74,B00104
1,3.74,B00105
1,4.76,B00106
1.01,3.74,B00107
1,4.76,B00108
1.06,4.76,B00109
0.96,3.74,B00110
1,3.74,B00111
1.02,3.74,B00112
1.04,4.76,B00113
0.94,3.74,B00114
1.12,4.76,B00115
0.99,4.76,B00116
0.97,4.76,B00117
0.86,3.74,B00118
0.97,4.76,B00119
1.02,3.74,B00120
0.97,4.76,B00121
1,3.74,B00122
1.05,4.76,B00123
1,3.74,B00124
1,3.74,B00125
1,3.74,B00126
1,4.76,B00127
1.24,4.76,B00128
1,4.76,B00129
0.86,4.76,B00130
1,3.74,B00131
1.03,4.76,B00132
1,3.74,B00133
1,4.76,B00134
0.93,3.74,B00135
0.99,3.74,B00136
1.14,3.74,B00137
0.98,4.76,B00138
1.1,4.76,B00139
1.39,4.76,B00140
1,4.76,B00141
1.19,4.76,B00142
1,4.76,B00143
1.01,4.76,B00144
1,4.76,B00145
1.01,3.74,B00146
1.01,3.74,B00147
1.04,3.74,B00148
0.99,4.76,B00149
0.71,4.76,B00150
0.86,4.76,B00151
0.98,4.76,B00152
1.3,4.76,B00153
1.01,4.76,B00154
1,4.76,B00155
1.01,4.76,B00156
0.94,3.74,B00157
1,4.76,B00158
1,3.74,B00159
1.01,3.74,B00160
1,3.74,B00161
1.01,3.74,B00162
1,3.74,B00163
1.03,3.74,B00164
1.03,3.74,B00165
1.01,3.74,B00166
1.01,3.74,B00167
1.02,3.74,B00168
1.02,3.74,A190349
0.327142857,4.76,B00170
0.33,4.76,B00171
0.708571429,4.76,B00172
0.452857143,4.76,B00173
0.342857143,4.76,B00174
0.304285714,4.76,B00175
0.304285714,4.76,B00176
0.351428571,4.76,B00177
0.708571429,4.76,B00178
0.327142857,4.76,B00179
