ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Units
303316,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,4-methoxyphenol,1,Area_units
302999,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,amyl cinnamal,1,Area_units
301134,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Benzophenone,1,Area_units
303324,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Benzothiazole,1,Area_units
293,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Bis(2-ethylhexyl)phthalate,1,Area_units
283,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Butyl benzyl phthalate,1,Area_units
301114,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Butylated hydroxyanisole,1,Area_units
303220,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,butylated hydroxytoluene,1,Area_units
303339,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Citral B,1,Area_units
429,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Di-n-butyl phthalate,1,Area_units
301673,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Di-n-nonyl phthalate,1,Area_units
303219,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,drometrizole,1,Area_units
302850,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Galaxolide,1,Area_units
303009,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,lilial,1,Area_units
301537,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Musk Ketone,1,Area_units
956,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Permethrin,1,Area_units
1037,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,TPP,1,Area_units
301561,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-14,A170185,SO,4/19/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,Triclosan,1,Area_units
300389,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-15,A170186,SO,4/25/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,2-methylphenanthrene,1,Area_units
301098,MyExposome,565,5/17/2015 0:00,5/15/2017 15:11,24:34.8,NULL,NULL,MyE-15,A170186,SO,4/25/2017 0:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1529 analytes,,Organics - Dilution,3-Chloroaniline,1,Area_units
