Chemical_Name,Full_Min,Full_Max_,Full_Mean,Full_Median,Full_Count_Percent,Full_ST_Dev
1-Hydroxynaphthalene,16.4,438,192,162.75,1.47%,173
1-Methylnaphthalene,2.1,58.8,13.5,8.56,13.00%,11.8
1-Methylphenanthrene,8.13,60,22.4,17.35,4.99%,14.8
1-Methylpyrene,5.77,23.1,13,12.15,2.05%,5.57
1-Naphthylamine,36.5,1160,416,52.5,0.44%,644
"1,2-Dimethylnaphthalene",3.41,54.6,27.7,25.2,0.44%,25.7
"1,4-Dimethylnaphthalene",18.4,119,56.3,31.5,0.44%,54.7
"1,4-Naphthoquinone",111,111,111,111,0.15%,NA
"1,6-Dimethylnaphthalene",0.77,42.8,9.09,4.57,1.47%,12.7
"1,8-Dimethylnaphthalene",33.4,33.4,33.4,33.4,0.15%,NA
2-Aminophenol,158,158,158,158,0.15%,NA
2-Chloroaniline,227,438,332,332.5,0.29%,149
2-Chlorosyringaldehyde,69.3,62800,25100,18705,0.59%,30300
2-Ethylnaphthalene,4.19,4.19,4.19,4.19,0.15%,NA
"2-Methyl-9,10-anthraquinone",85.6,85.6,85.6,85.6,0.15%,NA
2-Methylanthracene,98.7,98.7,98.7,98.7,0.15%,NA
2-Methylnaphthalene,2.42,26.8,8.74,4.62,1.17%,8.65
2-Methylphenanthrene,1.08,116,27,22.3,8.21%,21.3
2-Methylphenol,150,477,314,313.5,0.29%,231
2-Naphthylamine,45.8,45.8,45.8,45.8,0.15%,NA
2-Sec-butylphenol,29.4,29.4,29.4,29.4,0.15%,NA
"2,3,5-Trimethylphenol",6.24,53.7,28.1,32.3,0.73%,19.7
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",3.19,771,163,122,12.50%,156
"2,4-Di-tert-amylphenol",50.9,50.9,50.9,50.9,0.15%,NA
"2,4-Di-tert-butylphenol",10.5,5290,677,279,38.10%,863
"2,4-Dichlorophenol",14.4,44.1,26.5,21,0.44%,15.6
"2,4-Dimethylaniline",6,198,102,102,0.29%,136
"2,6-Di-tert-butyl-4-ethylphenol",55.8,481,253,227,0.73%,156
"2,6-Di-tert-butylphenol",10.2,2860,964,23.3,0.44%,1640
"2,6-Diethylaniline",70.6,70.6,70.6,70.6,0.15%,NA
