SampleNumber,Dartmouth ID
A170125,2649
A170126,2650
A170117,2653
A170123,2655
A170120,2656
A170127,2657
A170118,2659
A170119,2661
A170130,2665
A170129,2667
A170133,2670
A170128,2673
A170135,2677
A170132,2678
A170316,2700
A170299,2708
A170309,2709
A170311,2710
A170313,2696
A170304,2683
A170312,2688
A170307,2698
A170317,2682
A170314,2676
A170315,2692
A170658,2738
A170643,2741
A170647,2718
A170649,2722
A170646,2733
A170648,2721
A170651,2735
A170653,2732
A170662,2719
A170654,2734
A170650,2736
A170645,2714
A170657,2745
A170660,2729
A170661,2717
A170655,2740
A171010,2749
A171011,2744
A171004,2748
A171009,2747
A171007,2752
A171003,2715
A171006,2751
A170298,2712
A171015,2760
A171012,2758
A171016,2765
A171013,2756
A171018,2762
A171001,2759
A171002,2755
A171017,2764
A171701,2784
A171700,2772
A180078,2783
A171706,2777
A171702,2785
A171711,2781
A171703,2775
A171707,2761
A171709,2763
A171714,2771
A171716,2770
A171704,2769
A180074,2788
A180075,2754
A171691,2802
A171690,2798
A181116,2731
A181115,2728
A181117,2742
A181126,2782
A181130,2796
A181111,2787
A181136,2808
A181121,2791
A181141,2806
A181122,2794
A181129,2801
A181118,2804
A181131,2805
A181124,2800
A181123,2790
A181120,2797
A181132,2799
A181134,2793
A181113,2786
A181125,2792
A181144,2823
A181143,2827
A181135,2822
A181142,2824
A181127,2815
A181133,2819
A181145,2820
A181147,2825
A181146,2831
A181148,2826
A181139,2812
A181137,2810
A181114,2811
A181138,2813
A181140,2816
A181112,2807
A181128,2795
A181119,2821
