recordID,masterParameterID,IRIS_Summary,Iris_ID,Last_Significant_Revision,QuickView
1,32,http://www.epa.gov/iris/subst/0119.htm,119,5/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0119
2,34,http://www.epa.gov/iris/subst/0414.htm,414,10/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0414
3,36,http://www.epa.gov/iris/subst/0408.htm,408,11/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0408
4,48,http://www.epa.gov/iris/subst/0447.htm,447,9/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0447
5,54,http://www.epa.gov/iris/subst/0552.htm,552,1/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0552
6,69,NULL,NULL,NULL,NULL
7,70,NULL,NULL,NULL,NULL
8,84,http://www.epa.gov/iris/subst/0294.htm,294,10/1/1996,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0294
9,85,http://www.epa.gov/iris/subst/0294.htm,294,10/1/1996,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0294
10,89,http://www.epa.gov/iris/subst/0108.htm,108,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0108
11,92,http://www.epa.gov/iris/subst/1024.htm,1024,2/17/2012,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=1024
12,101,http://www.epa.gov/iris/subst/0121.htm,121,7/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0121
13,102,NULL,NULL,NULL,NULL
14,104,http://www.epa.gov/iris/subst/0122.htm,122,7/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0122
15,109,http://www.epa.gov/iris/subst/0041.htm,41,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0041
16,111,http://www.epa.gov/iris/subst/0466.htm,466,11/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0466
17,114,NULL,NULL,NULL,NULL
18,115,NULL,NULL,NULL,NULL
19,116,NULL,NULL,NULL,NULL
20,134,http://www.epa.gov/iris/subst/0303.htm,303,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0303
21,146,http://www.epa.gov/iris/subst/1006.htm,1006,12/22/2003,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=1006
22,148,http://www.epa.gov/iris/subst/0300.htm,300,4/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0300
23,152,NULL,NULL,NULL,NULL
24,160,NULL,NULL,NULL,NULL
25,165,NULL,NULL,NULL,NULL
26,167,http://www.epa.gov/iris/subst/0301.htm,301,4/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0301
27,170,http://www.epa.gov/iris/subst/0347.htm,347,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0347
28,171,http://www.epa.gov/iris/subst/0328.htm,328,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0328
29,172,http://www.epa.gov/iris/subst/0147.htm,147,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0147
30,175,NULL,NULL,NULL,NULL
31,176,NULL,NULL,NULL,NULL
32,178,NULL,NULL,NULL,NULL
33,184,NULL,NULL,NULL,NULL
34,185,http://www.epa.gov/iris/subst/0320.htm,320,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0320
35,189,http://www.epa.gov/iris/subst/0302.htm,302,4/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0302
36,191,NULL,NULL,NULL,NULL
37,192,http://www.epa.gov/iris/subst/0484.htm,484,10/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0484
38,194,NULL,NULL,NULL,NULL
39,200,NULL,NULL,NULL,NULL
40,201,NULL,NULL,NULL,NULL
41,202,NULL,NULL,NULL,NULL
42,208,http://www.epa.gov/iris/subst/0442.htm,442,11/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0442
43,209,NULL,NULL,NULL,NULL
44,210,http://www.epa.gov/iris/subst/0443.htm,443,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0443
45,224,http://www.epa.gov/iris/subst/0129.htm,129,9/1/1993,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0129
46,228,http://www.epa.gov/iris/subst/0130.htm,130,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0130
47,231,http://www.epa.gov/iris/subst/0162.htm,162,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0162
48,232,NULL,NULL,NULL,NULL
49,236,http://www.epa.gov/iris/subst/0208.htm,208,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0208
50,238,NULL,NULL,NULL,NULL
51,245,NULL,NULL,NULL,NULL
52,246,http://www.epa.gov/iris/subst/0350.htm,350,11/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0350
53,247,http://www.epa.gov/iris/subst/0434.htm,434,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0434
54,251,http://www.epa.gov/iris/subst/0473.htm,473,6/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0473
55,254,NULL,NULL,NULL,NULL
56,255,http://www.epa.gov/iris/subst/0209.htm,209,10/1/1993,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0209
57,259,NULL,NULL,NULL,NULL
58,260,http://www.epa.gov/iris/subst/0351.htm,351,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0351
59,262,NULL,NULL,NULL,NULL
60,264,http://www.epa.gov/iris/subst/0210.htm,210,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0210
61,265,http://www.epa.gov/iris/subst/0134.htm,134,3/2/1998,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0134
62,271,http://www.epa.gov/iris/subst/0135.htm,135,7/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0135
63,272,http://www.epa.gov/iris/subst/0454.htm,454,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0454
64,273,http://www.epa.gov/iris/subst/0136.htm,136,7/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0136
65,275,http://www.epa.gov/iris/subst/0453.htm,453,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0453
66,276,NULL,NULL,NULL,NULL
67,277,http://www.epa.gov/iris/subst/0461.htm,461,12/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0461
68,278,NULL,NULL,NULL,NULL
69,279,http://www.epa.gov/iris/subst/0452.htm,452,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0452
70,283,http://www.epa.gov/iris/subst/0293.htm,293,9/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0293
71,286,http://www.epa.gov/iris/subst/0244.htm,244,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0244
72,293,http://www.epa.gov/iris/subst/0014.htm,14,9/7/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0014
73,298,NULL,NULL,NULL,NULL
74,306,http://www.epa.gov/iris/subst/0289.htm,289,6/30/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0289
75,309,NULL,NULL,NULL,NULL
76,312,http://www.epa.gov/iris/subst/0215.htm,215,10/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0215
77,351,http://www.epa.gov/iris/subst/0216.htm,216,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0216
78,352,http://www.epa.gov/iris/subst/0018.htm,18,3/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0018
79,353,http://www.epa.gov/iris/subst/0019.htm,19,11/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0019
80,355,http://www.epa.gov/iris/subst/0218.htm,218,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0218
81,361,NULL,NULL,NULL,NULL
82,362,http://www.epa.gov/iris/subst/0022.htm,22,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0022
83,371,NULL,NULL,NULL,NULL
84,377,http://www.epa.gov/iris/subst/0400.htm,400,12/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0400
85,382,NULL,NULL,NULL,NULL
86,385,NULL,NULL,NULL,NULL
87,386,http://www.epa.gov/iris/subst/0143.htm,143,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0143
88,387,http://www.epa.gov/iris/subst/0283.htm,283,6/30/1998,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0283
89,388,http://www.epa.gov/iris/subst/0026.htm,26,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0026
90,390,http://www.epa.gov/iris/subst/0455.htm,455,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0455
91,391,NULL,NULL,NULL,NULL
92,395,NULL,NULL,NULL,NULL
93,402,NULL,NULL,NULL,NULL
94,404,NULL,NULL,NULL,NULL
95,410,NULL,NULL,NULL,NULL
96,415,http://www.epa.gov/iris/subst/0221.htm,221,8/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0221
97,420,http://www.epa.gov/iris/subst/0163.htm,163,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0163
98,425,NULL,NULL,NULL,NULL
99,429,http://www.epa.gov/iris/subst/0038.htm,38,10/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0038
100,430,NULL,NULL,NULL,NULL
101,431,NULL,NULL,NULL,NULL
102,432,NULL,NULL,NULL,NULL
103,434,http://www.epa.gov/iris/subst/0456.htm,456,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0456
104,436,NULL,NULL,NULL,NULL
105,443,http://www.epa.gov/iris/subst/0223.htm,223,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0223
106,444,NULL,NULL,NULL,NULL
107,445,NULL,NULL,NULL,NULL
108,447,NULL,NULL,NULL,NULL
109,448,http://www.epa.gov/iris/subst/0151.htm,151,6/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0151
110,449,http://www.epa.gov/iris/subst/0211.htm,211,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0211
111,450,http://www.epa.gov/iris/subst/0225.htm,225,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0225
112,462,http://www.epa.gov/iris/subst/0226.htm,226,9/7/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0226
113,463,NULL,NULL,NULL,NULL
114,465,NULL,NULL,NULL,NULL
115,466,http://www.epa.gov/iris/subst/0044.htm,44,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0044
116,470,NULL,NULL,NULL,NULL
117,471,NULL,NULL,NULL,NULL
118,472,NULL,NULL,NULL,NULL
119,473,NULL,NULL,NULL,NULL
120,479,NULL,NULL,NULL,NULL
121,480,http://www.epa.gov/iris/subst/0241.htm,241,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0241
122,481,http://www.epa.gov/iris/subst/0444.htm,444,12/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0444
123,482,http://www.epa.gov/iris/subst/0435.htm,435,12/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0435
124,484,http://www.epa.gov/iris/subst/0054.htm,54,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0054
125,512,NULL,NULL,NULL,NULL
126,521,NULL,NULL,NULL,NULL
127,531,http://www.epa.gov/iris/subst/1017.htm,1017,9/22/2009,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=1017
128,538,NULL,NULL,NULL,NULL
129,540,http://www.epa.gov/iris/subst/0170.htm,170,8/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0170
130,550,http://www.epa.gov/iris/subst/0248.htm,248,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0248
131,565,NULL,NULL,NULL,NULL
132,566,http://www.epa.gov/iris/subst/0069.htm,69,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0069
133,567,http://www.epa.gov/iris/subst/0369.htm,369,4/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0369
134,574,NULL,NULL,NULL,NULL
135,594,http://www.epa.gov/iris/subst/0175.htm,175,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0175
136,595,http://www.epa.gov/iris/subst/0436.htm,436,9/17/1998,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0436
137,596,NULL,NULL,NULL,NULL
138,603,NULL,NULL,NULL,NULL
139,611,NULL,NULL,NULL,NULL
140,614,http://www.epa.gov/iris/subst/0082.htm,82,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0082
141,625,NULL,NULL,NULL,NULL
142,635,http://www.epa.gov/iris/subst/0459.htm,459,12/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0459
143,638,http://www.epa.gov/iris/subst/0088.htm,88,9/30/2002,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0088
144,642,NULL,NULL,NULL,NULL
145,643,http://www.epa.gov/iris/subst/0255.htm,255,12/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0255
146,644,http://www.epa.gov/iris/subst/0091.htm,91,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0091
147,645,NULL,NULL,NULL,NULL
148,664,NULL,NULL,NULL,NULL
149,665,http://www.epa.gov/iris/subst/0094.htm,94,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0094
150,666,http://www.epa.gov/iris/subst/0258.htm,258,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0258
151,667,http://www.epa.gov/iris/subst/0095.htm,95,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0095
152,668,http://www.epa.gov/iris/subst/0096.htm,96,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0096
153,670,http://www.epa.gov/iris/subst/0187.htm,187,8/28/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0187
154,671,http://www.epa.gov/iris/subst/0260.htm,260,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0260
155,676,NULL,NULL,NULL,NULL
156,678,http://www.epa.gov/iris/subst/0445.htm,445,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0445
157,688,NULL,NULL,NULL,NULL
158,698,NULL,NULL,NULL,NULL
159,748,http://www.epa.gov/iris/subst/0353.htm,353,9/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0353
160,751,NULL,NULL,NULL,NULL
161,752,http://www.epa.gov/iris/subst/0047.htm,47,8/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0047
162,753,NULL,NULL,NULL,NULL
