ParameterID,ParameterName,Abbreviation,CASNumber,MPAppliesTo,CustomXml,Created,DCTimeZoneID,CreatedBy,TSRV,MPCustom1,MPCustom2,MPCustom3,MPCustom4,MPCustom5,MPCustom6
32,"1,2,4-Trichlorobenzene",,120-82-1,NULL,NULL,NULL,NULL,1,0x000000000029591C,,C6H3Cl3,,223,,
34,"1,2-Dibromo-3-chloropropane",,96-12-8,NULL,NULL,NULL,NULL,1,0x0000000000295869,DBCP,C3H5Br2Cl,,219,,
36,o-Dichlorobenzene,NULL,95-50-1,NULL,NULL,NULL,NULL,1,0x00000000002955C9,"1,2-Dichlorobenzene",C6H4Cl2,NULL,215,NULL,NULL
48,"1,3-Dichlorobenzene",,541-73-1,NULL,NULL,NULL,NULL,1,0x00000000002CC2E0,,C6H4Cl2,,763,,
54,p-Dichlorobenzene,,106-46-7,NULL,NULL,NULL,NULL,1,0x00000000002955C6,"1,4-Dichlorobenzene",C6H4Cl2,,212,,
69,1-Methylnaphthalene,NULL,90-12-0,NULL,NULL,NULL,NULL,1,0x00000000042790EE,NULL,C11H10,142.2,1158,NULL,NULL
70,1-Methylphenanthrene,NULL,832-69-9,NULL,NULL,NULL,NULL,1,0x0000000004279102,NULL,C15H12,192.26,1198,,
84,PCB 201,,40186-71-8,NULL,NULL,NULL,NULL,1,0x00000000002955BB,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",C12H2Cl8,,201,,
85,PCB 98,,60233-25-2,NULL,NULL,NULL,NULL,1,0x000000000028A3DF,"2,2',3',4,6-Pentachlorobiphenyl",C12H5Cl5,,98,,
89,"2,3,4,6-Tetrachlorophenol",,58-90-2,NULL,NULL,NULL,NULL,1,0x00000000002991AD,,C6H2Cl4O,,273,,
90,"2,3,4,7,8-PeCDF",NULL,57117-31-4,NULL,NULL,NULL,NULL,1,0x000000000051258E,NULL,NULL,NULL,NULL,NULL,NULL
92,"2,3,7,8-TCDD",,1746-01-6,NULL,NULL,NULL,NULL,1,0x00000000002CC118,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",C12H4Cl4O2,,656,,
101,"2,4,5-Trichlorophenol",,95-95-4,NULL,NULL,NULL,NULL,1,0x0000000000295A1D,,C6H3Cl3O,,238,,
102,"2,4,5-Trimethylaniline",,137-17-7,NULL,NULL,NULL,NULL,1,0x00000000002CC2F0,,C9H13N,,779,,
104,"2,4,6-Trichlorophenol",,88-06-2,NULL,NULL,NULL,NULL,1,0x000000000029592D,,C6H3Cl3O,,235,,
109,"2,4-Dichlorophenol",,120-83-2,NULL,NULL,NULL,NULL,1,0x0000000000295878,,C6H4Cl2O,,222,,
111,"2,4-Dimethylphenol",,105-67-9,NULL,NULL,NULL,NULL,1,0x00000000002CC2E5,,C8H10O,,768,,
114,"2,4'-DDD",,53-19-0,NULL,NULL,NULL,NULL,1,0x00000000002C96E8,"o,p'-DDD",C14H10Cl4,,594,,
115,"2,4'-DDE",,3424-82-6,NULL,NULL,NULL,NULL,1,0x00000000002C9442,"o,p'-DDE",C14H8Cl4,,557,,
116,"2,4'-DDT",,789-02-6,NULL,NULL,NULL,NULL,1,0x00000000002C9726,"o,p'-DDT",C14H9Cl5,,624,,
118,"2,6-Dichlorophenol",NULL,87-65-0,NULL,NULL,NULL,NULL,1,0x00000000001DBEE1,NULL,NULL,NULL,NULL,NULL,NULL
134,2-Chlorophenol,,95-57-8,NULL,NULL,NULL,NULL,1,0x00000000002CC2DF,,C6H5ClO,,762,,
146,2-Methylnaphthalene,NULL,91-57-6,NULL,NULL,NULL,NULL,1,0x00000000042790ED,NULL,C11H10,142.2,1157,NULL,NULL
148,2-Methylphenol,,95-48-7,NULL,NULL,NULL,NULL,1,0x0000000000295866,o-Cresol,C7H8O,,216,,
152,2-Nitrophenol,,88-75-5,NULL,NULL,NULL,NULL,1,0x00000000002CC2E3,,C6H5NO3,,766,,
160,"3,3'-Dimethoxybenzidine",,119-90-4,NULL,NULL,NULL,NULL,1,0x00000000002CCED2,o-Dianisidine,C14H16N2O2,,1025,,
165,3-Hydroxycarbofuran,,16655-82-6,NULL,NULL,NULL,NULL,1,0x00000000002BF93E,,C12H15NO4,,424,,
167,m-Cresol,,108-39-4,NULL,NULL,NULL,NULL,1,0x0000000000295868,3-Methylphenol,C7H8O,,218,,
170,"4,4'-DDD",NULL,72-54-8,NULL,NULL,NULL,NULL,1,0x00000000002C9723,"p,p'-DDD",C14H10Cl4,NULL,621,NULL,NULL
171,"4,4'-DDE",NULL,72-55-9,NULL,NULL,NULL,NULL,1,0x00000000002C9462,"p,p'-DDE",C14H8Cl4,NULL,589,NULL,NULL
172,"4,4'-DDT",NULL,50-29-3,NULL,NULL,NULL,NULL,1,0x00000000002CC115,"p,p'-DDT",C14H9Cl5,NULL,653,NULL,NULL
175,"4,4'-Oxydianiline",,101-80-4,NULL,NULL,NULL,NULL,1,0x00000000002CC5C7,,C12H12N2O,,930,,
176,"4,6-Dinitro-o-cresol (DNOC)",,534-52-1,NULL,NULL,NULL,NULL,1,0x00000000002991B9,"4,6-Dinitro-2-methylphenol",C7H6N2O5,,285,,
178,4-Aminobiphenyl,,92-67-1,NULL,NULL,NULL,NULL,1,0x00000000002CC352,,C12H11N,,830,,
184,4-Chloro-3-methylphenol,,59-50-7,NULL,NULL,NULL,NULL,1,0x00000000002CF79D,,C7H7ClO,,776,,
185,4-Chloroaniline,,106-47-8,NULL,NULL,NULL,NULL,1,0x000000000029591F,,C6H6ClN,,226,,
186,4-Chlorophenyl phenyl ether,NULL,7005-72-3,NULL,NULL,NULL,NULL,1,0x00000000001DBF25,NULL,NULL,NULL,NULL,NULL,NULL
189,4-Methylphenol,,106-44-5,NULL,NULL,NULL,NULL,1,0x0000000000295867,,C7H8O,,217,,
191,4-Nitrobiphenyl,,92-93-3,NULL,NULL,NULL,NULL,1,0x00000000002CF280,,C12H9NO2,,1175,,
192,4-Nitrophenol,,100-02-7,NULL,NULL,NULL,NULL,1,0x00000000002CC325,,C6H5NO3,,797,,
194,p-Nitrotoluene,,99-99-0,NULL,NULL,NULL,NULL,1,0x0000000000295922,4-Nitrotoluene,C7H7NO2,,228,,
200,5-Nitroacenaphthene,,602-87-9,NULL,NULL,NULL,NULL,1,0x00000000002CF281,,C12H9NO2,,1176,,
201,6-Methyl chrysene,NULL,1705-85-7,NULL,NULL,NULL,NULL,1,0x0000000004279112,NULL,C19H14,242.32,1165,NULL,NULL
202,"7,12-Dimethylbenz(a)anthracene",NULL,57-97-6,NULL,NULL,NULL,NULL,1,0x000000000427913B,NULL,NULL,256.346,NULL,NULL,NULL
