ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,VennGroup,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
302999,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,amyl cinnamal,21000,,ng/WB
303000,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,b-Ionone,5600,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,9500,,ng/WB
301114,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Butylated hydroxyanisole,2000,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,12000,,ng/WB
301449,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Cashmeran,920,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,63000,,ng/WB
301673,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,22000,,ng/WB
301315,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diamyl phthalate,78000,,ng/WB
302981,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Ethylene brassylate,87000,,ng/WB
302850,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Galaxolide,2200,,ng/WB
303009,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,lilial,37000,,ng/WB
301478,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Phantolide,620,,ng/WB
301505,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-PA,A180347,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Tonalide,6800,,ng/WB
69,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,1-methylnaphthalene,59,,ng/WB
302999,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,amyl cinnamal,10000,,ng/WB
247,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,anthracene,230,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,2700,,ng/WB
293,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,37000,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,30000,,ng/WB
301493,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Caffeine,30000,,ng/WB
412,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,d-Limonene,770,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,60000,,ng/WB
301673,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,6800,,ng/WB
462,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diethyl phthalate,15000,,ng/WB
302981,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Ethylene brassylate,140000,,ng/WB
301443,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Eugenol,1200,,ng/WB
302850,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Galaxolide,49000,,ng/WB
303009,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,lilial,95000,,ng/WB
