ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Units
247,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Anthracene,1,NULL
301134,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzophenone,1,NULL
301479,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzyl benzoate,1,NULL
283,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butyl benzyl phthalate,1,NULL
301114,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butylated hydroxyanisole,1,NULL
301493,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Caffeine,1,NULL
302850,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Galaxolide,1,NULL
302170,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,TCPP,1,NULL
301437,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Thymol,1,NULL
301505,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Tonalide,1,NULL
1037,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,TPP,1,NULL
300639,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Tributyl phosphate,1,NULL
301429,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9368,A150052,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Triethyl phosphate,1,NULL
301134,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzophenone,1,NULL
301479,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzyl benzoate,1,NULL
283,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butyl benzyl phthalate,1,NULL
301114,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butylated hydroxyanisole,1,NULL
301493,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Caffeine,1,NULL
301433,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Carvone,1,NULL
302850,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Galaxolide,1,NULL
300641,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,"N,N-Diethyl-m-toluamide",1,NULL
956,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Permethrin,1,NULL
302170,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,TCPP,1,NULL
301505,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Tonalide,1,NULL
1037,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,TPP,1,NULL
300639,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Tributyl phosphate,1,NULL
301561,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,9567,A150053,,1/30/2015 9:25,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Triclosan,1,NULL
247,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,3762,A150054,,1/30/2015 10:00,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Anthracene,1,NULL
301134,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,3762,A150054,,1/30/2015 10:00,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzophenone,1,NULL
301479,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,3762,A150054,,1/30/2015 10:00,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzyl benzoate,1,NULL
283,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,3762,A150054,,1/30/2015 10:00,NULL,NULL,PSD-Personal,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butyl benzyl phthalate,1,NULL
