ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Units
300715,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,PBDE 99,33,pg/uL
300728,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,PBDE 47,44,pg/uL
301429,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,Triethyl phosphate,150,pg/uL
1037,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,  TPP,300,pg/uL
300639,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,Tributyl phosphate,800,pg/uL
301971,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,TDCPP,1300,pg/uL
301477,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,TCEP,37.1J,pg/uL
302076,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,PBDE 25,BLOD,pg/uL
302068,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,PBDE 3,BLOD,pg/uL
302077,MyExposome,341,15FEB24-01,2/24/2015 9:52,34:26.3,NULL,NULL,MyExp1,MyExp1,,2/3/2015 6:14,NULL,NULL,PSD-Personal,,GC-MS - Flame Retardants 2015,SOP 417.00,Organics - Dilution,PBDE 30,BLOD,pg/uL
