SampleNumber,week.factor,size.factor,Dartmouth ID,
A170125,1.05,4.76,2649,
A170126,0.52,4.76,2650,
A170117,0.94,4.76,2653,
A170123,1.06,4.76,2655,
A170120,1.01,4.76,2656,
A170127,0.96,4.76,2657,
A170118,1.03,4.76,2659,
A170119,0.97,4.76,2661,
A170130,0.95,4.76,2665,
A170129,0.98,4.76,2667,
A170133,1.00,4.76,2670,
A170128,0.90,4.76,2673,
A170135,0.99,4.76,2677,
A170132,1.02,4.76,2678,
A170316,1.05,4.76,2700,
A170299,0.98,4.76,2708,
A170309,1.01,4.76,2709,
A170311,1.13,4.76,2710,
A170313,1.27,4.76,2696,
A170304,0.95,4.76,2683,
A170312,1.01,4.76,2688,
A170307,0.95,4.76,2698,
A170317,0.94,4.76,2682,
A170314,0.95,4.76,2676,
A170315,1.00,4.76,2692,
A170658,0.99,3.74,2738,
A170643,1.03,3.74,2741,
A170647,0.99,3.74,2718,
A170649,1.00,4.76,2722,
A170646,0.99,4.76,2733,
A170648,1.00,4.76,2721,
A170651,3.58,3.74,2735,
A170653,1.00,3.74,2732,
A170662,0.98,4.76,2719,
A170654,0.97,4.76,2734,
A170650,0.98,4.76,2736,
A170645,1.00,4.76,2714,
A170657,1.02,3.74,2745,
A170660,0.99,3.74,2729,
A170661,0.83,3.74,2717,
A170655,0.94,3.74,2740,
A171010,1.00,4.76,2749,
A171011,0.90,3.74,2744,
A171004,1.06,3.74,2748,
A171009,0.96,3.74,2747,
A171007,0.95,4.76,2752,
A171003,1.00,3.74,2715,
A171006,0.97,4.76,2751,
A170298,1.00,3.74,2712,
A171015,0.86,3.74,2760,
A171012,1.00,3.74,2758,
A171016,1.01,3.74,2765,
A171013,1.00,3.74,2756,
A171018,1.08,3.74,2762,
A171001,0.95,3.74,2759,
A171002,0.97,3.74,2755,
A171017,1.02,3.74,2764,
A171701,1.00,3.74,2784,
A171700,0.79,3.74,2772,
A180078,1.00,4.76,2783,
A171706,0.99,3.74,2777,
A171702,0.99,3.74,2785,
A171711,1.03,3.74,2781,
A171703,1.07,4.76,2775,
A171707,1.01,3.74,2761,
A171709,0.97,4.76,2763,
A171714,1.00,3.74,2771,
A171716,1.02,3.74,2770,
A171704,1.00,3.74,2769,
A180074,0.87,4.76,2788,
A180075,0.99,3.74,2754,
A171691,1.00,3.74,2802,
A171690,1.05,3.74,2798,
A181116,0.51,3.74,2731,
A181115,1.02,4.76,2728,
A181117,1.01,3.74,2742,
A181126,1.11,3.74,2782,
A181130,1.00,4.76,2796,
A181111,0.91,4.76,2787,
A181136,1.00,3.74,2808,
A181121,1.00,3.74,2791,
A181141,1.00,3.74,2806,
A181122,1.06,3.74,2794,
A181129,1.00,4.76,2801,
A181118,1.03,3.74,2804,
A181131,1.04,3.74,2805,
A181124,0.97,4.76,2800,
A181123,1.00,3.74,2790,
A181120,1.01,3.74,2797,
A181132,1.00,3.74,2799,
A181134,1.00,3.74,2793,
A181113,1.00,3.74,2786,
A181125,1.01,3.74,2792,
A181144,1.01,3.74,2823,
A181143,1.00,4.76,2827,
A181135,1.00,4.76,2822,
A181142,1.00,3.74,2824,
A181127,1.00,4.76,2815,
A181133,1.00,4.76,2819,
A181145,1.00,4.76,2820,
A181147,0.96,3.74,2825,
A181146,1.06,4.76,2831,
A181148,1.00,3.74,2826,
A181139,0.98,4.76,2812,
A181137,1.00,3.74,2810,
A181114,1.14,3.74,2811,
A181138,1.04,3.74,2813,
A181140,0.96,3.74,2816,
A181112,0.99,3.74,2807,
A181128,1.00,3.74,2795,
A181119,1.03,4.76,2821,
,,,,
