ParameterID,ParameterName,CasNumber,AlternateName,MolecularFormula,MolecularWeight
1037,TPP,115-86-6,Triphenylphosphate,C18H15O4P,
300639,Tributyl phosphate,126-73-8,,C12H27O4P,
300714,PBDE 49,243982-82-3,"2,2',4,5'-Tetrabromodiphenyl ether",,
300715,PBDE 99,60348-60-9,"2,2',4,4',5-Pentabromodiphenyl ether",C12H5Br5O,564.69
300716,PBDE 153,68631-49-2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",,
300727,PBDE 17,147217-75-2,"2,2',4-Tribromodiphenyl ether",,
300728,PBDE 47,5436-43-1,"2,2',4,4'-Tetrabromodiphenyl ether",,
300729,PBDE 66,189084-61-5,"2,3',4,4'-Tetrabromodiphenyl ether",,
300730,PBDE 75,189084-63-7,,,
300732,PBDE 100,189084-64-8,"2,2',4,4',6-Pentabromodiphenyl ether",,
300733,PBDE 154,207122-15-4,"2,2',4,4',5,6'-Hexabromodiphenyl ether",,
301429,Triethyl phosphate,78-40-0,,C6H15O4P,
301477,TCEP,115-96-8,Tris(2-chloroethyl) phosphate,C6H12Cl3O4P,
301971,TDCPP,13674-87-8,"Phosphoric acid, tris(1,3-dichloro-2-propyl) ester",C9H15Cl6O4P,430.9
302066,PBDE 1,6/1/7025,2-Bromodiphenyl ether,12H9BrO,249.10326
302067,PBDE 2,6876-00-2,3-Bromodiphenyl ether,,
302068,PBDE 3,101-55-3,4-Bromodiphenyl ether,,
302069,PBDE 7,171977-44-9,"2,4-Dibromodiphenyl ether",,
302070,PBDE 8,147217-71-8,"2,4'-Dibromodiphenyl ether",,
302071,PBDE 10,51930-04-2,"2,6-Dibromodiphenyl ether",,
302072,PBDE 11,6903-63-5,"3,3'-Dibromodiphenyl ether",,
302073,PBDE 12,189084-59-1,"3,4-Dibromodiphenyl ether",,
302074,PBDE 13,83694-71-7,"3,4'-Dibromodiphenyl ether",,
302075,PBDE 15,2050-47-7,"4,4'-Dibromodiphenyl ether",,
302076,PBDE 25,147217-77-4,"2,3',4-Tribromodiphenyl ether",,
302077,PBDE 30,155999-95-4,"2,4,6-Tribromodiphenyl ether",,
302078,PBDE 32,189084-60-4,"2,4',6-Tribromodiphenyl ether",,
302080,PBDE 35,147217-80-9,"3,3',4-Tribromodiphenyl ether",,
302081,PBDE 37,147217-81-0,"3,4,4'-Tribromodiphenyl ether",,
302082,PBDE 71,189084-62-6,"2,3',4',6-Tetrabromodiphenyl ether",,
302083,PBDE 77,93703-48-1,"3,3',4,4'-Tetrabromodiphenyl ether",,
302084,PBDE 116,189084-65-9,"2,3,4,5,6-Pentabromodiphenyl ether",,
302085,PBDE 118,446254-80-4,"2,3',4,4',5-Pentabromodiphenyl ether",,
302086,PBDE 119,189084-66-0,"2,3',4,4',6-Pentabromodiphenyl ether",,
302088,PBDE 138,182677-30-1,"2,2',3,4,4',5-Hexabromodiphenyl ether",,
302089,PBDE 166,189084-58-0,"2,3,4,4',5,6-Hexabromodiphenyl ether",,
302090,PBDE 181,189084-67-1,"2,2',3,4,4',5,6-Heptabromodiphenyl ether",,
302091,PBDE 183,207122-16-5,"2,2',3,4,4',5',6-Heptabromodiphenyl ether",,
302092,PBDE 190,189084-68-1,"2,3,3',4,4',5,6-Heptabromodiphenyl ether",,
302167,Di(2-ethylhexyl)tetrabromophthalate,26040-51-7,Di(2-ethylhexyl)tetrabromophthalate,,
302170,TCPP,26248-87-3,Tris(1-Chloro-2-propyl) phosphate,C9H18Cl3O4P,327.57
302172,TBB,183658-27-7,"2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate",C15H18Br4O2,549.92
302325,PBDE 28+33,N/A,,,
