ParameterID,ParameterName,CasNumber,AlternateName,MolecularFormula,MolecularWeight
303006,cinnamal,104-55-2,,,
303007,cinnamyl alcohol,104-54-1,,,
303009,lilial,80-54-6,2-(4-TERT-BUTYLBENZYL)PROPIONALDEHYDE,C14H20O,204.31
303010,lyral,31906-04-4,4-(4-HYDROXY-4-METHYLPENTYL)-3-CYCLOHEXENE-1-CARBOXALDEHYDE,C13H22O2,210.31
303011,METHYL 2-OCTYNOATE,111-12-6,,CH3(CH2)4C CCO2CH3,154.21
303217,n-phenyl-2-naphthylamine,135-88-6,,,
303218,n-phenyl-1-naphthylamine,90-30-2,,,
303219,drometrizole,2440-22-4,,,
303220,butylated hydroxytoluene,128-37-0,,,
303222,"2,4-dinitroaniline",97-02-9,,,
303223,2-chloroaniline,95-51-2,,,
303224,"4,4'-Methylenedianiline",101-77-9,,,
303225,2-chloro-4-nitroaniline,121-87-9,,,
303226,4-chloro-2-nitroaniline,89-63-4,,,
303227,"2-chloro-4,6-dinitroaniline",3531-19-9,,,
303228,"2,6-dibromo-4-nitroaniline",827-94-1,,,
303229,"2-bromo-4,6-dinitroaniline",1817-73-8,,,
303231,bisphenol Z,843-55-0,,,
303232,bisphenol E,8/5/2081,,,
303233,bisphenol B,77-40-7,,,
303234,bisphenol AF,1478-61-1,,,
303235,4-hydroxybiphenyl,92-69-3,,,
303240,2-bromophenol,95-56-7,,,
303241,4-hydroxy-3-chlorobiphenyl,92-04-6,,,
303242,"3,4,5-trichlorophenol",609-19-8,,,
303245,3-chlorophenol,108-43-0,,,
303246,3-nitrophenol,554-84-7,,,
303247,3-hydroxybiphenyl,580-51-8,,,
303248,4-chloro-2-methylphenol,1570-64-5,,,
303249,4-ethoxyphenol,622-62-8,,,
303250,4-n-octylphenol,1806-26-4,,,
303252,indole,120-72-9,,,
303253,benzotriazole,95-14-7,,,
303254,"2,4-dichloroaniline",554-00-7,,,
303255,"2,5-dichloroaniline",95-82-9,,,
303256,"2,3-dimethylaniline",87-59-2,,,
303258,"2,5-dimethylaniline",95-78-3,,,
303259,"2,6-diethylaniline",579-66-8,,,
303260,"2,6-diisopropylaniline",24544-04-5,,,
303261,2-ethylaniline,578-54-1,,,
303262,2-isopropylaniline,643-28-7,,,
303263,"2,3,5-trimethylphenol",697-82-5,,,
303265,"2,5-dichlorophenol",583-78-8,,,
303266,"2,6-ditertbutyl-4-methoxyphenol",489-01-0,,,
303267,"2,6-dimethoxyphenol",91-10-1,,,
303268,2-(1-methylbutyl)phenol,87-26-3,,,
303270,propenyl guaethol,94-86-0,,,
303272,2-ethylphenol,90-00-6,,,
303273,2-propylphenol,644-35-9,,,
303274,3-(dimethylamino)phenol,99-07-0,,,
303275,"3,5-dimethylphenol",108-68-9,,,
303276,3-ethylphenol,620-17-7,,,
303277,3-methoxyphenol,150-19-6,,,
303278,3-tert-butylphenol,585-34-2,,,
303279,"4-amino-2,6-dichlorophenol",5930-28-9,,,
303280,4-butylphenol,1638-22-8,,,
303281,4-isopropylphenol,99-89-8,,,
303282,"2,4,6-trichloroaniline",634-93-5,,,
303283,"3,4-dimethylaniline",95-64-7,,,
303284,"3,5-dimethylaniline",108-69-0,,,
303285,m-toluidine,108-44-1,,,
303286,p-toluidine,106-49-0,,,
303287,"2,4-dichloro-3,5-dimethylphenol",133-53-9,,,
303288,"2,3-xylenol",526-75-0,,,
303289,"2,4,6-triiodophenol",609-23-4,,,
303291,"2,4-bis(alpha,alpha-dimethylbenzyl)phenol",2772-45-4,,,
303292,"2,4-di-tert-amylphenol",120-95-6,,,
303293,"2,4-di-tert-butylphenol",96-76-4,,,
303294,"2,6-di-tert-butyl-4-dimethylaminomethylphenol",88-27-7,,,
303295,"2,6-Di-tert-butyl-4-ethylphenol",4130-42-1,,,
303296,"2,6-Di-tert-butylphenol",128-39-2,,,
303298,2-sec-butylphenol,89-72-5,,,
303299,2-Amino-4-chlorophenol,95-85-2,,,
303300,2-amino-p-cresol,95-84-1,,,
303302,2-aminophenol,95-55-6,,,
303303,6-chloro-m-cresol,615-74-7,,,
303304,2-ethoxyphenol,94-71-3,,,
303305,2-isopropylphenol,88-69-7,,,
303306,2-methoxy-4-methylphenol,93-51-6,,,
303307,guaiacol,90-05-1,,,
303308,"3,4-dimethylphenol",95-65-8,,,
303309,"n,n-diethyl-3-aminophenol",91-68-9,,,
303311,4-aminophenol,123-30-8,,,
303312,4-benzylphenol,101-53-1,,,
303313,"4-chloro-3,5-dimethylphenol",88-04-0,,,
303314,4-alpha-cumylphenol,599-64-4,,,
303315,4-ethylphenol,123-07-9,,,
303316,4-methoxyphenol,150-76-5,,,
303317,2-nitro-p-cresol,119-33-5,,,
303319,4-tert-butylphenol,98-54-4,,,
303321,4-(2-benzothiazolyldithio)morpholine,95-32-9,,,
303322,N-Cyclohexyl-2-benzothiazolylsulfenamide,95-33-0,,,
303323,2-(morpholinothio)benzothiazole,102-77-2,,,
303324,Benzothiazole,95-16-9,,C7H5NS,135.19
303325,2-Mercaptobenzothiazole,149-30-4,,C7H5NS2,167.25
303326,2-(4-chlorophenyl)benzothiazole,6265-91-4,,C13H8ClNS,245.732
303327,2-benzothiazolyl sulfide,4074-77-5,,C14H8N2S3,300.425
303339,Citral B,5392-40-5,"(2Z)-3,7-Dimethyl-2,6-octadiena",C10H16O,152.233
303340,Farnesol II,4602-84-0,,C15H26O,222.366
303341,Farnesol III,4602-84-0,,C15H26O,222.366
303342,Farnesol IV,4602-84-0,,C15H26O,222.366
