ParameterID,chemicalLink,toxicityType,listingMechanism,listingMechanismLink,dateListed,doseage,doseageLink
2,,cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/072613noil.html,13-Sep-13,,
10,,cancer,AB,,1-Jan-90,100,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
18,,cancer,SQE,,1-Jan-88,,
28,,cancer,AB,,1-Oct-92,,
34,,cancer,FR,,1-Jul-87,0.1,
34,,male,FR,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/requests_info/092013ChangeBasis.html,27-Feb-87,3.1 (oral)                          4.3 (inhalation) ,http://oehha.ca.gov/media/downloads/crnr/oehha2004c.pdf
35,,cancer,FR,,1-Jul-87,0.2 (oral)                          3 (inhalation),
35,,"developmental, male ",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
38,,cancer,SQE,,1-Oct-87,10,
41,,cancer,AB,,1-Jan-90,9.7,http://oehha.ca.gov/media/downloads/crnr/oehha2004a.pdf
42,,male,AB,,1-Jul-90,38,http://oehha.ca.gov/media/downloads/crnr/dnbmadl31403.pdf
47,,cancer,SQE,http://oehha.ca.gov/media/downloads/proposition-65/13-dcphida.pdf,8-Oct-10,,
52,,male,AB,,1-Jul-90,,
53,,cancer,AB,,1-Jan-90,,
54,,cancer,SQE,,1-Jan-89,20,
58,,male,AB,,1-Jul-90,,
59,,cancer,SQE,,1-Jan-88,30,
71,,cancer,LC,,1-Oct-89,,
84,,cancer,LC,,1-Oct-89,0.09,
84,,developmental,SQE,,1-Jan-91,,
85,,cancer,LC,,1-Oct-89,0.09,
85,,developmental,SQE,,1-Jan-91,,
92,,cancer,SQE,,1-Jan-88,0.000005,
92,,developmental,AB,,1-Apr-91,,
104,,cancer,SQE,,1-Jan-88,10,
106,http://www.oehha.ca.gov/prop65/CRNR_notices/chemicals_reconsideration/delist62201.html,"developmental,   male   ",AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/pkg11b1.pdf,18-Jun-99,910,http://oehha.ca.gov/media/downloads/crnr/24dbutyricacidmadl.pdf
108,,cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
113,,cancer,SQE,,1-Jul-88,2,
113,,male ,AB,http://oehha.ca.gov/media/downloads/crnr/abpkg6a.pdf,20-Aug-99,,
116,,"developmental, female, male ",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
119,,cancer,SQE,,1-Jul-95,,
119,,male ,AB,http://oehha.ca.gov/media/downloads/crnr/abpkg6a.pdf,20-Aug-99,,
121,,cancer,SQE,,1-Jul-87,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
123,,cancer,LC,,1-Oct-89,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
138,,"developmental, male",SQE,,1-Jan-89,750 (oral)                         960 (inhalation),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/egeeegeeamadls033007.pdf
139,,"developmental, male",AB,,1-Jan-93,1100 (oral)                       1400 (inhalation),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/egeeegeeamadls033007.pdf
142,,developmental,SQE,http://oehha.ca.gov/proposition-65/crnr/chemical-listed-effective-december-4-2015-known-state-california-cause,4-Dec-15,,
142,,male ,SQE,,7-Aug-09,,
150,,cancer,LC,,27-Feb-87,0.4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
153,,cancer,SQE,,1-Jan-88,,
154,,cancer ,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
159,,cancer,SQE,,1-Oct-87,0.6,
160,,cancer,SQE,,1-Jan-88,0.15,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethoxybenzidinensrlaug202002.pdf
161,,cancer,SQE,,1-Jan-88,0.044,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethylbenzidinensrlaug2002.pdf
166,,cancer,AB,,1-Jan-90,0.03,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
170,,cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
171,,"developmental, male ",AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/NOILABpkg38_012910.html,30-Mar-10,,
171,,cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
172,,cancer,SQE,,1-Oct-87,"2                                      (DDT, DDE, DDD in combination)",
172,,"developmental, female, male ",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
173,,cancer,FR,,1-Jul-87,0.5,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
174,,cancer,LC,,1-Oct-89,20,
175,,cancer,SQE,,1-Jan-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
178,,cancer,LC,,27-Feb-87,0.03,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
182,,cancer,SQE,,1-Jan-88,40,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
