ParameterID,ChemicalUrl,OralRfDAssessment,InhalationRfCAssessment,CarcinogenicityAssessment
2,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=265,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 03-01-1989)
10,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=409,No,No,Yes (Last revised: 10-01-1990)
11,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=39,Yes (Last revised: 08-13-2002),Yes (Last revised: 08-13-2002),Yes (Last revised: 08-13-2002)
28,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=200,Yes (Last revised: 09-30-2009),Yes (Last revised: 09-30-2009),Yes (Last revised: 09-30-2009)
30,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1039,Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016)
31,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=107,Yes (Last revised: 01-31-1987),No,No
32,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=119,Yes (Last revised: 05-01-1992),No,Yes (Last revised: 06-01-1989)
33,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1037,Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016)
34,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=414,No,Yes (Last revised: 10-01-1991),No
35,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=361,Yes (Last revised: 07-29-2004),Yes (Last revised: 07-29-2004),Yes (Last revised: 07-29-2004)
36,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=408,Yes (Last revised: 08-01-1989),No,Yes (Last revised: 11-01-1990)
38,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=149,No,No,Yes (Last revised: 03-31-1987)
41,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=601,No,Yes (Last revised: 12-01-1991),No
42,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=318,Yes (Last revised: 08-22-1988),No,Yes (Last revised: 03-01-1991)
45,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1038,Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016),Yes (Last revised: 09-09-2016)
46,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=316,Yes (Last revised: 10-01-1997),No,No
48,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=447,No,No,Yes (Last revised: 09-01-1990)
52,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=633,No,No,Yes (Last revised: 09-01-1992)
54,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=552,No,Yes (Last revised: 01-01-1994),No
59,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=326,Yes (Last revised: 08-11-2010),Yes (Last revised: 09-20-2013),Yes (Last revised: 09-20-2013)
65,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=415,No,No,Yes (Last revised: 04-01-1990)
84,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
85,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
89,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=108,Yes (Last revised: 03-01-1988),No,No
92,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1024,Yes (Last revised: 02-17-2012),No,Message (Last revised: 02-17-2012)
101,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=121,Yes (Last revised: 01-31-1987),Message (Last revised: 07-01-1991),No
104,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=122,No,Message (Last revised: 07-01-1991),Yes (Last revised: 06-01-1990)
108,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=536,No,Message (Last revised: 03-01-1991),No
109,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=41,Yes (Last revised: 01-31-1987),No,No
111,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=466,Yes (Last revised: 11-01-1990),No,No
