ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
32,"1,2,4-Trichlorobenzene",120-82-1,,C6H3Cl3,181.447
34,"1,2-Dibromo-3-chloropropane",96-12-8,DBCP,C3H5Br2Cl,236.333
36,o-Dichlorobenzene,95-50-1,"1,2-Dichlorobenzene",C6H4Cl2,147.002
48,"1,3-Dichlorobenzene",541-73-1,,C6H4Cl2,145.002
54,p-Dichlorobenzene,106-46-7,"1,4-Dichlorobenzene",C6H4Cl2,146.998
60,"1,4-Naphthoquinone",130-15-4,,C10H6O2,158.156
69,1-methylnaphthalene,90-12-0,N1Me,C11H10,142.2
70,1-methylphenanthrene,832-69-9,PH1Me,C15H12,192.25
71,1-Naphthylamine,134-32-7,,C10H9N,143.1881
84,PCB 201,40186-71-8,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",C12H2Cl8,
85,PCB 98,60233-25-2,"2,2',3',4,6-Pentachlorobiphenyl",C12H5Cl5,
89,"2,3,4,6-Tetrachlorophenol",58-90-2,,C6H2Cl4O,231.893
90,"2,3,4,7,8-PeCDF",57117-31-4,,C12H3Cl5O,340.4197
92,"2,3,7,8-TCDD",1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",C12H4Cl4O2,321.9736
101,"2,4,5-Trichlorophenol",95-95-4,,C6H3Cl3O,197.4477
102,"2,4,5-Trimethylaniline",137-17-7,,C9H13N,135.209
104,"2,4,6-Trichlorophenol",88-06-2,,C6H3Cl3O,197.4477
109,"2,4-Dichlorophenol",120-83-2,,C6H4Cl2O,163.003
111,"2,4-Dimethylphenol",105-67-9,,C8H10O,122.166
114,"2,4'-DDD",53-19-0,"o,p'-DDD",C14H10Cl4,320.04
115,"2,4'-DDE",3424-82-6,"o,p'-DDE",C14H8Cl4,318.02
116,"2,4'-DDT",789-02-6,"o,p'-DDT",C14H9Cl5,354.4901
118,"2,6-Dichlorophenol",87-65-0,,C6H4Cl2O,163.003
134,2-Chlorophenol,95-57-8,,C6H5ClO,128.557
146,2-methylnaphthalene,91-57-6,N2Me,C11H10,142.2
148,2-Methylphenol,95-48-7,o-Cresol,C7H8O,
150,2-Naphthylamine,91-59-8,,C10H9N,143.1881
151,2-Nitroaniline,88-74-4,,C6H6N2O2,138.125
152,2-Nitrophenol,88-75-5,,C6H5NO3,139.109
160,"3,3'-Dimethoxybenzidine",119-90-4,o-Dianisidine,C14H16N2O2,244.292
165,3-Hydroxycarbofuran,16655-82-6,,C12H15NO4,237.253
167,m-Cresol,108-39-4,3-Methylphenol,C7H8O,
168,3-Nitroaniline,99-09-2,,C6H6N2O2,138.125
170,"4,4'-DDD",72-54-8,"p,p'-DDD",C14H10Cl4,320.045
171,"4,4'-DDE",72-55-9,"p,p'-DDE",C14H8Cl4,318.0292
172,"4,4'-DDT",50-29-3,"p,p'-DDT",C14H9Cl5,354.4901
175,"4,4'-Oxydianiline",101-80-4,,C12H12N2O,200.24
176,"4,6-Dinitro-o-cresol (DNOC)",534-52-1,"4,6-Dinitro-2-methylphenol",C7H6N2O5,198.133
178,4-Aminobiphenyl,92-67-1,,C12H11N,169.226
184,4-Chloro-3-methylphenol,59-50-7,,C7H7ClO,142.5843
185,4-Chloroaniline,106-47-8,,C6H6ClN,127.5734
186,4-Chlorophenyl phenyl ether,7005-72-3,,C12H9ClO,204.6551
189,4-Methylphenol,106-44-5,,C7H8O,108.1392
190,4-Nitroaniline,100-01-6,"m,p-Xylene",C6H6N2O2,138.125
191,4-Nitrobiphenyl,92-93-3,,C12H9NO2,199.208
192,4-Nitrophenol,100-02-7,,C6H5NO3,139.1095
194,p-Nitrotoluene,99-99-0,4-Nitrotoluene,C7H7NO2,
200,5-Nitroacenaphthene,602-87-9,,C12H9NO2,199.208
201,6-methylchrysene,1705-85-7,CH6Me,C19H14,242.31
202,"7,12-dimethylbenz[a]anthracene",57-97-6,AC712DMeBa,C20H16,256.34
208,acenaphthene,83-32-9,AN,C12H10,154.2
210,acenaphthylene,208-96-8,ANL,C12H8,152.19
224,Alachlor,15972-60-8,,C14H20ClNO2,269.77
228,Aldrin,309-00-2,,C12H8Cl6,364.9132
231,alpha-BHC,319-84-6,,C6H6Cl6,290.831
232,alpha-Chlordane,5103-71-9,cis-Chlordane,C10H6Cl8,409.7814
236,Ametryne,834-12-8,"4-N-ethyl-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",C9H17N5S,227.33
238,Aminocarb,2032-59-9,,C11H16N2O2,208.259
245,Anilazine,101-05-3,,C9H5Cl3N4,275.526
246,Aniline,62-53-3,,C6H7N,93.1283
247,anthracene,120-12-7,AC,C14H10,178.23
251,Aramite,140-57-8,,C15H23ClO4S,334.8617
254,Atraton,1610-17-9,,C9H17N5O,211.2673
255,Atrazine,1912-24-9,Atrazine {Cas # 93616-39-8},C8H14ClN5,215.69
259,Azinphos-methyl,86-50-0,Guthion,C10H12N3O3PS2,317.3288
260,Azobenzene,103-33-3,,C12H10N2,182.225
262,Barban,101-27-9,,C11H9Cl2NO2,258.1031
264,Propoxur,114-26-1,Baygon,C11H15NO3,
265,Bentazone,25057-89-0,,C10H12N2O3S,240.282
271,Benzidine,92-87-5,,C12H12N2,184.241
272,benz[a]anthracene,56-55-3,BaA,C18H12,228.288
273,benzo[a]pyrene,50-32-8,BaP,C20H12,252.3
275,benzo[b]fluoranthene,205-99-2,BbF,C20H12,252.3
276,benzo[e]pyrene,192-97-2,BeP,C20H12,252.3
277,benzo[ghi]perylene,191-24-2,BghiP,C22H12,276.33
