Chemical Name,MinResult,MaxResult,MeanResult,MedianResult,Count,Standard Deviation
1-Hydroxynaphthalene,16.4,438,192,162.8,1.7%,173
1-Methylnaphthalene,3.37,58.8,15.7,11.8,11.5%,12.4
1-Methylphenanthrene,8.83,60,32.1,32,2.3%,18.2
1-Methylpyrene,20.8,20.8,20.8,20.8,0.2%,NA
1-Naphthylamine,36.5,1160,416,52.5,0.5%,644
"1,2-Dimethylnaphthalene",25.2,54.6,39.9,39.9,0.3%,20.8
"1,4-Dimethylnaphthalene",18.4,119,56.3,31.5,0.5%,54.7
"1,4-Naphthoquinone",111,111,111,111,0.2%,NA
"1,6-Dimethylnaphthalene",2.94,42.8,22.9,22.87,0.3%,28.2
"1,8-Dimethylnaphthalene",33.4,33.4,33.4,33.4,0.2%,NA
2-Aminophenol,158,158,158,158,0.2%,NA
2-Chloroaniline,227,438,332,332.5,0.3%,149
2-Chlorosyringaldehyde,69.3,62800,25100,18705,0.7%,30300
2-Methylanthracene,98.7,98.7,98.7,98.7,0.2%,NA
2-Methylnaphthalene,3.43,26.8,10.8,7.125,1.0%,9.2
2-Methylphenanthrene,1.08,116,41.7,30.9,3.0%,31.5
2-Methylphenol,150,477,314,313.5,0.3%,231
2-Naphthylamine,45.8,45.8,45.8,45.8,0.2%,NA
2-Sec-butylphenol,29.4,29.4,29.4,29.4,0.2%,NA
"2,3,5-Trimethylphenol",6.24,53.7,28.1,32.3,0.8%,19.7
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",18.9,771,183,129.5,12.3%,158
"2,4-Di-tert-amylphenol",50.9,50.9,50.9,50.9,0.2%,NA
"2,4-Di-tert-butylphenol",12.6,5290,742,411,39.3%,880
"2,4-Dichlorophenol",14.4,44.1,26.5,21,0.5%,15.6
"2,4-Dimethylaniline",6,198,102,102,0.3%,136
"2,6-Di-tert-butyl-4-ethylphenol",55.8,481,253,227,0.8%,156
"2,6-Di-tert-butylphenol",10.2,2860,964,23.3,0.5%,1640
"2,6-Diethylaniline",70.6,70.6,70.6,70.6,0.2%,NA
"2,6-Diethylnaphthalene",33.3,62.6,48,47.95,0.3%,20.7
"2,6-Diisopropylaniline",90.9,90.9,90.9,90.9,0.2%,NA
"2,6-Dimethoxyphenol",91.5,91.5,91.5,91.5,0.2%,NA
"2,6-Dimethylnaphthalene",7.98,79.6,25.3,16.1,1.3%,23.3
"2,6-Dimethylphenol",97.5,577,337,337.2,0.3%,339
3-Chloroaniline,21.1,179,117,176,0.8%,82.5
3-Ethylphenol,65.4,65.4,65.4,65.4,0.2%,NA
3-Nitroaniline,58.8,394,226,226.4,0.3%,237
3-Tert-butylphenol,77.8,3340,948,460.5,1.7%,1040
"3,5-Dichloroaniline",93.6,372,220,194,0.5%,141
"3,6-Dimethylphenanthrene",98.6,98.6,98.6,98.6,0.2%,NA
4-Alpha-cumylphenol,306,306,306,306,0.2%,NA
4-Butylphenol,6.42,6.42,6.42,6.42,0.2%,NA
"4-Chloro-3,5-dimethylphenol",13,19600,1060,242,8.8%,2800
4-Chlorophenol,756,756,756,756,0.2%,NA
4-Chlorophenyl isocyanate,23.3,210,88.4,58.65,1.3%,65.9
4-Isopropylphenol,18.7,52,36.6,39,0.5%,16.8
4-Methoxyphenol,90.9,90.9,90.9,90.9,0.2%,NA
4-Tert-butylphenol,29.7,2050,248,98.8,11.0%,391
4H-cyclopenta[def]phenanthren-4-one,142,142,142,142,0.2%,NA
6-Methylchrysene,15.2,15.2,15.2,15.2,0.2%,NA
9-Fluorenone,227,227,227,227,0.2%,NA
A-Ionone,20.4,1650,228,103.5,12.3%,317
Acenaphthene,6.11,55.3,25.7,23.65,1.0%,16.9
Acenaphthylene,7.14,176,75.3,45.5,2.5%,58
Alpha-Chlordane,149,149,149,149,0.2%,NA
Amyl cinnamal,28.1,23600,1310,481,50.8%,3010
Anisyl alcohol,66.6,66.6,66.6,66.6,0.2%,NA
Anthracene,2.31,462,57,37.8,15.5%,64.6
"Aziprotryn metabolite [2-Amino-4-isopropylamino-6-methylthio-1,3,5-triazine]",23.1,23.1,23.1,23.1,0.2%,NA
Azobenzene,47.5,25400,6420,122.6,0.7%,12700
Azoxystrobin,58.8,145,113,135,0.5%,47.1
B-citronellol,4.65,1410,212,149,37.2%,210
B-Ionone,3.04,6820,411,152,46.8%,771
Benz[a]anthracene,34.7,34.7,34.7,34.7,0.2%,NA
