Name,CASRN,SK4000WB,SK4002WB,SK4003WB,SK4004WB,SK4005WB,SK4006WB,SK4007WB,SK4008WB,SK4009WB,SK4010WB,SK4011WB,SK4014WB,SK4016WB,SK4017WB,SK4018WB,SK4019WB,SK4020WB,SK4021WB,SK4022WB,SK4023WB,SK4024WB,SK4025WB,SK4026WB,SK4027WB,SK4028WB,SK4029WB,SK4030WB,SK4031WB,SK4033WB,SK4034WB
"1,6-Dimethylnaphthalene",575-43-9,,45,,,,,,,,,,,,,,,,,,35,,59,,,,,,,,12
1-Methylnaphthalene,90-12-0,,18,22,11,18,,,,,,,21,,,,,35,,,24,,120,11,,5,9,,,,11
1-Methyl phenanthrene,832-69-9,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,
"2,4-Bis(1-methyl-1-phenylethyl)phenol",2772-45-4,,,,,,,42,,72,45,,,,,87,,,,,,,,,,66,,,,,
"2,4-Di-tert-butylphenol",96-76-4,,120,270,230,,8,100,,70,,180,,,25,180,140,62,,260,,,170,,,16,110,18,350,120,77
"2,6-Diethylnaphthalene",59919-41-4,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,6-Dimethylnaphthalene",581-42-0,,28,37,,,,,,,,,,,,,,,,,31,,34,,,,,,,,
2-Methylnaphthalene,91-57-6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,7,
"4-Chloro-3,5-dimethylphenol",88-04-0,,,,,,,,,350,3600,,,,,,,,,,,,,,1900,,,,,,
Acenaphthene,83-32-9,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,
Acenaphthylene,208-96-8,,,,,,,,,,,66,,,,,,,,,,37,,,,,,,,,
alpha-Ionone,127-41-3,,,,,,,,,,,,,,,,,,,,,1100,110,,,,120,,,,
Amyl cinnamal,122-40-7,,,,,,,77,,,220,68,,,,,,,,,,320,400,,,,,,,,
Anthracene,120-12-7,,,,,,16,,,140,46,,51,,,45,32,,,62,,74,,,62,81,,,,,18
D-Citronellol,1117-61-9,,530,,580,,,230,,,,920,,,,,1200,600,,,96,1200,,,,,,,,,
Benzophenone,119-61-9,900,510,1100,980,520,510,400,870,620,560,510,390,100,180,550,320,110,160,510,300,1200,1100,170,1200,170,260,140,410,240,260
Benzothiazole,95-16-9,1100,670,400,350,460,,300,190,,180,510,,370,240,,,440,380,240,130,470,240,190,730,440,200,310,660,1100,370
Benzotriazole,95-14-7,,,,61,,,,,,,,,,,,,,,,,,,,350,,,,,,
Benzyl benzoate,120-51-4,2300,510,10000,27000,1200,710,3800,380,4200,5900,350,4300,1000,,2900,,310,170,430,1600,,1800,410,2600,300,670,420,,370,760
Benzyl salicylate,118-58-1,6400,890,2000,740,1400,,2500,1000,,3400,620,4200,1000,,11000,390,96,,6200,970,18000,1300,750,2000,170,360,220,2900,,2500
Bifenthrin,82657-04-3,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,
beta-Ionone,79-77-6,,,,,,,580,,,,,,,,,,,,,,,,,630,,,,,,
Biphenyl,92-52-4,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
Bis(2-ethylhexyl)phthalate,117-81-7,66998,14998,32998,57998,46998,36998,64998,,218998,,,98998,18998,24998,51998,71998,53998,11998,80998,20998,69998,66998,20998,39998,6298,22998,8498,58998,13998,20998
Benzyl butyl phthalate,85-68-7,1800,430,310,910,720,,10000,1200,1500,3600,480,7900,370,,3300,1300,720,46,390,,870,3100,380,740,79,190,2000,,3000,450
Butylated hydroxyanisole,121-00-6,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butylated hydroxytoluene,128-37-0,390,85,,130,,,,35,,,74,,,,,94,,,66,,380,82,,67,,,,,,
Caffeine,58-08-2,5400,2000,13000,3200,1200,880,,,2400,3500,10000,10000,,,6500,,3400,2100,,1700,10000,12000,710,1200,420,1800,,2800,1800,3800
Carvone,99-49-0,880,,,,,,,,,120,3000,,,,,,,,,,,,,,,,,,,
Cinnamal,104-55-2,580,,,250,340,,1600,,,130,,,,,,,,120,110,49,,,,66,,160,180,,260,350
Citral,141-27-5,,540,,,,,,,,,,,,,,250,270,,,,,,,,,,,,,
Coumarin,91-64-5,,,,,1300,,620,,,,,140,,,,,,,,110,2100,,,,,,,,,
Cyhalothrin,68085-85-8,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,
Dibenzofuran,132-64-9,,,,,,,,,,,,,,,,,,,,,,770,,,,,,,,
Diethyl phthalate,84-66-2,2400,770,2300,1300,1300,670,7300,3400,2100,12000,1500,7400,560,920,3200,340,370,320,1400,1000,1700,,560,550,,1300,,970,1100,1900
Diisobutyl phthalate,84-69-5,28910,870,1610,4610,1310,9910,6510,2010,3210,2710,1410,1010,,1010,2310,12910,2510,680,3510,1610,7010,7910,6310,1510,450,1910,11910,4010,,670
Dimethyl phthalate,131-11-3,320,120,,,,,,,,,180,,,,,,,,,,,,200,,,74,,,,
Di-n-butyl phthalate,84-74-2,,,,,29600,,,,,,,,,,,,,,,,,,,,,,,,,
Di-n-hexyl phthalate,84-75-3,,,,,,,,,,,,,,,,,,,,440,,,,,,,320,,,
Di-n-nonyl phthalate,84-76-4,770,1100,35,7300,,,,870,3400,,660,600,,630,,160,,,560,660,640,,,170,,,1600,2200,,680
Etofenprox,80844-07-1,130,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,
Ethylene brassylate,105-95-3,,,,29000,,,1500,,,920,,,,,5100,,,,,,,,,3200,,,,,,1600
Exaltolide,106-02-5,,,,19000,1500,,1300,,22000,5400,,,,7600,,23000,,,22000,6300,,2900,3000,,,,,45000,,7700
