ParameterID,ParameterName,CASNumber
27,"1,2,3-Trichlorobenzene",87-61-6
30,"1,2,3-Trimethylbenzene",526-73-8
32,"1,2,4-Trichlorobenzene",120-82-1
33,"1,2,4-Trimethylbenzene",95-63-6
34,"1,2-Dibromo-3-chloropropane",96-12-8
36,o-Dichlorobenzene,95-50-1
45,"1,3,5-Trimethylbenzene",108-67-8
48,"1,3-Dichlorobenzene",541-73-1
54,p-Dichlorobenzene,106-46-7
60,"1,4-Naphthoquinone",130-15-4
69,1-methylnaphthalene,90-12-0
70,1-Methyl phenanthrene,832-69-9
71,1-Naphthylamine,134-32-7
84,PCB 201,40186-71-8
85,PCB 98,60233-25-2
89,"2,3,4,6-Tetrachlorophenol",58-90-2
90,"2,3,4,7,8-PeCDF",57117-31-4
92,"2,3,7,8-TCDD",1746-01-6
101,"2,4,5-Trichlorophenol",95-95-4
102,"2,4,5-Trimethylaniline",137-17-7
104,"2,4,6-Trichlorophenol",88-06-2
109,"2,4-Dichlorophenol",120-83-2
111,"2,4-Dimethylphenol",105-67-9
114,"2,4'-DDD",53-19-0
115,"2,4'-DDE",3424-82-6
116,"2,4'-DDT",789-02-6
118,"2,6-Dichlorophenol",87-65-0
134,2-Chlorophenol,95-57-8
136,2-Chlorotoluene,95-49-8
146,2-methylnaphthalene,91-57-6
148,2-Methylphenol,95-48-7
150,2-Naphthylamine,91-59-8
151,2-Nitroaniline,88-74-4
152,2-Nitrophenol,88-75-5
160,"3,3'-Dimethoxybenzidine",119-90-4
165,3-Hydroxycarbofuran,16655-82-6
167,m-Cresol,108-39-4
168,3-Nitroaniline,99-09-2
170,"4,4'-DDD",72-54-8
171,"4,4'-DDE",72-55-9
172,"4,4'-DDT",50-29-3
175,"4,4'-Oxydianiline",101-80-4
176,"4,6-Dinitro-o-cresol (DNOC)",534-52-1
178,4-Aminobiphenyl,92-67-1
184,4-Chloro-3-methylphenol,59-50-7
185,4-Chloroaniline,106-47-8
186,4-Chlorodiphenyl ether,7005-72-3
187,4-Chlorotoluene,106-43-4
189,4-Methylphenol,106-44-5
190,4-Nitroaniline,100-01-6
191,4-Nitrobiphenyl,92-93-3
192,4-Nitrophenol,100-02-7
194,4-Nitrotoluene,99-99-0
200,5-Nitroacenaphthene,602-87-9
201,6-methylchrysene,1705-85-7
202,"7,12-Dimethylbenz(a)anthracene",57-97-6
208,acenaphthene,83-32-9
210,acenaphthylene,208-96-8
224,Alachlor,15972-60-8
228,Aldrin,309-00-2
231,alpha-BHC,319-84-6
232,alpha-Chlordane,5103-71-9
236,Ametryne,834-12-8
238,Aminocarb,2032-59-9
245,Anilazine,101-05-3
246,Aniline,62-53-3
247,anthracene,120-12-7
251,Aramite,140-57-8
254,Atraton,1610-17-9
255,Atrazine,1912-24-9
259,Azinphos-methyl,86-50-0
260,Azobenzene,103-33-3
262,Barban,101-27-9
264,Propoxur,114-26-1
265,Bentazone,25057-89-0
267,Benzene,71-43-2
271,Benzidine,92-87-5
272,benz[a]anthracene,56-55-3
273,benzo[a]pyrene,50-32-8
275,benzo[b]fluoranthene,205-99-2
276,benzo[e]pyrene,192-97-2
277,benzo[ghi]perylene,191-24-2
278,benzo[j]fluoranthene,205-82-3
279,benzo[k]fluoranthene,207-08-9
282,Benzyl alcohol,100-51-6
