COCNum,COCRecvDate,SampleName,SampleNumber,TestTempName,RunNumber,ParameterID,ParameterName,CASNumber,Result
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,109,"2,4-Dichlorophenol",120-83-2,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,283,Butyl benzyl phthalate,85-68-7,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,293,Bis(2-ethylhexyl)phthalate,117-81-7,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,429,Di-n-butyl phthalate,84-74-2,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,462,Diethyl phthalate,84-66-2,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,1037,TPP,115-86-6,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301114,Butylated hydroxyanisole,25013-16-5,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301134,Benzophenone,119-61-9,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301449,Cashmeran,33704-61-9,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301502,Diisobutyl phthalate,84-69-5,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301505,Tonalide,1506-02-1,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301558,Fipronil,120068-37-3,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301561,Triclosan,3380-34-5,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301669,Ethofenprox,80844-07-1,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301673,Di-n-nonyl phthalate,84-76-4,1
14SEP26-01,9/26/2014 12:39,WB Left,A140391,GC-MS - RTL DRS Screening - 1299 analytes,1,301749,Methoprene II,999045-03-3,1
