"Name","CASRN","Sample_Name","Result","ParameterID","ParameterName","PureSampleName","SampleNumber","Flag"
"Benzophenone","119-61-9","SK4000WB","900","301134","Benzophenone","SK4000WB","SK4000WB",""
"Benzothiazole","95-16-9","SK4000WB","1100","303324","Benzothiazole","SK4000WB","SK4000WB",""
"Benzyl benzoate","120-51-4","SK4000WB","2300","301479","Benzyl benzoate","SK4000WB","SK4000WB",""
"Benzyl salicylate","118-58-1","SK4000WB","6400","303004","benzyl salicylate","SK4000WB","SK4000WB",""
"Bis(2-ethylhexyl)phthalate","117-81-7","SK4000WB","66998","293","Bis(2-ethylhexyl)phthalate","SK4000WB","SK4000WB",""
"Benzyl butyl phthalate","85-68-7","SK4000WB","1800","283","Butyl benzyl phthalate","SK4000WB","SK4000WB",""
"Butylated hydroxytoluene","128-37-0","SK4000WB","390","303220","butylated hydroxytoluene","SK4000WB","SK4000WB",""
"Caffeine","58-08-2","SK4000WB","5400","301493","Caffeine","SK4000WB","SK4000WB",""
"Carvone","99-49-0","SK4000WB","880","301433","Carvone","SK4000WB","SK4000WB",""
"Cinnamal","104-55-2","SK4000WB","580","303006","cinnamal","SK4000WB","SK4000WB",""
"Diethyl phthalate","84-66-2","SK4000WB","2400","462","Diethyl phthalate","SK4000WB","SK4000WB",""
"Diisobutyl phthalate","84-69-5","SK4000WB","28910","301502","Diisobutyl phthalate","SK4000WB","SK4000WB",""
"Dimethyl phthalate","131-11-3","SK4000WB","320","748","Dimethyl phthalate","SK4000WB","SK4000WB",""
"Di-n-nonyl phthalate","84-76-4","SK4000WB","770","301673","Di-n-nonyl phthalate","SK4000WB","SK4000WB",""
"Etofenprox","80844-07-1","SK4000WB","130","301669","Ethofenprox","SK4000WB","SK4000WB",""
"Galaxolide","1222-05-5","SK4000WB","3400","302850","Galaxolide","SK4000WB","SK4000WB",""
"Lilial","80-54-6","SK4000WB","1000","303009","lilial","SK4000WB","SK4000WB",""
"Linalool","78-70-6","SK4000WB","290","302989","Linalool","SK4000WB","SK4000WB",""
"Naphthalene","91-20-3","SK4000WB","44","595","naphthalene","SK4000WB","SK4000WB",""
"PBDE 49","243982-82-3","SK4000WB","180","300714","PBDE 49","SK4000WB","SK4000WB",""
"PBDE 99","60348-60-9","SK4000WB","300","300715","PBDE 99","SK4000WB","SK4000WB",""
"Tris(2-chloroisopropyl)phosphate","13674-84-5","SK4000WB","2400","1000001","Tris(2-chloroisopropyl)phosphate","SK4000WB","SK4000WB",""
"Tonalide","21145-77-7","SK4000WB","83","1000002","Tonalide","SK4000WB","SK4000WB",""
"Triphenyl phosphate","115-86-6","SK4000WB","170","1037","TPP","SK4000WB","SK4000WB",""
"1,6-Dimethylnaphthalene","575-43-9","SK4002WB","45","300386","1,6-dimethylnaphthalene","SK4002WB","SK4002WB",""
