ParameterID,Classification
32,Pesticide
34,Pesticide
36,Pesticide
48,Pesticide
54,Pesticide
69,Polycyclic Aromatic Hydrocarbon (PAH)
70,Polycyclic Aromatic Hydrocarbon (PAH)
84,Polychlorinated Biphenyl
85,Polychlorinated Biphenyl
89,Pesticide
90,Dioxins and Furans
92,Chemicals in Commerce
101,Pesticide
102,Chemicals in Commerce
104,Pesticide
109,Pesticide
111,Pharmacological
114,Pesticide
115,Pesticide
116,Pesticide
118,Chemicals in Commerce
134,Pesticide
146,Polycyclic Aromatic Hydrocarbon (PAH)
148,Chemicals in Commerce
152,Chemicals in Commerce
160,Chemicals in Commerce
165,Chemicals in Commerce
167,Chemicals in Commerce
170,Pesticide
171,Pesticide
172,Pesticide
175,Chemicals in Commerce
176,Pesticide
178,Chemicals in Commerce
184,Pesticide
185,Pesticide
186,Chemicals in Commerce
189,Chemicals in Commerce
191,Chemicals in Commerce
192,Pesticide
194,Chemicals in Commerce
200,Polycyclic Aromatic Hydrocarbon (PAH)
201,Polycyclic Aromatic Hydrocarbon (PAH)
202,Polycyclic Aromatic Hydrocarbon (PAH)
208,Polycyclic Aromatic Hydrocarbon (PAH)
209,Polycyclic Aromatic Hydrocarbon (PAH)
210,Polycyclic Aromatic Hydrocarbon (PAH)
224,Pesticide
228,Pesticide
231,Pesticide
232,Pesticide
236,Pesticide
238,Pesticide
245,Pesticide
246,Chemicals in Commerce
247,Polycyclic Aromatic Hydrocarbon (PAH)
251,Pesticide
254,Pesticide
255,Pesticide
259,Pesticide
260,Pesticide
262,Pesticide
264,Pesticide
265,Pesticide
271,Chemicals in Commerce
272,Polycyclic Aromatic Hydrocarbon (PAH)
273,Polycyclic Aromatic Hydrocarbon (PAH)
275,Polycyclic Aromatic Hydrocarbon (PAH)
276,Polycyclic Aromatic Hydrocarbon (PAH)
277,Polycyclic Aromatic Hydrocarbon (PAH)
278,Polycyclic Aromatic Hydrocarbon (PAH)
279,Polycyclic Aromatic Hydrocarbon (PAH)
283,Chemicals in Commerce
286,Pesticide
293,Pesticide
298,Pesticide
306,Pesticide
309,Pesticide
312,Pesticide
351,Pesticide
352,Pesticide
353,Pesticide
355,Pesticide
361,Pesticide
362,Pesticide
371,Pesticide
377,Pesticide
382,Pesticide
385,Pesticide
386,Pesticide
387,Pesticide
388,Pesticide
390,Polycyclic Aromatic Hydrocarbon (PAH)
391,Polycyclic Aromatic Hydrocarbon (PAH)
395,Pesticide
402,Pesticide
404,Pesticide
410,Pesticide
415,Pesticide
420,Pesticide
425,Pesticide
429,Pesticide
430,Chemicals in Commerce
431,Pesticide
432,Pesticide
434,Polycyclic Aromatic Hydrocarbon (PAH)
436,Polycyclic Aromatic Hydrocarbon (PAH)
437,Dioxins and Furans
443,Pesticide
444,Pesticide
445,Pesticide
447,Pesticide
448,Pesticide
449,Pesticide
450,Pesticide
462,Pesticide
463,Pharmacological
465,Chemicals in Commerce
466,Pesticide
470,Pesticide
471,Pesticide
472,Pesticide
473,Pesticide
479,Pesticide
480,Pesticide
481,Polycyclic Aromatic Hydrocarbon (PAH)
482,Polycyclic Aromatic Hydrocarbon (PAH)
484,Pesticide
512,Pesticide
521,Pesticide
531,Pesticide
538,Pesticide
540,Pesticide
550,Pesticide
565,Pesticide
566,Pesticide
567,Pesticide
574,Pesticide
594,Pesticide
595,Polycyclic Aromatic Hydrocarbon (PAH)
596,Polycyclic Aromatic Hydrocarbon (PAH)
603,Pesticide
611,Pesticide
614,Pesticide
625,Pesticide
635,Polycyclic Aromatic Hydrocarbon (PAH)
638,Pharmacological
642,Pesticide
643,Pesticide
644,Pesticide
645,Pesticide
664,Pesticide
665,Pesticide
666,Pesticide
667,Pesticide
668,Pesticide
670,Pesticide
671,Pesticide
676,Pesticide
678,Polycyclic Aromatic Hydrocarbon (PAH)
688,Pesticide
698,Pesticide
748,Pesticide
751,Pesticide
752,Pesticide
753,Pesticide
754,Pesticide
755,Pesticide
759,Pesticide
760,Pesticide
762,Pesticide
767,Pesticide
768,Pesticide
769,Pesticide
770,Pesticide
771,Pesticide
773,Pesticide
774,Pesticide
777,Pesticide
793,Pesticide
798,Pesticide
812,Pesticide
817,Pesticide
818,Pesticide
820,Pesticide
824,Pesticide
830,Pesticide
850,Polycyclic Aromatic Hydrocarbon (PAH)
857,Pesticide
858,Pesticide
859,Pesticide
864,Pesticide
866,Pesticide
868,Pesticide
908,Pesticide
911,Pesticide
917,Pesticide
