ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Units
301479,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzyl benzoate,1,NULL
293,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Bis(2-ethylhexyl)phthalate,1,NULL
429,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Di-n-butyl phthalate,1,NULL
301673,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Di-n-nonyl phthalate,1,NULL
462,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Diethyl phthalate,1,NULL
301502,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Diisobutyl phthalate,1,NULL
302850,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Galaxolide,1,NULL
300641,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,"N,N-Diethyl-m-toluamide",1,NULL
1037,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-1,A161419,SO,9/28/2016 19:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,TPP,1,NULL
301134,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Benzophenone,1,NULL
293,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Bis(2-ethylhexyl)phthalate,1,NULL
283,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butyl benzyl phthalate,1,NULL
301114,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Butylated hydroxyanisole,1,NULL
301493,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Caffeine,1,NULL
429,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Di-n-butyl phthalate,1,NULL
301673,MyExposome,514,16OCT24-01,10/24/2016 9:21,08:09.6,NULL,NULL,MyE-2,A161420,SO,9/30/2016 15:00,NULL,NULL,PSD-Wristband,,GC-MS - RTL DRS Screening - 1418 analytes,,Organics - Dilution,Di-n-nonyl phthalate,1,NULL
