Textbox15,Textbox17
"COA Notes:
",SOP 430.00 VOCs and SVOCs: 

Textbox24,Textbox76,Textbox77,Textbox84,Textbox62,Textbox9,Textbox13,Textbox37,Textbox10,Textbox4,Textbox27,WPPRResultQualifier
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,3.46,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,1.57,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,52.4,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200555,DCA_1103,,4520,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,3270,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,2470,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200555,DCA_1103,,149,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,5180,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,2410,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200555,DCA_1103,,0.19,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,1330,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200555,DCA_1103,,< 0.19 U,U
