ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Units
302172,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,"2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate",BLOD,ng/g
302167,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,Di(2-ethylhexyl)tetrabromophthalate,BLOD,ng/g
302066,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 1,BLOD,ng/g
302071,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 10,BLOD,ng/g
300732,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 100,7.9,ng/g
302072,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 11,BLOD,ng/g
302084,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 116,BLOD,ng/g
302085,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 118,BLOD,ng/g
302086,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 119,BLOD,ng/g
302073,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 12,BLOD,ng/g
302074,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 13,BLOD,ng/g
302088,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 138,BLOD,ng/g
302075,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 15,BLOD,ng/g
300716,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 153,3.18,ng/g
300733,Redacted,196,13APR16-01,4/16/2013 14:22,47:17.0,NULL,NULL,123,B241282,,NULL,NULL,NULL,PSD-Air,,Flame Retardants-CWristband,SOP 417.00,Organics - Dilution,PBDE 154,2.97,ng/g
