SampleNumber,Days.worn,week.factor,size,size.factor
A170125,7.4,1.05,regular,4.76
A170126,3.7,0.52,regular,4.76
A170117,6.6,0.94,regular,4.76
A170123,7.4,1.06,regular,4.76
A170120,7.1,1.01,regular,4.76
A170127,6.7,0.96,regular,4.76
A170118,7.2,1.03,regular,4.76
A170119,6.8,0.97,regular,4.76
A170130,6.7,0.95,regular,4.76
A170129,6.8,0.98,regular,4.76
A170133,7.0,1.00,regular,4.76
A170128,6.3,0.90,regular,4.76
A170135,6.9,0.99,regular,4.76
A170132,7.1,1.02,regular,4.76
A170316,7.3,1.05,regular,4.76
A170299,6.8,0.98,regular,4.76
A170309,7.1,1.01,regular,4.76
A170311,7.9,1.13,regular,4.76
A170313,8.9,1.27,regular,4.76
A170304,6.6,0.95,regular,4.76
A170312,7.1,1.01,regular,4.76
A170307,6.6,0.95,regular,4.76
A170317,6.6,0.94,regular,4.76
A170314,6.6,0.95,regular,4.76
A170315,7.0,1.00,regular,4.76
A170658,6.9,0.99,small,3.74
A170643,7.2,1.03,small,3.74
A170647,6.9,0.99,small,3.74
A170649,7.0,1.00,regular,4.76
A170646,6.9,0.99,regular,4.76
A170648,7.0,1.00,regular,4.76
A170651,25.1,3.58,small,3.74
A170653,7.0,1.00,small,3.74
A170662,6.9,0.98,regular,4.76
A170654,6.8,0.97,regular,4.76
A170650,6.9,0.98,regular,4.76
A170645,7.0,1.00,regular,4.76
A170657,7.1,1.02,small,3.74
A170660,6.9,0.99,small,3.74
A170661,5.8,0.83,small,3.74
A170655,6.6,0.94,small,3.74
A171010,7.0,1.00,regular,4.76
A171011,6.3,0.90,small,3.74
A171004,7.4,1.06,small,3.74
A171009,6.7,0.96,small,3.74
A171007,6.7,0.95,regular,4.76
A171003,7.0,1.00,small,3.74
A171006,6.8,0.97,regular,4.76
