user_id,sample_type,PureSampleName,FSES_ID,hours_worn,Days_worn,week_factor,Neck & WB Match hours,MyE_Received,size_factor,Air-tight?,WB lot,Other notes,Batch_Num,Batch_Num (P&T_VOC),compliant wb/neck,air tight,No issue samples,Count of good:,No Isssue %
143,wristband,143-WB,A241564,38.5,1.60,0.23,Yes,8/12/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
143,necklace,143-N,A241565,38.5,1.60,0.23,Yes,8/12/2024,4.430,yes,none,,PO 262,,,,Good,,
109,wristband,109-WB,A241566,54,2.25,0.32,Yes,8/12/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
109,necklace,109-N,A241567,54,2.25,0.32,Yes,8/12/2024,4.430,yes,none,,PO 262,,,,Good,,
174,wristband,174-WB,A241568,25.5,1.06,0.15,Yes,8/12/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
174,necklace,174-N,A241569,25.5,1.06,0.15,Yes,8/12/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
103,necklace,103-N,A241570,31.5,1.31,0.19,Yes,8/12/2024,4.430,yes,19NOV05-01,,PO 262,,,,Good,,
103,wristband,103-WB,A241571,31.5,1.31,0.19,Yes,8/12/2024,4.430,yes,19NOV21-01,,PO 262,,,,Good,,
91,wristband,91-WB,A241572,28,1.17,0.17,Yes,8/14/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
91,necklace,91-N,A241573,28,1.17,0.17,Yes,8/14/2024,4.430,yes,19NOV05-01,,PO 262,,,,Good,,
88,wristband,88-WB,A241574,30,1.25,0.18,Yes,8/21/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
88,necklace,88-N,A241575,30,1.25,0.18,Yes,8/21/2024,4.430,yes,none,,PO 262,,,,Good,,
175,wristband,175-WB,A241576,30,1.25,0.18,Yes,8/21/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
175,necklace,175-N,A241577,30,1.25,0.18,Yes,8/21/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
92,necklace,92-N,A241578,31,1.29,0.18,Yes,8/21/2024,4.430,yes,none,,PO 262,,,,Good,,
92,wristband,92-WB,A241579,31,1.29,0.18,Yes,8/21/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
24,wristband,24-WB,A241580,33,1.38,0.20,Yes,8/21/2024,4.430,yes,19NOV07-01,,PO 262,,,,Good,,
