Submitted to client,Batch_Num,Lab_Submission_Batch,Ready_to_analyze,Participant_ID,Other_ID,FSES_ID,Date_start,Date_end,Start_time,Stop_time,Start,End,MyE_Received,Days_worn,week_factor,size,size_factor,Other,WB lot
,1,,yes - X/X/X,22254,,A240945,9/7/2021,9/15/2021,11:30,11:30,9/7/2021 11:30,9/15/2021 11:30,12/20/2021,8,1.14,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,23609,,A240946,10/20/2021,10/29/2021,10:27,9:06,10/20/2021 10:27,10/29/2021 9:06,12/20/2021,8.9,1.28,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,30998,,A240947,10/22/2021,10/29/2021,9:00,16:00,10/22/2021 9:00,10/29/2021 16:00,12/20/2021,7.3,1.04,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,33185,,A240948,11/27/2020,12/7/2020,12:00,11:00,11/27/2020 12:00,12/7/2020 11:00,12/20/2021,10,1.42,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,34090,,A240949,12/1/2021,12/10/2021,13:00,11:00,12/1/2021 13:00,12/10/2021 11:00,12/20/2021,8.9,1.27,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,36589,,A240950,9/2/2021,9/10/2021,11:30,11:30,9/2/2021 11:30,9/10/2021 11:30,12/20/2021,8,1.14,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,39087,,A240951,8/4/2021,8/11/2021,12:55,13:20,8/4/2021 12:55,8/11/2021 13:20,12/20/2021,7,1,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,42567,,A240952,10/12/2021,10/21/2021,13:02,11:07,10/12/2021 13:02,10/21/2021 11:07,12/20/2021,8.9,1.27,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,42907,,A240953,10/30/2021,11/6/2021,10:45,10:28,10/30/2021 10:45,11/6/2021 10:28,12/20/2021,7,1,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,44705,,A240954,11/11/2020,11/20/2020,10:00,12:00,11/11/2020 10:00,11/20/2020 12:00,12/20/2021,9.1,1.3,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,50124,,A240955,6/14/2021,6/21/2021,14:15,12:00,6/14/2021 14:15,6/21/2021 12:00,12/20/2021,6.9,0.99,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,53475,,A240956,7/1/2021,7/9/2021,9:54,8:00,7/1/2021 9:54,7/9/2021 8:00,12/20/2021,7.9,1.13,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,55479,,A240957,7/30/2021,8/6/2021,10:30,11:55,7/30/2021 10:30,8/6/2021 11:55,12/20/2021,7.1,1.01,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,65866,,A240958,7/15/2021,7/23/2021,7:51,7:02,7/15/2021 7:51,7/23/2021 7:02,12/20/2021,8,1.14,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,66440,,A240959,8/9/2021,8/18/2021,11:00,14:00,8/9/2021 11:00,8/18/2021 14:00,12/20/2021,9.1,1.3,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,67704,,A240960,2/24/2021,3/4/2021,11:00,11:00,2/24/2021 11:00,3/4/2021 11:00,12/20/2021,8,1.14,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,77542,,A240961,11/12/2021,11/19/2021,12:00,14:00,11/12/2021 12:00,11/19/2021 14:00,12/20/2021,7.1,1.01,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,79175,,A240962,11/23/2020,12/3/2020,12:00,9:00,11/23/2020 12:00,12/3/2020 9:00,12/20/2021,9.9,1.41,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,80177,,A240963,6/16/2021,6/25/2021,12:11,11:13,6/16/2021 12:11,6/25/2021 11:13,12/20/2021,9,1.28,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,83613,,A240964,6/1/2021,6/11/2021,10:00,13:00,6/1/2021 10:00,6/11/2021 13:00,12/20/2021,10.1,1.45,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,86882,,A240965,11/19/2020,11/27/2020,10:00,11:00,11/19/2020 10:00,11/27/2020 11:00,12/20/2021,8,1.15,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,89409,,A240966,6/29/2021,7/7/2021,10:00,10:43,6/29/2021 10:00,7/7/2021 10:43,12/20/2021,8,1.15,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,93403,,A240967,3/17/2021,3/25/2021,11:00,11:00,3/17/2021 11:00,3/25/2021 11:00,12/20/2021,8,1.14,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,98914,,A240968,9/27/2021,10/5/2021,15:25,11:14,9/27/2021 15:25,10/5/2021 11:14,12/20/2021,7.8,1.12,REG,4.76,,19AUG07-02
,1,,yes - X/X/X,99359,,A240969,10/8/2021,10/15/2021,10:00,10:57,10/8/2021 10:00,10/15/2021 10:57,12/20/2021,7,1.01,REG,4.76,,19AUG07-02
