Submitted to client,Batch_Num,Lab_Submission_Batch,Ready_to_analyze,Sample Name,Other_ID,FSES_ID,Date_start,Date_end,Start_time,Stop_time,Start,End,MyE_Received,Days_worn,week_factor,size,size_factor,Other,WB lot
,1,PO233,yes,CN001,,A211319,9/13/2021,9/19/2021,10:40,8:20,9/13/2021 10:40,9/19/2021 8:20,Oct-21,5.90,0.84,SMALL,3.74,,18JUN28-02
,1,PO233,yes,CN002,,A211320,9/13/2021,9/19/2021,10:43,8:27,9/13/2021 10:43,9/19/2021 8:27,Oct-21,5.91,0.84,SMALL,3.74,,18JUN28-02
,1,PO233,yes,CN003,,A211321,9/13/2021,9/19/2021,10:35,8:36,9/13/2021 10:35,9/19/2021 8:36,Oct-21,5.92,0.85,SMALL,3.74,,18JUN28-02
,1,PO233,yes,CN004,,A211322,9/13/2021,9/19/2021,11:10,8:36,9/13/2021 11:10,9/19/2021 8:36,Oct-21,5.89,0.84,regular,4.76,,19NOV04-01
,1,PO233,yes,CN005,,A211323,9/13/2021,9/19/2021,11:30,9:00,9/13/2021 11:30,9/19/2021 9:00,Oct-21,5.90,0.84,regular,4.76,,19NOV04-01
,1,PO233,yes,CN006,,A211324,9/13/2021,9/19/2021,11:41,9:08,9/13/2021 11:41,9/19/2021 9:08,Oct-21,5.89,0.84,regular,4.76,,19NOV04-01
,1,PO233,yes,CN007,,A211325,9/13/2021,9/19/2021,12:05,8:00,9/13/2021 12:05,9/19/2021 8:00,Oct-21,5.83,0.83,regular,4.76,,19NOV04-01
,1,PO233,yes,CN008,,A211326,9/13/2021,9/19/2021,12:33,9:15,9/13/2021 12:33,9/19/2021 9:15,Oct-21,5.86,0.84,regular,4.76,,19NOV04-01
,1,PO233,yes,CN009,,A211327,9/13/2021,9/19/2021,7:15,9:20,9/13/2021 7:15,9/19/2021 9:20,Oct-21,6.09,0.87,regular,4.76,,19NOV04-01
,1,PO233,yes,CN010,,A211328,MISSING,MISSING,,,44452.48,44458.38,Oct-21,5.90,0.84,regular,4.76,"""UNOPENED""",19NOV04-01
,1,PO233,yes,CN00A,,A211329,MISSING,MISSING,,,44452.48,44458.38,Oct-21,5.90,0.84,SMALL,3.74,,18JUN28-02
,1,PO233,yes,CN00B,,A211330,8/10/2021,8/10/2021,11:00,11:05,8/10/2021 11:00,8/10/2021 11:05,Oct-21,5.90,0.84,SMALL,3.74,,18JUN28-02
