ParameterID,ParameterName,CasNumber,MolecularFormula,MolecularWeight
-31,Final Amount,,,
-30,Sample Amount,,,
-29,Sample Location Details,,,
-28,Sampler email,,,
-27,Sampler Fax,,,
-26,Sampler Phone,,,
-25,DW Sample Type,,,
-24,Sampler Title,,,
-23,Reason for Sample,,,
-22,Report Period End,,,
-21,Report Period Start,,,
-20,Report Method of Discharge,,,
-19,Field Filtered,,,
-18,Ground Water Elevation,,,
-17,WASC_Report_Type,,,
-16,Well_Purged,,,
-15,Collection_Method,,,
-14,ADaPT_Dissolved_or_Total,,,
-13,ADaPT_Analysis_Type,,,
-12,Lab_Cert_Number,,,
-11,ADaPT_Analysis_Ref_Method_ID,,,
-10,ADaPT_Preparation_Type,,,
-9,ADaPT_Sample_Temp,,,
-8,ADaPT_Custody_Seal_Intact,,,
-7,ADaPT_Ship_BatchID,,,
-6,ADaPT_Preservation_Intact,,,
-5,ADaPT_Collection_Agency,,,
-4,ADaPT_Project_Name,,,
-3,ADaPT_Project_Number,,,
-2,ADaPT_Location_Code,,,
-1,Limit Correction Factor,,,
2,"1,1,1,2-Tetrachloroethane",630-20-6,C2H2Cl4,167.84
7,"1,1,2-Trichlorotrifluoroethane - R",76-13-1,C2Cl3F3,187.37
9,"1,1-Dichloro-Acetone",513-88-2,C3H4Cl2O,126.97
10,"1,1-Dichloroethane",75-34-3,C2H4Cl2,98.96
11,"1,1-Dichloroethene",75-35-4,C2H2Cl2,96.94
12,"1,1-Dichloropropene",563-58-6,C3H4Cl2,110.97
18,"1,3-Butadiene Diepoxide",1464-53-5,C4H6O2,86.09
19,"1,2,3,4-Tetrachlorobenzene",634-66-2,C6H2Cl4,215.9
20,"1,2,3,5-Tetrachlorobenzene",634-90-2,C6H2Cl2,215.9
27,"1,2,3-Trichlorobenzene",87-61-6,C6H3Cl3,181.447
28,"1,2,3-Trichloropropane",96-18-4,C3H5Cl3,147.43
29,"1,2,3-Trifluorobenzene",1489-53-8,C6H3F3,132.08
30,"1,2,3-Trimethylbenzene",526-73-8,C9H12,120.192
31,"1,2,4,5-Tetrachlorobenzene",95-94-3,C6H2Cl4,215.6
32,"1,2,4-Trichlorobenzene",120-82-1,C6H3Cl3,181.447
33,"1,2,4-Trimethylbenzene",95-63-6,C9H12,120.195
34,"1,2-Dibromo-3-chloropropane",96-12-8,C3H5Br2Cl,236.333
35,"1,2-Dibromoethane (EDB)",106-93-4,C2H4Br2,187.86
36,o-Dichlorobenzene,95-50-1,C6H4Cl2,147.002
37,"1,2-Dichlorobenzene-d4",2199-69-1,C6D4Cl2,151.027
38,"1,2-Dichloroethane",107-06-2,C2H4Cl2,98.96
39,"1,2-Dichloroethane-d4",17060-07-0,C2D4Cl2,102.98
40,"1,2-Dichloroethene (total)",NA,,
41,"1,2-Dichloropropane",78-87-5,C3H6Cl2,112.98
42,"1,2-Dinitrobenzene",99-65-0,C6H4N2O4,168.11
44,"1,3,5-Trichlorobenzene",108-70-3,C6H3Cl3,181.4
45,"1,3,5-Trimethylbenzene",108-67-8,C9H12,120.195
46,"1,3,5-Trinitrobenzene",99-35-4,C6H3N3O6,213.105000
47,"1,3-Dichloro-2-propanol",96-23-1,C3H6Cl2O,128.98
48,"1,3-Dichlorobenzene",541-73-1,C6H4Cl2,147.002
49,"1,3-Dichloropropane",142-28-9,C3H6Cl2,112.98
50,"1,3-Dichloropropene (total)",NA,,
51,"1,3-Dimethyl-2-nitrobenzene",81-20-9,C8H9NO2,151.16
52,"1,3-Dinitrobenzene",528-29-0,C6H4N2O4,168.11
53,"1,4-Dichloro-2-butene",764-41-0,C4H6Cl2,124.99
54,p-Dichlorobenzene,106-46-7,C6H4Cl2,147.002
55,"1,4-Dichlorobenzene-d4",3855-82-1,C6D4Cl2,151.027
56,"1,4-Dichlorobutane",110-56-5,C4H8Cl2,127.021
57,"1,4-Difluorobenzene",540-36-3,C6H4F2,114.09
58,"1,4-Dinitrobenzene",100-25-4,C6H4N2O4,168.11
59,"1,4-Dioxane",123-91-1,C4H8O2,88.11
60,"1,4-Naphthoquinone",130-15-4,C10H6O2,158.1534
61,"1,4-Phenylenediamine",106-50-3,C6H8N2,108.14
62,1-Acetyl-2-thiourea,591-08-2,C3H6N2OS,118.16
63,1-Chloro-2-fluorobenzene,348-51-6,C6H4ClF,130.55
64,1-Chloro-4-fluorobenzene,352-33-0,C6H4ClF,130.55
65,1-Chlorobutane,109-69-3,C4H9Cl,92.57
66,1-Chlorohexane,544-10-5,C6H13Cl,120.62
67,1-Chloronaphthalene,90-13-1,C10H7Cl,162.61
68,1-Chlorooctadecane,3386-33-2,C18H37Cl,288.9
69,1-methylnaphthalene,90-12-0,C11H10,142.1971
70,1-methylphenanthrene,832-69-9,C15H12,192.2558
71,1-Naphthylamine,134-32-7,C10H9N,143.1852
72,"C-1,2,3,4,6,7,8-HpCDD23",NA,,
73,"C-1,2,3,4,6,7,8-HpCDF6",NA,,
74,"C-1,2,3,6,7,8-HxCDD3",NA,,
75,"C-1,2,3,6,7,8-HxCDF2",NA,,
76,"C-1,2,3,7,8-PeCDD5",NA,,
77,"C-1,2,3,7,8-PeCDFcgg",NA,,
78,"C-2,3,7,8-TCDD3",NA,,
79,"C-2,3,7,8-TCDF",NA,,
80,C-OCDD2,NA,,
82,"2,2-Dichloropropane",594-20-7,C3H6Cl2,112.98
84,PCB 201,40186-71-8,C12H2Cl8,429.748000
85,PCB 98,60233-25-2,C12H5Cl5,326.433
88,"2,3,4,6,7,8-HxCDF",60851-34-5,C12H2Cl6O,374.9
89,"2,3,4,6-Tetrachlorophenol",58-90-2,C6H2Cl4O,231.893
90,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,C12H3Cl5O,340.4197
91,"1,6,7-Trimethylnaphthalene",2245-38-7,C13H14,170.25
92,"2,3,7,8-TCDD",1746-01-6,C12H4Cl4O2,321.9736
93,"2,3,7,8-TCDF",51207-31-9,C12H4Cl4O,305.972
96,"2,3-Dichloro-1-propene",78-88-6,C3H4Cl2,110.97
98,"2,4,5,6 Tetrachloro-m-xylene - QC",877-09-8,C8H6Cl4,243.936
101,"2,4,5-Trichlorophenol",95-95-4,C6H3Cl3O,197.4477
102,"2,4,5-Trimethylaniline",137-17-7,C9H13N,135.2062
104,"2,4,6-Trichlorophenol",88-06-2,C6H3Cl3O,197.4477
105,"2,4,6-Trinitrotoluene",118-96-7,C7H5N3O6,227.1311
106,"2,4-DB",94-82-6,C10H10Cl2O3,249.09
107,"2,4-DCAA",NA,C8H6Cl2O2,205.03
108,"2,4-Diaminotoluene",95-80-7,C7H10N2,122.17
109,"2,4-Dichlorophenol",120-83-2,C6H4Cl2O,163.001
111,"2,4-Dimethylphenol",105-67-9,C8H10O,122.1644
112,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.11
113,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.135000
114,"2,4'-DDD",53-19-0,C14H10Cl4,320.041
115,"2,4'-DDE",3424-82-6,C14H8Cl4,318.025
116,"2,4'-DDT",789-02-6,C14H9Cl5,354.4901
117,"2,5-Dibromotoluene",615-59-8,C7H6Br2,249.93
118,"2,6-Dichlorophenol",87-65-0,C6H4Cl2O,163.003
119,"2,6-Dinitrotoluene",606-20-2,C7H6N2O4,182.13
120,2-(2-Butoxyethoxy) ethanol (FC-206),112-34-5,C8H18O3,162.23
121,2-Acetylaminofluorene,53-96-3,C15H13NO,223.27
122,"2-Amino-4,6-Dinitrotoluene",35572-78-2,C7H7N3O4,197.15
123,2-Aminoanthraquinone,117-79-3,C14H9NO2,223.23
124,2-Bromochlorobenzene,694-80-4,C6H4BrCl,191.45
125,2-Bromopropene,557-93-7,C3H5Br,120.98
126,2-Bromopropene (ELCD),NA,,
127,2-Bromopropene (PID),NA,,
128,2-Butanone,78-93-3,C4H8O,72.11
129,2-Butoxyethanol,111-76-2,C6H14O2,118.17
131,2-Chloroethanol,107-07-3,C2H5ClO,80.51
132,2-Chloroethyl vinyl ether,110-75-8,C4H7ClO,106.55
133,2-Chloronaphthalene,91-58-7,C10H7Cl,162.61
134,2-Chlorophenol,95-57-8,C6H5ClO,128.557
135,2-Chloropropene,557-98-2,C3H5Cl,76.52
136,2-Chlorotoluene,95-49-8,C7H7Cl,126.584
137,"2-Cyclohexyl-4,6-dinitrophenol",131-89-5,C12H14N2O5,266.25
138,2-Ethoxyethanol,110-80-5,C4H10O2,90.12
139,2-Ethoxyethyl acetate,111-15-9,C6H12O3,132.16
140,2-Fluorobiphenyl,321-60-8,C12H9F,172.2
141,2-Fluorophenol,367-12-4,C6H5FO,112.1
142,2-Hexanone,591-78-6,C6H12O,100.16
143,2-Hydroxypropionitrile,78-97-7,C3H5NO,71.08
145,2-Methyl-5-nitroaniline,99-55-8,C7H8N2O2,152.15
146,2-methylnaphthalene,91-57-6,C11H10,142.1971
147,2-Methylpentane,107-83-5,C6H14,86.18
148,2-Methylphenol,95-48-7,C7H8O,108.1378
149,2-Methylpyridine,109-06-8,C6H7N,93.13
150,2-Naphthylamine,91-59-8,C10H9N,143.1881
151,2-Nitroaniline,88-74-4,C6H6N2O2,138.1240
152,2-Nitrophenol,88-75-5,C6H5NO3,139.1088
153,2-Nitropropane,79-46-9,C3H7NO2,89.09
154,2-Nitrotoluene,88-72-2,C7H7NO2,137.14
158,"3,3-Dichloropropene",563-57-5,C3H4Cl2,110.97
159,"3,3'-Dichlorobenzidine",91-94-1,C12H10Cl2N2,253.12
160,"3,3'-Dimethoxybenzidine",119-90-4,C14H16N2O2,244.2890
161,"3,3'-Dimethylbenzidine",119-93-7,C14H16N2,212.29
162,"3,5-Dichlorobenzoic acid",51-36-5,C7H4Cl2O2,191.01
163,3-(Chloromethyl)pyridine hydrochloride,6959-48-4,C6H7Cl2N,164.03
164,3-Chloropropionitrile,542-76-7,C3H4ClN,89.52
165,3-Hydroxycarbofuran,16655-82-6,C12H15NO4,237.253
166,3-Methylcholanthrene,56-49-5,C21H16,268.4
167,m-Cresol,108-39-4,C7H8O,108.1378
168,3-Nitroaniline,99-09-2,C6H6N2O2,138.125
169,3-Nitrotoluene,99-08-1,C7H7NO2,137.14
170,"4,4'-DDD",72-54-8,C14H10Cl4,320.041
171,"4,4'-DDE",72-55-9,C14H8Cl4,318.025
172,"4,4'-DDT",50-29-3,C14H9Cl5,354.486
173,"4,4'-Methylenebis(2-chloraniline)",101-14-4,C13H12Cl2N2,267.15
174,"4,4'-Methylenebis(N,N-dimethylaniline)",101-61-1,C17H22N2,254.37
175,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.24
176,"4,6-Dinitro-o-cresol (DNOC)",534-52-1,C7H6N2O5,198.133
177,"4-Amino-2,6-Dinitrotoluene",19406-51-0,C7H7N3O4,197.15
178,4-Aminobiphenyl,92-67-1,C12H11N,169.226
179,4-Bromofluorobenzene,460-00-4,C6H4BrF,175.0
182,"4-Chloro-1,2-phenyldiamine",95-83-0,C6H7ClN2,142.58
183,"4-Chloro-1,3-phenyldiamine",5131-60-2,C6H77ClN2,142.58
184,4-Chloro-3-methylphenol,59-50-7,C7H7ClO,142.583
185,4-Chloroaniline,106-47-8,C6H6ClN,127.5734
