ParameterID,chemicalLink,toxicityType,listingMechanism,listingMechanismLink,dateListed,doseage,doseageLink
2,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/072613noil.html,13-Sep-13,,
10,,Cancer,AB,,1-Jan-90,100,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
18,,Cancer,SQE,,1-Jan-88,,
28,,Cancer,AB,,1-Oct-92,,
34,,Cancer,FR,,1-Jul-87,0.1,
35,,Cancer,FR,,1-Jul-87,0.2 (oral)                          3 (inhalation),
38,,Cancer,SQE,,1-Oct-87,10,
41,,Cancer,AB,,1-Jan-90,9.7,http://oehha.ca.gov/media/downloads/crnr/oehha2004a.pdf
47,,Cancer,SQE,http://oehha.ca.gov/media/downloads/proposition-65/13-dcphida.pdf,8-Oct-10,,
53,,Cancer,AB,,1-Jan-90,,
54,,Cancer,SQE,,1-Jan-89,20,
59,,Cancer,SQE,,1-Jan-88,30,
71,,Cancer,LC,,1-Oct-89,,
84,,Cancer,LC,,1-Oct-89,0.09,
85,,Cancer,LC,,1-Oct-89,0.09,
92,,Cancer,SQE,,1-Jan-88,0.000005,
104,,Cancer,SQE,,1-Jan-88,10,
108,,Cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
113,,Cancer,SQE,,1-Jul-88,2,
119,,Cancer,SQE,,1-Jul-95,,
121,,Cancer,SQE,,1-Jul-87,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
123,,Cancer,LC,,1-Oct-89,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
150,,Cancer,LC,,27-Feb-87,0.4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
153,,Cancer,SQE,,1-Jan-88,,
159,,Cancer,SQE,,1-Oct-87,0.6,
160,,Cancer,SQE,,1-Jan-88,0.15,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethoxybenzidinensrlaug202002.pdf
161,,Cancer,SQE,,1-Jan-88,0.044,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethylbenzidinensrlaug2002.pdf
166,,Cancer,AB,,1-Jan-90,0.03,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
170,,Cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
171,,Cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
172,,Cancer,SQE,,1-Oct-87,"2                                      (DDT, DDE, DDD in combination)",
173,,Cancer,FR,,1-Jul-87,0.5,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
174,,Cancer,LC,,1-Oct-89,20,
175,,Cancer,SQE,,1-Jan-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
178,,Cancer,LC,,27-Feb-87,0.03,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
182,,Cancer,SQE,,1-Jan-88,40,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
185,,Cancer,AB,,1-Oct-94,1.5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/021810nsrlsummary.pdf
188,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/091611_LCset14.html,4-Nov-11,,
191,,Cancer,SQE,,1-Apr-88,,
195,,Cancer,SQE,,1-Jan-88,,
200,,Cancer,SQE,,1-Apr-88,6,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
202,,Cancer,AB,,1-Jan-90,0.003,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
211,,Cancer,SQE,,1-Apr-88,90 (inhalation),
222,,Cancer,FR,,1-Jul-87,0.7,
224,,Cancer,SQE,,1-Jan-89,,
228,,Cancer,SQE,,1-Jul-88,0.04,
237,,Cancer,AB,,1-Jan-90,,
246,,Cancer,AB,,1-Jan-90,100,
251,,Cancer,SQE,,1-Jul-87,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
253,,Cancer,LC,,27-Feb-87,100 fibers/day (inhalation),
260,,Cancer,AB,,1-Jan-90,6,
261,,Cancer,SQE,,1-Jan-88,0.05,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
267,,Cancer,LC,,27-Feb-87,6.4 (oral)                          13 (inhalation),http://oehha.ca.gov/media/downloads/crnr/benzenensrl061303.pdf
271,,Cancer,LC,,27-Feb-87,0.001,
272,,Cancer,SQE,,1-Jul-87,0.033 (oral),http://oehha.ca.gov/media/downloads/crnr/2pahnsrls62104.pdf
273,,Cancer,SQE,,1-Jul-87,0.06,
275,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
278,,Cancer,SQE,,1-Jul-87,0.11 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
279,,Cancer,SQE,,1-Jul-87,,
281,,Cancer,SQE,,1-Jul-87,,
284,,Cancer,AB,,1-Jan-90,4,
291,,Cancer,SQE,,1-Apr-88,0.3,
