ParameterID,IARCgroup,IARCvolume,dateListed
2,2B,"41, Sup 7, 71, 106",2014
11,3,"39, Sup 7, 71",1999
18,,"11, Sup 7",1987
28,2A,63,1995
34,2B,"20, Sup 7, 71",1999
35,2A,"15, Sup 7, 71",1999
36,3,"Sup 7, 73",1999
38,2B,"20, Sup 7, 71",1999
41,1,"41, Sup 7, 71, 110",2016 online
47,2B,101,2013
48,3,73,1999
54,2B,"Sup 7, 73",1999
59,2B,"11, Sup 7, 71",1999
61,3,"16, Sup 7",1987
70,3,"Sup 7, 92",2010
71,3,"4, Sup 7",1987
84,1,100F,2012
85,1,100F,2012
90,1,100F,2012
92,1,"Sup 7, 69, 100F",2012
102,3,"27, Sup 7",1987
104,2B,117,In prep.
108,2B,"16, Sup 7",1987
113,2B,65,1996
119,2B,65,1996
123,3,"27, Sup 7",1987
129,3,88,2006
145,3,48,1990
150,1,"4, Sup 7, 99, 100F",2012
153,2B,"29, Sup 7, 71",1999
154,2A,101,2013
159,2B,"29, Sup 7",1987
160,2B,"4, Sup 7",1987
161,2B,"1, Sup 7",1987
169,3,65,1996
172,2A,"Sup 7, 53, 113",2016 online
173,1,"Sup 7, 57, 99, 100F",2012
174,2B,"27, Sup 7, 99",2010
175,2B,"29, Sup 7",1987
178,1,"1, Sup 7, 99, 100F",2012
182,2B,"27, Sup 7",1987
183,3,"27, Sup 7",1987
185,2B,57,1993
188,2B,101,2013
191,3,"4, Sup 7",1987
194,3,65,1996
195,2B,"Sup 7, 66",1996
196,3,"77, 99",2010
198,3,"27, Sup 7",1987
200,2B,"16, Sup 7",1987
201,3,"Sup 7, 92",2010
208,3,92,2010
211,2B,"36, Sup 7, 71",1999
211,1,100E,2012
220,3,"63, Sup 7",1995
221,3,"19, Sup 7, 71",1999
222,2B,71,1999
225,3,53,1991
228,,,
230,3,"36, Sup 7, 71",1999
237,2B,"8, Sup 7",1987
246,3,"27, Sup 7",1987
247,3,"92, Sup 7",2010
251,2B,"5, Sup 7",1987
