ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
69,1-methylnaphthalene,90-12-0,N1Me,C11H10,142.2
70,1-methylphenanthrene,832-69-9,PH1Me,C15H12,192.25
146,2-methylnaphthalene,91-57-6,N2Me,C11H10,142.2
201,6-methylchrysene,1705-85-7,CH6Me,C19H14,242.31
202,"7,12-dimethylbenz[a]anthracene",57-97-6,AC712DMeBa,C20H16,256.34
208,acenaphthene,83-32-9,AN,C12H10,154.2
210,acenaphthylene,208-96-8,ANL,C12H8,152.19
247,anthracene,120-12-7,AC,C14H10,178.23
272,benz[a]anthracene,56-55-3,BaA,C18H12,228.288
273,benzo[a]pyrene,50-32-8,BaP,C20H12,252.3
275,benzo[b]fluoranthene,205-99-2,BbF,C20H12,252.3
276,benzo[e]pyrene,192-97-2,BeP,C20H12,252.3
277,benzo[ghi]perylene,191-24-2,BghiP,C22H12,276.33
278,benzo[j]fluoranthene,205-82-3,BjF,C20H12,252.3
279,benzo[k]fluoranthene,207-08-9,BkF,C20H12,252.3
390,chrysene,218-01-9,CH,C18H12,228.28
434,"dibenzo[a,h]anthracene",53-70-3,DBahA,C22H14,278.347
436,"dibenzo[a,e]pyrene",192-65-4,DBaeP,C24H14,302.37
481,fluoranthene,206-44-0,FA,C16H10,202.26
482,fluorene,86-73-7,FE,C13H10,166.223
595,naphthalene,91-20-3,Nap,C10H8,128.17
635,phenanthrene,85-01-8,PH,C14H10,178.23
678,pyrene,129-00-0,Pyr,C16H10,202.25
850,"indeno[1,2,3-cd]pyrene",193-39-5,IP,C22H12,276.33
957,perylene,77392-71-3,,C20H12,252.32
300291,"dibenzo[a,h]pyrene",189-64-0,DBahP,C24H14,302.37
300293,"dibenzo[a,l]pyrene",191-30-0,DBalP,C24H14,302.37
300312,9-methylanthracene,779-02-2,AC9Me,C15H12,192.25
300315,"2,3-dimethylanthracene",613-06-9,AC23DMe,C16H14,206.28
300316,"9,10-dimethylanthracene",781-43-1,AC910DMe,C16H14,206.28
300317,"3,6-dimethylphenanthrene",1576-67-6,PH36DMe,C16H14,206.28
300318,triphenylene,217-59-4,Tphen,C18H12,228.29
300327,"naphtho[2,3-a]pyrene",196-42-9,N23aP,C24H14,302.36
300328,"naphtho[2,3-e]pyrene",193-09-9,N23eP,C24H14,302.37
300329,"naphtho[1,2-b]fluoranthene",111189-32-3,N12bF,C24H14,302.36
300330,"dibenzo[e,l]pyrene",192-51-8,DBelP,C24H14,302.36
300333,"naphtho[2,3-k]fluoranthene",207-18-1,N23kF,C24H14,302.37
300334,benzo[b]perylene,197-70-6,BbPery,C24H14,302.36
300335,benzo[a]chrysene,213-46-7,Pic,C22H14,278.354
300336,coronene,191-07-1,CO,C24H12,300.35
300377,"dibenzo[a,e]fluoranthene",5385-75-1,DBaeF,C24H14,302.37
300387,"1,2-dimethylnaphthalene",573-98-8,N12DMe,C12H12,156.22
300388,dibenzothiophene,132-65-0,DBT,C12H8S,184.26
300389,2-methylphenanthrene,2531-84-2,PH2Me,C15H12,192.25
300390,2-methylanthracene,613-12-7,AC2Me,C15H12,192.25
300391,retene,483-65-8,Ret,C18H18,234.33
300392,1-methylpyrene,2381-21-7,P1Me,C17H12,216.28
300406,"dibenzo[a,i]pyrene",189-55-9,DBaiP,C24H14,302.37
300409,"naphtho[2,3-j]fluoranthene",205-83-4,N23jF,C24H14,302.36
300503,anthanthrene,191-26-4,AA,C22H12,276.33
300505,benzo[c]fluorene,205-12-9,BcFE,C17H12,216.227
300685,"2,6-dimethylnaphthalene",581-42-0,N26DMe,C12H12,156.22
300739,cyclopenta[cd]pyrene,27208-37-3,CPcdP,C18H10,226.27
302095,"1,8-dimethylnaphthalene",569-41-5,N18DMe,C12H12,156.22
302096,"1,4-dimethylnaphthalene",571-58-4,N14DMe,C12H12,156.22
302097,"1,5-dimethylnaphthalene",571-61-9,N15DMe,C12H12,156.22
302100,2-ethylnaphthalene,939-27-5,N2Et,C12H12,156.09
302101,"2,6-diethylnaphthalene",59919-41-4,N26DEt,C14H16,184.27
302298,5-methylchrysene,3697-24-3,CH5Me,C19H14,242.31
302299,benzo[a]fluorene,238-84-6,BaFE,C17H12,216.227
302300,benzo[b]fluorene,243-17-4,BbFE,C17H12,216.227
302301,benz[j]and[e]aceanthrylene,202-33-5 and 199-54-2,BjAC,C20H12,252.31
303503,"1,6 and 1,3-Dimethylnaphthalene",575-43-9 & 575-41-7,,C12H12,156.228
