ParameterID,ParameterName,CasNumber,AlternatName,MolecularWeight
308187,Diallyl phthalate,131-17-9,,246.26
308195,bis(2-Methoxyethyl)phthalate,117-82-8,Di (2-methoxyethyl) phthalate,282.29
308203,Diisopentyl phthalate,605-50-5,,306.4
308211,Bis(2-ethoxyethyl) phthalate,605-54-9,Di(2-ethoxyethyl) phthalate,310.34
308227,Diheptyl phthalate,3648-21-3,,362.5
308235,Didecyl phthalate,84-77-5,,446.66
308251,Diundecyl phthalate,3648-20-2,,474.72
308259,Ditridecyl phthalate,119-06-2,,530.8
308267,Diphenyl isophthalate,744-45-6,,318.33
308275,Dibenzyl phthalate,523-31-9,,346.38
426,Di(2-ethylhexyl)adipate,103-23-1,,370.57
308314,Tris(2-ethylhexyl) Trimellitate,3319-31-1,,546.78
748,Dimethyl phthalate,131-11-3,,194.2
301315,Diamyl phthalate,131-18-0,,306.4
301639,Diphenyl phthalate,84-62-8,,318.327
301625,Bis(2-butoxyethyl) phthalate,117-83-9,,366.451
283,Butyl benzyl phthalate,85-68-7,,312.3597
430,Di-n-octyl phthalate,117-84-0,,390.5561
301606,Di-n-hexyl phthalate,84-75-3,Dihexyl phthalate (ng),334.4498
301673,Di-n-nonyl phthalate,84-76-4,,418.6093
301166,Di-n-propyl phthalate,131-16-8,Dipropyl phthalate (ng),250.2903
462,Diethyl phthalate,84-66-2,,222.2372
308184,Bis(4-methylpentyl)phthalate,259139-51-0,"Diisohexyl phthalate, Bis (4-methyl-2-pentyl) phthalate",334.4
293,Bis(2-ethylhexyl)phthalate,117-81-7,Di(2-ethylhexyl)phthalate,390.5561
301502,Diisobutyl phthalate,84-69-5,,278.3458
301398,Dicyclohexyl phthalate,84-61-7,,330.418
308185,bis(2-ethylhexyl)terephthalate,6422-86-2,,390.6
308440,Diisopropyl phthalate,605-45-8,,250.29
308448,Bis(2-ethylhexyl) isophthalate,137-89-3,"Bis(2-ethylhexyl) Benzene-1,3-dicarboxylate",390.56
429,Di-n-butyl phthalate,84-74-2,,278.3435
308605,Bis(2-propylheptyl) phthalate,53306-54-0,,446.66
