ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
34,"1,2-Dibromo-3-chloropropane",96-12-8,DBCP,C3H5Br2Cl,236.333
170,"4,4'-DDD",72-54-8,"p,p'-DDD",C14H10Cl4,320.045
171,"4,4'-DDE",72-55-9,"p,p'-DDE",C14H8Cl4,318.0292
172,"4,4'-DDT",50-29-3,"p,p'-DDT",C14H9Cl5,354.4901
301698,acetamiprid,135410-20-7,,C10H11ClN4,222.6779
224,Alachlor,15972-60-8,,C14H20ClNO2,269.77
228,Aldrin,309-00-2,,C12H8Cl6,364.9132
231,alpha-BHC,319-84-6,,C6H6Cl6,290.831
232,alpha-Chlordane,5103-71-9,cis-Chlordane,C10H6Cl8,409.7814
255,Atrazine,1912-24-9,Atrazine {Cas # 93616-39-8},C8H14ClN5,215.69
286,beta-BHC,319-85-7,,C6H6Cl6,290.831
300237,Bifenthrin,82657-04-3,,C23H22ClF3O2,422.8718
351,Captafol,2425-06-1,,C10H9Cl4NO2S,349.0641
352,Captan,133-06-2,,C9H8Cl3NO2S,300.5922
377,Chlorobenzilate,510-15-6,,C16H14Cl2O3,325.1896
382,Chloroneb,2675-77-6,,C8H8Cl2O2,207.055
385,Chloropropylate,5836-10-2,,C17H16Cl2O3,339.2164
386,Chlorothalonil,1897-45-6,"2,4,5,6-tetrachloroisophthalonitrile",C8Cl4N2,265.91
388,Chlorpyrifos,2921-88-2,Chlorpyrifos,C9H11Cl3NO3PS,350.58
301213,Chlorpyrifos Methyl,5598-13-0,,C7H7Cl3NO3PS,322.5353
396,cis-Permethrin,61949-76-6,,C21H20CI2O3,391.292
303176,Cyfluthrin,68359-37-5,,C22H18CI2FNO3,434.2922
302496,Cypermethrin,52315-07-8,,C22H19C12NO3,416.3021
415,Dacthal,1861-32-1,Chlorthal-dimethyl,C10H6Cl4O4,331.9654
420,delta-BHC,319-86-8,,C6H6Cl6,290.831
303182,deltamethrin and tralomethrin,52918-63-5 & 66841-25-6,,C22H19Br2NO3 & C22H19Br4N03,505.204 & 665.0121
431,Diallate I,2303-16-4,Trans Diallate,C10H17Cl2NOS,270.222
432,Diazinon,333-41-5,Diazinon,C12H21N2O3PS,304.34
450,Dieldrin,60-57-1,,C12H8Cl6O,380.9122
