ParameterID,ParameterName,CasNumber,AlternateCasNumber,MolecularFormula,MolecularWeight
303001,a-Ionone,127-41-3,,C13H20O,192.2973
302999,amylcinnamal aldehyde,122-40-7,,C14H18O,202.2921
303003,amylcinnamyl alcohol,101-85-9,,C14H20O,204.311
302996,Anisyl alcohol,105-13-5,,C7H8O2,138.1638
302990,b-citronellol,106-22-9,,C10H20O,156.2652
303000,b-Ionone,79-77-6,,C13H20O,192.2973
301134,Benzophenone,119-61-9,,C13H10O,182.2179
282,Benzyl alcohol,100-51-6,,C7H8O,108.1378
301479,Benzyl benzoate,120-51-4,,C14H12O2,212.2439
302998,Benzyl cinnamate,103-41-3,,C16H14O2,238.2812
301467,Celestolide,13171-00-1,,C17H24O,244.3719
303006,cinnamal,104-55-2,,C9H8O,132.1592
310013,Citral,5392-40-5,,C10H16O,152.2334
302992,Coumarin,91-64-5,,C9H6O2,146.1427
412,d-Limonene,5989-27-5,,C10H16,136.2364
302981,Ethylene brassylate (Musk NN),105-95-3,,C15H26O4,270.3645
301443,Eugenol,97-53-0,,C10H12O2,164.2011
302850,Galaxolide,1222-05-5,,C18H26O,258.3948
303002,Geraniol,106-24-1,,C10H18O,154.2493
303005,hydroxy-citronellal,107-75-5,,C10H20O2,172.2646
303009,lilial,80-54-6,,C14H20O,204.308
302989,Linalool,78-70-6,,C10H18O,154.25
303011,METHYL 2-OCTYNOATE,111-12-6,,CH3(CH2)4C CCO2CH3,154.2063
302991,Methyleugenol,93-15-2,,C11H14O2,178.2277
301537,Musk Ketone,81-14-1,,C14H18N2O5,294.3031
301512,Musk Moskene,116-66-5,,C14H18N2O4,278.3037
301527,Musk Tibetene (Moschustibeten),145-39-1,,C13H18N2O4,266.293
301504,Musk xylene,81-15-2,,C12H15N3O6,297.264
301478,Phantolide,15323-35-0,,C17H24O,244.3719
301505,Tonalide,21145-77-7,1506-02-1,C18H26O,258.405
301496,Traseolide,68140-48-7,,C18H26O,258.3984
301561,Triclosan,3380-34-5,,C12H7Cl3O2,289.542
