ParameterID,OLD_Fragrances,OLD_Phthalates,OLD_Flame Retardant,OLD_Pesticides,OLD_Volatile Organic Compounds (VOCs),OLD_Polycyclic Aromatic Hydrocarbons (PAHs),OLD_Chemicals in Commerce,OLD_Polychlorinated Biphenyl,OLD_Dioxins and Furans,OLD_Pharmacological,OLD_Personal Care,OLD_Consumer Products,NEW_Consumer & Personal Care Products,NEW_Flame Retardants,NEW_Agricultural & Pharmaceutical Chemicals,NEW_Industrial & Commercial Chemicals,"NEW_Pollutants from burning fuels, soot, smoke",NEW_Persistent Organic Pollutants (POPs),MultipleClassifications,ParameterName,CasNumber
303001,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,a-Ionone,127-41-3
302999,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,amylcinnamal aldehyde,122-40-7
303003,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,amylcinnamyl alcohol,101-85-9
302996,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Anisyl alcohol,105-13-5
302990,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,b-citronellol,106-22-9
303000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,b-Ionone,79-77-6
301134,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,TRUE,Benzophenone,119-61-9
282,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,TRUE,Benzyl alcohol,100-51-6
301479,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,TRUE,Benzyl benzoate,120-51-4
302998,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,Benzyl cinnamate,103-41-3
301467,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Celestolide,13171-00-1
303006,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,TRUE,cinnamal,104-55-2
310013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Citral,5392-40-5
302992,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,Coumarin,91-64-5
412,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,d-Limonene,5989-27-5
302981,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Ethylene brassylate (Musk NN),105-95-3
