cas_rn,endocrine_toxicity,respiratory_toxicity,carcinogenicity,genotoxicity,reproductive_toxicity,developmental_toxicity,neurotoxicity,pbt
120-82-1,0,0,0,0,0,0,0,1
96-12-8,0,0,1,1,1,0,1,0
95-50-1,0,0,0,0,0,0,0,0
541-73-1,0,0,0,0,0,0,0,0
106-46-7,0,0,1,0,0,0,0,0
130-15-4,0,0,0,0,0,0,0,0
90-12-0,0,0,0,0,0,0,1,0
832-69-9,0,0,0,0,0,0,0,0
134-32-7,0,0,1,0,0,0,0,0
40186-71-8,0,0,0,0,0,0,0,0
60233-25-2,0,0,0,0,0,0,0,0
58-90-2,0,0,0,0,0,0,0,0
57117-31-4,0,0,1,0,0,0,0,1
1746-01-6,0,0,1,0,0,1,0,1
95-95-4,0,0,0,0,0,0,0,1
137-17-7,0,0,1,0,0,0,0,0
88-06-2,1,0,1,0,0,0,0,0
120-83-2,1,0,0,0,0,0,0,0
105-67-9,1,0,0,0,0,0,1,0
53-19-0,1,0,0,0,0,0,0,0
3424-82-6,0,0,0,0,0,0,0,0
789-02-6,1,0,0,0,1,1,0,0
87-65-0,0,0,0,0,0,0,0,0
95-57-8,0,0,0,0,0,0,0,0
91-57-6,0,0,0,0,0,0,1,0
95-48-7,0,0,0,0,0,0,1,0
91-59-8,1,0,1,0,0,0,0,0
88-74-4,0,0,0,0,0,0,0,0
88-75-5,0,0,0,0,0,0,0,0
119-90-4,1,0,1,0,0,0,0,0
16655-82-6,0,0,0,0,0,0,0,0
108-39-4,0,0,0,0,0,0,1,0
99-09-2,0,0,0,0,0,0,0,0
72-54-8,0,0,1,0,0,0,1,0
72-55-9,0,0,1,0,1,1,1,0
50-29-3,1,0,1,0,1,1,1,1
101-80-4,0,0,1,1,0,0,0,0
534-52-1,0,0,0,0,0,0,1,0
92-67-1,0,0,1,0,0,0,0,0
59-50-7,1,0,0,0,0,0,0,0
106-47-8,1,0,1,0,0,0,0,0
7005-72-3,0,0,0,0,0,0,0,0
106-44-5,1,0,0,0,0,0,0,0
100-01-6,0,0,0,0,0,0,0,0
92-93-3,0,0,1,0,0,0,0,0
100-02-7,1,0,0,0,0,0,0,0
99-99-0,0,0,0,0,0,0,0,0
602-87-9,0,0,1,0,0,0,0,0
1705-85-7,0,0,0,0,0,0,0,0
57-97-6,1,0,1,0,0,0,0,0
83-32-9,0,0,0,0,0,0,0,1
208-96-8,0,0,0,0,0,0,0,1
15972-60-8,0,0,1,0,0,0,0,0
309-00-2,0,0,1,0,0,0,1,1
319-84-6,0,0,1,0,0,0,1,0
5103-71-9,0,0,0,0,0,0,0,0
834-12-8,1,0,1,0,0,0,0,0
2032-59-9,0,0,0,0,0,0,0,0
101-05-3,1,0,0,0,0,0,0,0
62-53-3,0,0,1,0,0,0,0,0
120-12-7,1,0,1,0,0,0,0,1
140-57-8,0,0,1,0,0,0,0,0
1610-17-9,0,0,0,0,0,0,0,0
1912-24-9,1,0,1,0,1,1,0,0
86-50-0,1,0,0,0,0,0,1,0
103-33-3,1,0,1,0,0,0,0,0
101-27-9,0,0,0,0,0,0,0,0
114-26-1,0,0,1,0,0,0,1,0
25057-89-0,0,0,0,0,0,0,0,0
92-87-5,1,0,1,0,0,0,1,0
56-55-3,1,0,1,0,0,0,0,1
50-32-8,0,0,1,1,1,0,1,1
205-99-2,0,0,1,0,0,0,0,1
192-97-2,0,0,1,0,0,0,0,0
191-24-2,0,0,0,0,0,0,0,1
205-82-3,0,0,1,0,0,0,0,1
207-08-9,0,0,1,0,0,0,0,1
100-51-6,0,0,0,0,0,0,0,0
85-68-7,1,0,0,0,1,1,0,0
319-85-7,0,0,1,0,0,0,0,0
117-81-7,1,0,1,0,1,1,0,0
314-40-9,0,0,0,0,0,0,0,0
1689-84-5,0,0,0,0,0,1,0,0
23184-66-9,0,0,0,0,0,0,0,0
2008-41-5,0,0,0,0,0,0,0,0
2425-1-6,0,0,0,0,0,0,0,0
133-06-2,0,0,1,0,0,0,0,0
63-25-2,1,0,1,0,1,1,0,0
86-74-8,0,0,1,0,0,0,0,0
1563-66-2,0,0,0,0,0,0,1,0
786-19-6,0,0,0,0,0,0,0,0
5234-68-4,1,0,0,0,0,0,0,0
470-90-6,0,0,0,0,0,0,1,0
510-15-6,0,0,1,0,0,0,1,0
2675-77-6,0,0,0,0,0,0,0,0
5836-2-10,0,0,0,0,0,0,0,0
1897-45-6,0,0,1,0,0,0,0,0
101-21-3,1,0,0,0,0,0,0,0
2921-88-2,1,0,0,0,0,1,1,0
218-01-9,0,0,1,0,0,0,0,1
5103-73-1,0,0,0,0,0,0,0,0
56-72-4,1,0,0,0,0,0,0,0
7700-17-6,0,0,0,0,0,0,0,0
1134-23-2,1,0,0,0,0,1,0,0
5989-27-5,0,0,0,0,0,0,0,0
1861-32-1,1,0,0,0,0,0,0,0
319-86-8,0,0,0,0,0,0,1,0
126-75-0,0,0,0,0,0,0,0,0
84-74-2,1,0,0,0,1,1,0,0
117-84-0,0,0,0,0,0,1,0,0
2303-16-4,0,0,0,0,0,0,0,0
333-41-5,1,0,1,0,0,0,1,0
53-70-3,0,0,1,0,0,0,0,1
192-65-4,0,0,1,0,0,0,0,1
132-64-9,0,0,0,0,0,0,0,1
1918-00-9,0,0,0,0,0,0,0,0
117-80-6,0,0,0,0,0,0,0,0
99-30-9,0,0,0,0,0,0,0,0
120-36-5,0,0,0,0,0,0,0,0
62-73-7,0,0,1,0,0,0,1,0
141-66-2,0,0,0,0,0,0,0,0
60-57-1,0,0,1,0,0,0,1,1
84-66-2,0,0,0,0,0,0,0,0
