cas_rn,see_details,endocrine_toxicity,respiratory_toxicity,carcinogenicity,genotoxicity,reproductive_toxicity,developmental_toxicity,neurotoxicity,pbt,tot_haz
120-82-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20669,0,0,0,0,0,0,0,1,1
96-12-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23121,0,0,1,1,1,0,1,0,4
96-12-8,NA,0,0,1,0,0,0,0,0,1
95-50-1,NA,0,0,0,0,0,0,0,0,0
541-73-1,NA,0,0,0,0,0,0,0,0,0
106-46-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20513,0,0,1,0,0,0,0,0,1
130-15-4,NA,0,0,0,0,0,0,0,0,0
90-12-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22381,0,0,0,0,0,0,1,0,1
832-69-9,NA,0,0,0,0,0,0,0,0,0
134-32-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20817,0,0,1,0,0,0,0,0,1
40186-71-8,NA,0,0,0,0,0,0,0,0,0
60233-25-2,NA,0,0,0,0,0,0,0,0,0
58-90-2,NA,0,0,0,0,0,0,0,0,0
57117-31-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21408,0,0,1,0,0,0,0,1,2
57117-31-4,NA,0,0,1,0,0,0,0,0,1
1746-01-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20959,0,0,1,0,0,1,0,1,3
95-95-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23019,0,0,0,0,0,0,0,1,1
137-17-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20841,0,0,1,0,0,0,0,0,1
88-06-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22368,0,0,1,0,0,0,0,0,1
88-06-2,NA,1,0,0,0,0,0,0,0,1
120-83-2,NA,1,0,0,0,0,0,0,0,1
105-67-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20503,0,0,0,0,0,0,1,0,1
105-67-9,NA,1,0,0,0,0,0,0,0,1
53-19-0,NA,1,0,0,0,0,0,0,0,1
3424-82-6,NA,0,0,0,0,0,0,0,0,0
789-02-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23286,0,0,0,0,1,1,0,0,2
789-02-6,NA,1,0,0,0,0,0,0,0,1
87-65-0,NA,0,0,0,0,0,0,0,0,0
95-57-8,NA,0,0,0,0,0,0,0,0,0
91-57-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22444,0,0,0,0,0,0,1,0,1
95-48-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22619,0,0,0,0,0,0,1,0,1
91-59-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22446,0,0,1,0,0,0,0,0,1
91-59-8,NA,1,0,0,0,0,0,0,0,1
