ParameterID,ParameterName,CASNumber,AlternateName,MolecularWeight
375,Chlorobenzene,108-90-7,Benzenyl Chloride,112.557
788,Ethylbenzene,100-41-4,,106.165
1259,Xylenes (m and p),108-38-3 & 106-42-3,,106.165
621,o-Xylene,95-47-6,"1,2-dimethylbenzene",106.165
988,Styrene,100-42-5,Phenethylene,104.149
903,n-Nonane,111-84-2,,128.255
1999,Cumene,98-82-8,2-phenylpropane,120.192
301,Bromobenzene,108-86-1,Brombenzol,157.008
136,2-Chlorotoluene,95-49-8,,126.584
584,n-Propylbenzene,103-65-1,NULL,120.192
187,4-Chlorotoluene,106-43-4,,126.584
45,"1,3,5-Trimethylbenzene",108-67-8,Mesitylene,120.195
1012,tert-Butylbenzene,98-06-6,,134.222
33,"1,2,4-Trimethylbenzene",95-63-6,,120.195
876,n-Decane,124-18-5,NULL,142.282
963,sec-Butylbenzene,135-98-8,,134.218
48,"1,3-Dichlorobenzene",541-73-1,,147.002
54,p-Dichlorobenzene,106-46-7,"1,4-Dichlorobenzene",147.002
30,"1,2,3-Trimethylbenzene",526-73-8,,120.192
914,p-Isopropyltoluene,99-87-6,,134.218
36,o-Dichlorobenzene,95-50-1,"1,2-Dichlorobenzene",147.002
875,n-Butylbenzene,104-51-8,NULL,134.218
593,n-Undecane,1120-21-4,,156.308
32,"1,2,4-Trichlorobenzene",120-82-1,,181.447
878,n-Dodecane,112-40-3,NULL,170.335
27,"1,2,3-Trichlorobenzene",87-61-6,,181.447
587,n-Tetradecane,629-59-4,,198.394
580,n-Pentadecane,629-62-9,,212.421
888,n-Hexadecane,544-76-3,,226.441
884,n-Heptadecane,629-78-7,,240.468
906,n-Octadecane,593-45-3,NULL,254.494
880,n-Eicosane,112-95-8,,282.547
1000000,Trichloroethylene,79-01-6,,131.39
