ParameterID,ParameterName,CasNumber,AlternateName,ChemicalFormula,MolecularWeight
32,"1,2,4-Trichlorobenzene",120-82-1,,C6H3Cl3,
34,"1,2-Dibromo-3-chloropropane",96-12-8,DBCP,C3H5Br2Cl,
36,o-Dichlorobenzene,95-50-1,"1,2-Dichlorobenzene",C6H4Cl2,NULL
48,"1,3-Dichlorobenzene",541-73-1,,C6H4Cl2,
54,p-Dichlorobenzene,106-46-7,"1,4-Dichlorobenzene",C6H4Cl2,
69,1-methylnaphthalene,90-12-0,N1Me,C11H10,142.2
70,1-methylphenanthrene,832-69-9,PH1Me,C15H12,192.26
71,1-Naphthylamine,134-32-7,NULL,NULL,NULL
84,PCB 201,40186-71-8,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",C12H2Cl8,
85,PCB 98,60233-25-2,"2,2',3',4,6-Pentachlorobiphenyl",C12H5Cl5,
89,"2,3,4,6-Tetrachlorophenol",58-90-2,,C6H2Cl4O,
90,"2,3,4,7,8-PeCDF",57117-31-4,NULL,NULL,NULL
92,"2,3,7,8-TCDD",1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",C12H4Cl4O2,
101,"2,4,5-Trichlorophenol",95-95-4,,C6H3Cl3O,
102,"2,4,5-Trimethylaniline",137-17-7,,C9H13N,
104,"2,4,6-Trichlorophenol",88-06-2,,C6H3Cl3O,
109,"2,4-Dichlorophenol",120-83-2,,C6H4Cl2O,
111,"2,4-Dimethylphenol",105-67-9,,C8H10O,
114,"2,4'-DDD",53-19-0,"o,p'-DDD",C14H10Cl4,
115,"2,4'-DDE",3424-82-6,"o,p'-DDE",C14H8Cl4,
116,"2,4'-DDT",789-02-6,"o,p'-DDT",C14H9Cl5,
118,"2,6-Dichlorophenol",87-65-0,NULL,NULL,NULL
134,2-Chlorophenol,95-57-8,,C6H5ClO,
146,2-methylnaphthalene,91-57-6,N2Me,C11H10,142.2
148,2-Methylphenol,95-48-7,o-Cresol,C7H8O,
150,2-Naphthylamine,91-59-8,NULL,NULL,NULL
151,2-Nitroaniline,88-74-4,NULL,NULL,NULL
152,2-Nitrophenol,88-75-5,,C6H5NO3,
160,"3,3'-Dimethoxybenzidine",119-90-4,o-Dianisidine,C14H16N2O2,
165,3-Hydroxycarbofuran,16655-82-6,,C12H15NO4,
167,m-Cresol,108-39-4,3-Methylphenol,C7H8O,
168,3-Nitroaniline,99-09-2,NULL,NULL,NULL
170,"4,4'-DDD",72-54-8,"p,p'-DDD",C14H10Cl4,NULL
171,"4,4'-DDE",72-55-9,"p,p'-DDE",C14H8Cl4,NULL
172,"4,4'-DDT",50-29-3,"p,p'-DDT",C14H9Cl5,NULL
175,"4,4'-Oxydianiline",101-80-4,,C12H12N2O,
176,"4,6-Dinitro-o-cresol (DNOC)",534-52-1,"4,6-Dinitro-2-methylphenol",C7H6N2O5,
178,4-Aminobiphenyl,92-67-1,,C12H11N,
184,4-Chloro-3-methylphenol,59-50-7,,C7H7ClO,
185,4-Chloroaniline,106-47-8,,C6H6ClN,
186,4-Chlorophenyl phenyl ether,7005-72-3,NULL,NULL,NULL
189,4-Methylphenol,106-44-5,,C7H8O,
190,4-Nitroaniline,100-01-6,"m,p-Xylene",,
191,4-Nitrobiphenyl,92-93-3,,C12H9NO2,
192,4-Nitrophenol,100-02-7,,C6H5NO3,
194,p-Nitrotoluene,99-99-0,4-Nitrotoluene,C7H7NO2,
200,5-Nitroacenaphthene,602-87-9,,C12H9NO2,
201,6-methylchrysene,1705-85-7,CH6Me,C19H14,242.32
202,"7,12-dimethylbenz[a]anthracene",57-97-6,AC712DMeBa,C20H16,256.34
208,acenaphthene,83-32-9,AN,C12H10,154.21
210,acenaphthylene,208-96-8,ANL,C12H8,152.19
224,Alachlor,15972-60-8,,C14H20ClNO2,
228,Aldrin,309-00-2,NULL,C12H8Cl6,NULL
231,alpha-BHC,319-84-6,NULL,C6H6Cl6,NULL
232,alpha-Chlordane,5103-71-9,cis-Chlordane,C10H6Cl8,NULL
236,Ametryne,834-12-8,"4-N-ethyl-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",C9H17N5S,227.33
238,Aminocarb,2032-59-9,,C11H16N2O2,
245,Anilazine,101-05-3,,C9H5Cl3N4,
246,Aniline,62-53-3,,C6H7N,
247,anthracene,120-12-7,AC,C14H10,178.23
251,Aramite,140-57-8,,C15H23ClO4S,
254,Atraton,1610-17-9,,C9H17N5O,
255,Atrazine,1912-24-9,Atrazine {Cas # 93616-39-8},C8H14ClN5,215.69
259,Azinphos-methyl,86-50-0,Guthion,C10H12N3O3PS2,
260,Azobenzene,103-33-3,,C12H10N2,
262,Barban,101-27-9,,C11H9Cl2NO2,
264,Propoxur,114-26-1,Baygon,C11H15NO3,
265,Bentazone,25057-89-0,,C10H12N2O3S,
271,Benzidine,92-87-5,,C12H12N2,
272,benz[a]anthracene,56-55-3,BaA,C18H12,228.29
273,benzo[a]pyrene,50-32-8,BaP,C20H12,252.31
275,benzo[b]fluoranthene,205-99-2,BbF,C20H12,252.31
276,benzo[e]pyrene,192-97-2,BeP,C20H12,252.31
277,benzo[ghi]perylene,191-24-2,BghiP,C22H12,276.33
278,benzo[j]fluoranthene,205-82-3,BjF,C20H12,252.31
279,benzo[k]fluoranthene,207-08-9,BkF,C20H12,252.31
282,Benzyl alcohol,100-51-6,NULL,NULL,NULL
283,Butyl benzyl phthalate,85-68-7,,C19H20O4,
286,beta-BHC,319-85-7,NULL,C6H6Cl6,NULL
293,Bis(2-ethylhexyl)phthalate,117-81-7,,C24H38O4,
298,Bromacil,314-40-9,,C19H13BrN2O2,
306,Bromoxynil,1689-84-5,,C7H3Br2NO,
309,Butachlor,23184-66-9,,C17H26ClNO2,
312,Butylate,2008-41-5,,C11H23NOS,
351,Captafol,2425-06-1,,C10H9Cl4NO2S,
352,Captan,133-06-2,,C9H8Cl3NO2S,
353,Carbaryl,63-25-2,,C12H11NO2,
354,Carbazole,86-74-8,NULL,NULL,NULL
355,Carbofuran,1563-66-2,Furadan,C12H15NO3,
361,Carbophenothion,786-19-6,,C11H16ClO2PS3,
362,Carboxin,5234-68-4,,C12H13NO2S,
371,Chlorfenvinphos,470-90-6,,C12H14Cl3O4P,
377,Chlorobenzilate,510-15-6,,C16H14Cl2O3,
382,Chloroneb,2675-77-6,,C8H8Cl2O2,
385,Chloropropylate,5836-10-2,,C17H16Cl2O3,
386,Chlorothalonil,1897-45-6,"2,4,5,6-tetrachloroisophthalonitrile",C8Cl4N2,265.91
387,Chlorpropham,101-21-3,,C10H12ClNO2,
388,Chlorpyrifos,2921-88-2,Chlorpyrifos,C9H11Cl3NO3PS,350.58
390,chrysene,218-01-9,CH,C18H12,228.29
395,cis-Nonachlor,5103-73-1,NULL,C10H5Cl9,NULL
402,Coumaphos,56-72-4,,C14H16ClO5PS,
404,Crotoxyphos,7700-17-6,,C14H19O6P,
410,Cycloate,1134-23-2,,C11H21NOS,
412,d-Limonene,5989-27-5,NULL,NULL,NULL
415,Dacthal,1861-32-1,Chlorthal-dimethyl,C10H6Cl4O4,
420,delta-BHC,319-86-8,,C6H6Cl6,
425,Demeton-s,126-75-0,,C8H19O3PS2,
429,Di-n-butyl phthalate,84-74-2,,C16H22O4,
430,Di-n-octyl phthalate,117-84-0,,C24H38O4,
431,Diallate I,2303-16-4,Trans Diallate,C10H17Cl2NOS,
432,Diazinon,333-41-5,Diazinon,C12H21N2O3PS,304.34
434,"dibenzo[a,h]anthracene",53-70-3,DBahA,C22H14,278.35
436,"dibenzo[a,e]pyrene",192-65-4,DBaeP,C24H14,302.37
437,Dibenzofuran,132-64-9,NULL,NULL,NULL
443,Dicamba,1918-00-9,,C8H6Cl2O3,
444,Dichlone,117-80-6,,C10H4Cl2O2,
445,Dichloran,99-30-9,Dicloran,C6H4Cl2N2O2,
447,Dichlorprop,120-36-5,Dichloroprop,C9H8Cl2O3,NULL
448,Dichlorvos,62-73-7,,C4H7Cl2O4P,
449,Dicrotophos,141-66-2,,C8H16NO5P,
450,Dieldrin,60-57-1,NULL,C12H8Cl6O,NULL
462,Diethyl phthalate,84-66-2,,C12H14O4,
463,Diethylstilbestrol,56-53-1,,C18H20O2,
465,Diethylene glycol,111-46-6,,C4H10O3,
466,Dimethoate,60-51-5,,C5H12NO3PS2,
470,Fenarimol,60168-88-9,,C17H12Cl2N2O,
471,Fensulfothion,115-90-2,,C11H17O4PS2,
472,Fenthion,55-38-9,,C10H15O3PS2,
473,Fenuron,101-42-8,,C9H12N2O,
479,Fluchloralin,33245-39-5,,C12H13ClF3N3O4,
480,Fluometuron,2164-17-2,,C10H11F3N2O,
481,fluoranthene,206-44-0,FA,C16H10,202.25
482,fluorene,86-73-7,FE,C13H10,166.22
484,Fluridone,59756-60-4,,C19H14F3NO,
512,gamma-Chlordane,5103-74-2,trans-Chlordane,C10H6Cl8,NULL
521,Isodrin,465-73-6,NULL,C12H8Cl6,NULL
531,Kepone,143-50-0,Chlordecone,C10Cl10O,
538,Leptophos,21609-90-5,,C13H10BrCl2O2PS,
540,Linuron,330-55-2,,C9H10Cl2N2O2,
550,Malathion,121-75-5,Malathion,C10H19O6PS2,138.26
557,Merphos,150-50-5,NULL,NULL,NULL
565,Methiocarb,2032-65-7,,C11H15NO2S,
566,Methomyl,16752-77-5,,C5H10N2O2S,
567,Methoxychlor,72-43-5,NULL,C16H15Cl3O2,NULL
574,Methyl paraoxon,950-35-6,,C8H10NO6P,
594,Naled,300-76-5,,C4H7Br2Cl2O4P,
595,naphthalene,91-20-3,Nap,C10H8,128.17
603,Nicotine,54-11-5,,C10H14N2,
611,Nitrofen,1836-75-5,,C12H7Cl2NO3,
614,Norflurazon,27314-13-2,,C12H9ClF3N3O,
620,o-Toluidine,95-53-4,NULL,NULL,NULL
625,Octamethyl pyrophosphoramide,152-16-9,Schradan,C8H24N4O3P2,
635,phenanthrene,85-01-8,PH,C14H10,178.23
638,Phenol,108-95-2,NULL,C6H6O,NULL
642,Phorate,298-02-2,,C7H17O2PS3,
643,Phosalone,2310-17-0,,C12H15ClNO4PS2,
644,Imidan,732-11-6,"Phosmet / 2-(dimethoxyphosphinothioylsulfanylmethyl)isoindole-1,3-dione",C11H12NO4PS2,317.31
645,Phosphamidon,13171-21-6,,C10H19ClNO5P,
664,Promecarb,2631-37-0,,C12H17NO2,
665,Prometon,1610-18-0,,C10H19N5O,
666,Prometryn,7287-19-6,,C10H19N5S,
667,Propyzamide,23950-58-5,Pronamide,C12H11Cl2NO,
668,Propachlor,1918-16-7,,C11H14ClNO,
670,Propazine,139-40-2,,C9H16ClN5,
671,Propham,122-42-9,NULL,C10H13NO2,NULL
676,Prothiofos,34643-46-4,,C11H15Cl2O2PS2,
678,pyrene,129-00-0,Pyr,C16H10,202.25
688,Fenchlorphos,299-84-3,Ronnel,C8H8Cl3O3PS,
