ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
27,"1,2,3-Trichlorobenzene",87-61-6,,C6H3Cl3,181.447
30,"1,2,3-Trimethylbenzene",526-73-8,,C9H12,120.192
32,"1,2,4-Trichlorobenzene",120-82-1,,C6H3Cl3,181.447
33,"1,2,4-Trimethylbenzene",95-63-6,,C9H12,120.195
36,o-Dichlorobenzene,95-50-1,"1,2-Dichlorobenzene",C6H4Cl2,147.002
45,"1,3,5-Trimethylbenzene",108-67-8,Mesitylene,C9H12,120.195
48,"1,3-Dichlorobenzene",541-73-1,,C6H4Cl2,147.002
54,p-Dichlorobenzene,106-46-7,"1,4-Dichlorobenzene",C6H4Cl2,147.002
69,1-methylnaphthalene,90-12-0,N1Me,C11H10,142.1971
70,1-methylphenanthrene,832-69-9,PH1Me,C15H12,192.2558
136,2-Chlorotoluene,95-49-8,,C7H7Cl,126.584
146,2-methylnaphthalene,91-57-6,N2Me,C11H10,142.1971
187,4-Chlorotoluene,106-43-4,,C7H7Cl,126.584
201,6-methylchrysene,1705-85-7,CH6Me,C19H14,242.3145
208,acenaphthene,83-32-9,AN,C12H10,154.2
210,acenaphthylene,208-96-8,ANL,C12H8,152.1919
247,anthracene,120-12-7,AC,C14H10,178.2292
272,benz[a]anthracene,56-55-3,BaA,C18H12,228.288
273,benzo[a]pyrene,50-32-8,BaP,C20H12,252.3093
276,benzo[e]pyrene,192-97-2,BeP,C20H12,252.3
277,Benzo[ghi]perylene,191-24-2,BghiP,C22H12,276.3307
278,benzo[j]fluoranthene,205-82-3,BjF,C20H12,252.3093
301,Bromobenzene,108-86-1,Brombenzol,C6H5Br,157.008
375,Chlorobenzene,108-90-7,Benzenyl Chloride,C6H5Cl,112.557
390,chrysene,218-01-9,CH,C18H12,228.2879
434,"dibenzo[a,h]anthracene",53-70-3,DBahA,C22H14,278.3446
436,"dibenzo[a,e]pyrene",192-65-4,DBaeP,C24H14,302.368
481,fluoranthene,206-44-0,FA,C16H10,202.2506
482,fluorene,86-73-7,FE,C13H10,166.2185
580,n-Pentadecane,629-62-9,,C15H32,212.421
584,n-Propylbenzene,103-65-1,NULL,C9H12,120.192
587,n-Tetradecane,629-59-4,,C14H30,198.394
593,n-Undecane,1120-21-4,,C11H24,156.308
595,naphthalene,91-20-3,Nap,C10H8,128.1705
621,o-Xylene,95-47-6,"1,2-dimethylbenzene",C8H10,106.165
635,phenanthrene,85-01-8,PH,C14H10,178.2292
678,Pyrene,129-00-0,Pyr,C16H10,202.2506
788,Ethylbenzene,100-41-4,NULL,C8H10,106.165
850,"indeno[1,2,3-cd]pyrene",193-39-5,IP,C22H12,276.3307
875,n-Butylbenzene,104-51-8,NULL,C10H14,134.218
876,n-Decane,124-18-5,NULL,C10H22,142.282
878,n-Dodecane,112-40-3,NULL,C12H26,170.335
