"SampleNumber","ParameterName","Result"
"A241264","Tri-p-tolyl phosphate",44.1
"A241134","TPP",25.7
"A241137","TPP",33.9
"A241142","TPP",55.1
"A241144","TPP",95.7
"A241147","TPP",23.2
"A241149","TPP",17.7
"A241153","TPP",45.3
"A241155","TPP",24.3
"A241156","TPP",223
"A241161","TPP",60.4
"A241163","TPP",17.1
"A241166","TPP",7.59
"A241170","TPP",10.5
"A241175","TPP",27.1
"A241177","TPP",9.03
"A241181","TPP",1010
"A241184","TPP",64.2
"A241186","TPP",72.3
"A241188","TPP",24.4
"A241194","TPP",30.6
"A241196","TPP",88.7
"A241201","TPP",747
"A241203","TPP",45.9
"A241205","TPP",28.4
"A241207","TPP",18.1
"A241209","TPP",21.3
"A241213","TPP",54.2
"A241215","TPP",47.2
"A241217","TPP",43.7
"A241219","TPP",30.9
"A241221","TPP",12.4
"A241229","TPP",47.8
"A241230","TPP",35.6
"A241232","TPP",142
"A241235","TPP",24.2
"A241242","TPP",12.2
"A241248","TPP",12.5
"A241253","TPP",18.9
"A241259","TPP",62.6
"A241260","TPP",5.8
"A241263","TPP",27
"A241264","TPP",42.4
"A241266","TPP",4510
"A241270","TPP",31.6
"A241273","TPP",14.7
"A241230","2,4-Dichlorophenol",11.3
"A241151","Biphenyl",2.8
"A241194","Biphenyl",4.24
"A241201","Biphenyl",3.9
"A241270","Biphenyl",51.9
"A241194","Acenaphthene",13.4
"A241201","Acenaphthene",14.1
"A241213","Acenaphthene",9.71
"A241230","Acenaphthene",3.17
"A241235","Acenaphthene",10.6
"A241259","Acenaphthene",26.6
"A241273","Acenaphthene",5.13
"A241203","Acenaphthylene",1.6
"A241209","Alpha-Chlordane",37.6
"A241133","Anthracene",3.61
"A241137","Anthracene",14.7
"A241139","Anthracene",12.7
"A241149","Anthracene",7.44
"A241151","Anthracene",8.59
"A241153","Anthracene",13.9
"A241175","Anthracene",17.2
"A241186","Anthracene",5.67
"A241188","Anthracene",3.88
"A241201","Anthracene",33.9
"A241205","Anthracene",11.2
"A241209","Anthracene",8.67
"A241211","Anthracene",10.5
"A241213","Anthracene",38.4
"A241224","Anthracene",10.6
"A241235","Anthracene",41.9
"A241250","Anthracene",8.38
"A241256","Anthracene",6.74
"A241260","Anthracene",43.3
"A241273","Anthracene",19.1
"A241263","Benzyl alcohol",65.2
"A241134","Butyl benzyl phthalate",275
"A241139","Butyl benzyl phthalate",251
"A241142","Butyl benzyl phthalate",58.7
"A241144","Butyl benzyl phthalate",1280
"A241147","Butyl benzyl phthalate",15.5
"A241149","Butyl benzyl phthalate",42.9
"A241151","Butyl benzyl phthalate",190
"A241153","Butyl benzyl phthalate",36.1
"A241155","Butyl benzyl phthalate",108
"A241156","Butyl benzyl phthalate",81.3
"A241158","Butyl benzyl phthalate",15.6
"A241161","Butyl benzyl phthalate",119
"A241163","Butyl benzyl phthalate",97.6
"A241168","Butyl benzyl phthalate",40.6
"A241170","Butyl benzyl phthalate",33.1
"A241173","Butyl benzyl phthalate",162
"A241177","Butyl benzyl phthalate",20.3
"A241184","Butyl benzyl phthalate",111
"A241186","Butyl benzyl phthalate",870
"A241188","Butyl benzyl phthalate",71.3
"A241191","Butyl benzyl phthalate",214
"A241192","Butyl benzyl phthalate",50.6
"A241194","Butyl benzyl phthalate",163
"A241196","Butyl benzyl phthalate",502
"A241201","Butyl benzyl phthalate",69.6
"A241203","Butyl benzyl phthalate",89.9
"A241207","Butyl benzyl phthalate",41.5
"A241209","Butyl benzyl phthalate",96.5
"A241211","Butyl benzyl phthalate",36
"A241213","Butyl benzyl phthalate",271
"A241215","Butyl benzyl phthalate",111
"A241217","Butyl benzyl phthalate",17500
"A241219","Butyl benzyl phthalate",1930
"A241221","Butyl benzyl phthalate",48.7
"A241222","Butyl benzyl phthalate",94.5
"A241224","Butyl benzyl phthalate",24.5
"A241229","Butyl benzyl phthalate",135
"A241230","Butyl benzyl phthalate",123
"A241232","Butyl benzyl phthalate",858
"A241235","Butyl benzyl phthalate",274
"A241236","Butyl benzyl phthalate",90.3
"A241238","Butyl benzyl phthalate",181
"A241241","Butyl benzyl phthalate",64.5
"A241242","Butyl benzyl phthalate",48.5
"A241245","Butyl benzyl phthalate",9.09
"A241246","Butyl benzyl phthalate",54.1
"A241253","Butyl benzyl phthalate",34.7
"A241254","Butyl benzyl phthalate",61.9
"A241256","Butyl benzyl phthalate",13.6
"A241259","Butyl benzyl phthalate",96.7
"A241260","Butyl benzyl phthalate",20.9
"A241263","Butyl benzyl phthalate",31.8
"A241264","Butyl benzyl phthalate",61.1
"A241266","Butyl benzyl phthalate",132
"A241269","Butyl benzyl phthalate",50.5
"A241270","Butyl benzyl phthalate",126
"A241273","Butyl benzyl phthalate",82.1
"A241133","Bis(2-ethylhexyl)phthalate",24.8
"A241134","Bis(2-ethylhexyl)phthalate",16900
"A241137","Bis(2-ethylhexyl)phthalate",3840
"A241139","Bis(2-ethylhexyl)phthalate",9200
"A241140","Bis(2-ethylhexyl)phthalate",12000
"A241142","Bis(2-ethylhexyl)phthalate",5510
"A241144","Bis(2-ethylhexyl)phthalate",21700
"A241147","Bis(2-ethylhexyl)phthalate",897
"A241149","Bis(2-ethylhexyl)phthalate",2270
"A241151","Bis(2-ethylhexyl)phthalate",5990
"A241153","Bis(2-ethylhexyl)phthalate",4810
"A241155","Bis(2-ethylhexyl)phthalate",4650
"A241156","Bis(2-ethylhexyl)phthalate",4970
"A241158","Bis(2-ethylhexyl)phthalate",3200
"A241161","Bis(2-ethylhexyl)phthalate",19100
"A241163","Bis(2-ethylhexyl)phthalate",15900
"A241164","Bis(2-ethylhexyl)phthalate",7930
"A241166","Bis(2-ethylhexyl)phthalate",1540
"A241168","Bis(2-ethylhexyl)phthalate",4740
"A241170","Bis(2-ethylhexyl)phthalate",2330
"A241173","Bis(2-ethylhexyl)phthalate",4930
"A241175","Bis(2-ethylhexyl)phthalate",16900
"A241177","Bis(2-ethylhexyl)phthalate",10500
"A241179","Bis(2-ethylhexyl)phthalate",12000
"A241181","Bis(2-ethylhexyl)phthalate",8350
"A241184","Bis(2-ethylhexyl)phthalate",71900
"A241186","Bis(2-ethylhexyl)phthalate",7430
"A241188","Bis(2-ethylhexyl)phthalate",37000
"A241191","Bis(2-ethylhexyl)phthalate",3390
"A241192","Bis(2-ethylhexyl)phthalate",6860
"A241194","Bis(2-ethylhexyl)phthalate",49200
"A241196","Bis(2-ethylhexyl)phthalate",12000
"A241198","Bis(2-ethylhexyl)phthalate",19900
"A241203","Bis(2-ethylhexyl)phthalate",8390
"A241205","Bis(2-ethylhexyl)phthalate",4730
"A241207","Bis(2-ethylhexyl)phthalate",18100
"A241211","Bis(2-ethylhexyl)phthalate",2290
"A241213","Bis(2-ethylhexyl)phthalate",29300
"A241215","Bis(2-ethylhexyl)phthalate",10100
"A241217","Bis(2-ethylhexyl)phthalate",21000
"A241219","Bis(2-ethylhexyl)phthalate",27000
"A241221","Bis(2-ethylhexyl)phthalate",2660
"A241222","Bis(2-ethylhexyl)phthalate",1610
"A241224","Bis(2-ethylhexyl)phthalate",3930
"A241226","Bis(2-ethylhexyl)phthalate",76.7
"A241229","Bis(2-ethylhexyl)phthalate",28200
"A241230","Bis(2-ethylhexyl)phthalate",7720
"A241232","Bis(2-ethylhexyl)phthalate",16700
"A241235","Bis(2-ethylhexyl)phthalate",13400
"A241236","Bis(2-ethylhexyl)phthalate",7310
"A241238","Bis(2-ethylhexyl)phthalate",513
