"SampleNumber","ParameterName","Result","PureSampleName"
"A241138","TPP",29.3,"82-N"
"A241271","Biphenyl",19.9,"90-N"
"A241569","Biphenyl",1.7,"174-N"
"A241602","Biphenyl",20.5,"38-N"
"A241632","Biphenyl",2.51,"246-N"
"A241210","2-Methylnaphthalene",0.98,"119-N"
"A241212","2-Methylnaphthalene",2.48,"156-N"
"A241141","4-Methylphenol",67.7,"67-N"
"A241195","Acenaphthene",3.06,"169-N"
"A241212","Acenaphthene",2.26,"156-N"
"A241573","Anthracene",5.79,"91-N"
"A241590","Anthracene",1.89,"146-N"
"A241598","Benzyl alcohol",43.9,"159-N"
"A241138","Butyl benzyl phthalate",314,"82-N"
"A241159","Butyl benzyl phthalate",12.6,"73-N"
"A241167","Butyl benzyl phthalate",9.44,"57-N"
"A241185","Butyl benzyl phthalate",10.2,"96-N"
"A241187","Butyl benzyl phthalate",9.19,"52-N"
"A241249","Butyl benzyl phthalate",12.7,"104-N"
"A241258","Butyl benzyl phthalate",13,"154-N"
"A241570","Butyl benzyl phthalate",27.6,"103-N"
"A241602","Butyl benzyl phthalate",29.3,"38-N"
"A241612","Butyl benzyl phthalate",32.5,"272-N"
"A241620","Butyl benzyl phthalate",67.7,"348-N"
"A241625","Butyl benzyl phthalate",18.2,"197-N"
"A241135","Bis(2-ethylhexyl)phthalate",31.2,"31-N"
"A241136","Bis(2-ethylhexyl)phthalate",94.8,"45-N"
"A241138","Bis(2-ethylhexyl)phthalate",19200,"82-N"
"A241141","Bis(2-ethylhexyl)phthalate",79,"67-N"
"A241143","Bis(2-ethylhexyl)phthalate",17.4,"62-N"
"A241145","Bis(2-ethylhexyl)phthalate",110,"65-N"
"A241146","Bis(2-ethylhexyl)phthalate",20.1,"74-N"
"A241148","Bis(2-ethylhexyl)phthalate",10.5,"40-N"
"A241150","Bis(2-ethylhexyl)phthalate",30,"56-N"
"A241152","Bis(2-ethylhexyl)phthalate",23.1,"29-N"
"A241154","Bis(2-ethylhexyl)phthalate",2.21,"72-N"
"A241157","Bis(2-ethylhexyl)phthalate",40.6,"26-N"
"A241159","Bis(2-ethylhexyl)phthalate",130,"73-N"
"A241160","Bis(2-ethylhexyl)phthalate",36.6,"85-N"
"A241162","Bis(2-ethylhexyl)phthalate",20.7,"60-N"
"A241165","Bis(2-ethylhexyl)phthalate",27.6,"42-N"
"A241167","Bis(2-ethylhexyl)phthalate",1310,"57-N"
"A241169","Bis(2-ethylhexyl)phthalate",7.45,"63-N"
"A241171","Bis(2-ethylhexyl)phthalate",240,"36-N"
"A241172","Bis(2-ethylhexyl)phthalate",49.3,"64-N"
"A241174","Bis(2-ethylhexyl)phthalate",67.7,"48-N"
"A241176","Bis(2-ethylhexyl)phthalate",9.41,"34-N"
"A241178","Bis(2-ethylhexyl)phthalate",3.86,"76-N"
"A241180","Bis(2-ethylhexyl)phthalate",30.4,"27-N"
"A241183","Bis(2-ethylhexyl)phthalate",60.6,"106-N"
"A241185","Bis(2-ethylhexyl)phthalate",354,"96-N"
"A241187","Bis(2-ethylhexyl)phthalate",117,"52-N"
"A241189","Bis(2-ethylhexyl)phthalate",5.96,"122-N"
"A241190","Bis(2-ethylhexyl)phthalate",14.4,"161-N"
"A241193","Bis(2-ethylhexyl)phthalate",70.4,"124-N"
"A241195","Bis(2-ethylhexyl)phthalate",35.6,"169-N"
"A241197","Bis(2-ethylhexyl)phthalate",21.2,"134-N"
"A241199","Bis(2-ethylhexyl)phthalate",451,"33-N"
"A241200","Bis(2-ethylhexyl)phthalate",56,"147-N"
"A241202","Bis(2-ethylhexyl)phthalate",148,"173-N"
"A241206","Bis(2-ethylhexyl)phthalate",70.4,"132-N"
"A241208","Bis(2-ethylhexyl)phthalate",19.6,"190-N"
"A241212","Bis(2-ethylhexyl)phthalate",22.6,"156-N"
