ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
388,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 1,A160522,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Chlorpyrifos,244,,ng/mL
396,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 1,A160522,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,cis-Permethrin,187,,ng/mL
820,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 1,A160522,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Hexachlorobenzene,215,,ng/mL
952,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 1,A160522,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pentachloronitrobenzene,224,,ng/mL
1020,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 1,A160522,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,trans-Permethrin,133,,ng/mL
388,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 2,A160523,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Chlorpyrifos,244,,ng/mL
396,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 2,A160523,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,cis-Permethrin,176,,ng/mL
820,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 2,A160523,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Hexachlorobenzene,212,,ng/mL
952,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 2,A160523,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pentachloronitrobenzene,216,,ng/mL
1020,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:44:12 PM,,,PAH/PEST T=6 month -20C 2,A160523,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,trans-Permethrin,122,,ng/mL
