ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #1,A160308,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,192,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #1,A160308,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,209,,ng/WB
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #2,A160309,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,210,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #2,A160309,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,230,,ng/WB
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #3,A160310,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,200,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #3,A160310,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,222,,ng/WB
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #4,A160311,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,208,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=0 #4,A160311,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,224,,ng/WB
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,184,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,193,,ng/WB
481,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,fluoranthene,180,,ng/WB
635,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:20:12 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 62 PAHs,SOP 418.00,Organics - Dilution,phenanthrene,185,,ng/WB
