ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_1,A161041,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",29,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_1,A161041,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,42,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_1,A161041,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),52,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_2,A161042,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",38,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_2,A161042,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,51,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_2,A161042,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),65,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_3,A161043,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",36,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_3,A161043,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,48,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_3,A161043,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),59,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_4,A161044,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",36,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_4,A161044,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,49,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,2015_t=0_4,A161044,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),63,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_1,A161045,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",27,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_1,A161045,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,38,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_1,A161045,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),56,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_2,A161046,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",35,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_2,A161046,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,48,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_2,A161046,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),67,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_3,A161047,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",30,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_3,A161047,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,44,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_3,A161047,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),59,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_4,A161048,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",BLOD,J,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_4,A161048,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,BLOD,J,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_4D_4C_4,A161048,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),BLOD,J,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_1,A161049,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",49,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_1,A161049,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,72,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_1,A161049,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),70,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_2,A161050,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",25,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_2,A161050,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,30,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_2,A161050,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),51,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_3,A161051,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",27,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_3,A161051,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,29,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_3,A161051,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),61,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_4,A161052,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",BLOD,J,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_4,A161052,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,BLOD,J,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_7D_4C_4,A161052,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),BLOD,J,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_14D_4C_1,A161053,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",33,,ng
593,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_14D_4C_1,A161053,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,n-Undecane,46,,ng
1259,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_14D_4C_1,A161053,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,Xylenes (m and p),54,,ng
32,Food Safety and Environmental Stewardship Program,480,16JUL20-01,7/20/2016 12:00:00 AM,8/16/2017 3:43:02 PM,,,VOA_14D_4C_2,A161054,,,,,PSD-Wristband,Volatile organic compounds by GC/MS,GC-MS - VOCs,SOP 422.00,Organics - Dilution,"1,2,4-Trichlorobenzene",32,,ng
